# event_ticker=KXATPMATCH-26JUN08ONCMAR
# final_score=7-6(6) 6-3
# score_resolution=6-7 3-6
# match_winner=Gauthier Onclin
# fav_player=Fabian Marozsan
# dog_player=Gauthier Onclin
# kalshi_date=2026-06-08
timestamp,Gauthier Onclin,Fabian Marozsan
2026-06-08T02:22:00Z,,59.00
2026-06-08T02:24:00Z,,59.00
2026-06-08T02:25:00Z,,59.00
2026-06-08T02:30:00Z,,59.00
2026-06-08T02:31:00Z,,59.00
2026-06-08T02:32:00Z,,59.00
2026-06-08T02:33:00Z,,59.00
2026-06-08T02:34:00Z,,59.00
2026-06-08T02:35:00Z,,59.00
2026-06-08T02:37:00Z,,59.00
2026-06-08T02:38:00Z,,59.00
2026-06-08T02:43:00Z,,59.00
2026-06-08T02:44:00Z,,59.00
2026-06-08T02:46:00Z,,59.00
2026-06-08T02:52:00Z,,59.00
2026-06-08T02:53:00Z,,59.00
2026-06-08T02:58:00Z,,61.00
2026-06-08T03:20:00Z,,61.00
2026-06-08T03:21:00Z,,61.00
2026-06-08T03:28:00Z,,61.00
2026-06-08T03:29:00Z,,61.00
2026-06-08T03:37:00Z,,61.00
2026-06-08T03:43:00Z,41.00,61.00
2026-06-08T03:49:00Z,41.00,61.00
2026-06-08T03:52:00Z,41.00,59.78
2026-06-08T03:53:00Z,41.00,61.00
2026-06-08T03:57:00Z,41.00,61.00
2026-06-08T03:59:00Z,41.00,61.00
2026-06-08T04:02:00Z,41.00,61.00
2026-06-08T04:04:00Z,41.00,61.00
2026-06-08T04:07:00Z,41.00,61.00
2026-06-08T04:12:00Z,41.00,61.00
2026-06-08T04:27:00Z,41.00,61.00
2026-06-08T04:31:00Z,41.00,61.00
2026-06-08T04:37:00Z,40.00,61.00
2026-06-08T04:40:00Z,41.00,61.00
2026-06-08T04:45:00Z,41.00,61.00
2026-06-08T04:48:00Z,41.00,61.41
2026-06-08T04:51:00Z,41.00,61.00
2026-06-08T04:52:00Z,41.00,62.08
2026-06-08T04:56:00Z,41.00,62.00
2026-06-08T05:07:00Z,41.00,62.00
2026-06-08T05:08:00Z,41.00,62.00
2026-06-08T05:17:00Z,41.00,61.00
2026-06-08T05:18:00Z,41.00,60.00
2026-06-08T05:28:00Z,41.00,62.73
2026-06-08T05:30:00Z,41.00,61.00
2026-06-08T05:31:00Z,41.00,62.00
2026-06-08T05:44:00Z,41.00,62.00
2026-06-08T05:47:00Z,41.00,62.00
2026-06-08T05:55:00Z,41.00,62.00
2026-06-08T06:04:00Z,41.00,62.00
2026-06-08T06:05:00Z,41.00,62.00
2026-06-08T06:07:00Z,41.00,62.00
2026-06-08T06:19:00Z,40.00,62.00
2026-06-08T06:20:00Z,40.00,62.00
2026-06-08T06:21:00Z,40.00,62.00
2026-06-08T06:27:00Z,40.00,62.00
2026-06-08T06:29:00Z,40.00,62.00
2026-06-08T06:31:00Z,41.00,62.00
2026-06-08T06:36:00Z,41.00,62.00
2026-06-08T06:47:00Z,41.00,62.00
2026-06-08T06:53:00Z,41.00,62.00
