# event_ticker=KXATPCHALLENGERMATCH-26MAY28BECNAP
# final_score=6-4 6-2
# score_resolution=4-6 2-6
# match_winner=Stefano Napolitano
# fav_player=Alec Beckley
# dog_player=Stefano Napolitano
# kalshi_date=2026-05-28
timestamp,Alec Beckley,Stefano Napolitano
2026-05-28T01:43:00Z,25.00,
2026-05-28T02:20:00Z,26.00,
2026-05-28T02:55:00Z,26.00,
2026-05-28T03:52:00Z,26.00,
2026-05-28T04:27:00Z,26.00,
2026-05-28T04:43:00Z,26.00,76.00
2026-05-28T05:15:00Z,25.00,76.00
2026-05-28T05:37:00Z,25.00,76.00
2026-05-28T06:38:00Z,25.00,76.00
2026-05-28T09:20:00Z,25.00,77.00
2026-05-28T09:47:00Z,25.00,77.00
2026-05-28T10:28:00Z,26.00,77.00
2026-05-28T10:52:00Z,26.00,77.00
2026-05-28T10:53:00Z,24.00,77.00
2026-05-28T10:55:00Z,24.00,78.00
2026-05-28T10:56:00Z,24.00,76.00
2026-05-28T10:57:00Z,28.00,74.00
2026-05-28T10:58:00Z,28.00,74.00
2026-05-28T10:59:00Z,28.00,74.02
2026-05-28T11:00:00Z,27.00,74.02
2026-05-28T11:01:00Z,27.00,76.00
2026-05-28T11:03:00Z,27.00,76.00
2026-05-28T11:04:00Z,27.00,80.33
2026-05-28T11:05:00Z,21.00,80.00
2026-05-28T11:06:00Z,21.00,80.25
2026-05-28T11:07:00Z,21.00,80.25
2026-05-28T11:08:00Z,21.00,78.25
2026-05-28T11:09:00Z,21.00,79.50
2026-05-28T11:10:00Z,22.00,80.00
2026-05-28T11:11:00Z,24.52,76.56
2026-05-28T11:12:00Z,26.83,74.00
2026-05-28T11:14:00Z,26.83,75.00
2026-05-28T11:15:00Z,26.83,76.00
2026-05-28T11:17:00Z,26.83,79.00
2026-05-28T11:18:00Z,20.00,81.00
2026-05-28T11:19:00Z,15.13,83.43
2026-05-28T11:20:00Z,15.11,86.75
2026-05-28T11:21:00Z,15.11,88.08
2026-05-28T11:22:00Z,12.27,88.97
2026-05-28T11:23:00Z,12.27,91.00
2026-05-28T11:24:00Z,12.27,91.00
2026-05-28T11:25:00Z,10.00,91.00
2026-05-28T11:27:00Z,10.00,92.00
2026-05-28T11:28:00Z,9.00,92.34
2026-05-28T11:29:00Z,9.97,92.00
2026-05-28T11:30:00Z,10.00,92.00
2026-05-28T11:31:00Z,10.00,92.00
2026-05-28T11:32:00Z,11.73,92.00
2026-05-28T11:33:00Z,13.56,88.01
2026-05-28T11:34:00Z,13.94,88.24
2026-05-28T11:35:00Z,17.02,88.24
2026-05-28T11:36:00Z,18.00,83.50
2026-05-28T11:37:00Z,22.00,77.00
2026-05-28T11:38:00Z,22.00,77.00
2026-05-28T11:39:00Z,24.87,76.00
2026-05-28T11:40:00Z,26.00,74.01
2026-05-28T11:41:00Z,26.00,74.00
2026-05-28T11:42:00Z,19.97,78.78
2026-05-28T11:43:00Z,11.09,87.76
2026-05-28T11:44:00Z,11.00,87.76
2026-05-28T11:46:00Z,11.00,90.00
2026-05-28T11:48:00Z,11.00,89.00
2026-05-28T11:49:00Z,15.16,89.00
2026-05-28T11:51:00Z,15.16,89.00
2026-05-28T11:52:00Z,15.16,92.00
2026-05-28T11:53:00Z,10.00,92.00
2026-05-28T11:54:00Z,10.00,90.00
2026-05-28T11:55:00Z,10.00,91.16
2026-05-28T11:56:00Z,10.00,93.00
2026-05-28T11:57:00Z,5.00,94.00
2026-05-28T11:58:00Z,5.83,93.00
2026-05-28T11:59:00Z,10.00,92.00
2026-05-28T12:01:00Z,7.00,90.08
2026-05-28T12:02:00Z,7.00,92.00
2026-05-28T12:03:00Z,10.00,93.00
2026-05-28T12:04:00Z,10.00,92.04
2026-05-28T12:05:00Z,10.00,91.67
2026-05-28T12:06:00Z,10.00,92.73
2026-05-28T12:07:00Z,10.53,91.00
2026-05-28T12:08:00Z,12.02,87.81
2026-05-28T12:09:00Z,18.70,87.81
2026-05-28T12:10:00Z,21.00,80.57
2026-05-28T12:11:00Z,14.61,88.73
2026-05-28T12:12:00Z,17.35,86.00
2026-05-28T12:13:00Z,14.00,88.36
2026-05-28T12:14:00Z,12.00,90.80
2026-05-28T12:15:00Z,14.00,90.00
2026-05-28T12:18:00Z,10.00,90.00
2026-05-28T12:19:00Z,10.00,92.00
2026-05-28T12:20:00Z,9.31,92.00
2026-05-28T12:21:00Z,10.00,92.00
2026-05-28T12:22:00Z,7.22,93.03
2026-05-28T12:23:00Z,4.10,96.12
2026-05-28T12:24:00Z,3.77,96.12
2026-05-28T12:25:00Z,5.00,95.56
2026-05-28T12:27:00Z,5.00,97.00
2026-05-28T12:29:00Z,6.00,95.00
2026-05-28T12:30:00Z,6.00,98.36
2026-05-28T12:31:00Z,1.98,96.00
2026-05-28T12:32:00Z,2.00,96.00
2026-05-28T12:33:00Z,4.00,98.03
2026-05-28T12:34:00Z,12.38,92.22
2026-05-28T12:35:00Z,1.41,98.69
