# event_ticker=KXATPCHALLENGERMATCH-26MAY12CIGVIL
# final_score=6-2 7-6(4)
# score_resolution=6-2 7-6
# match_winner=Gonzalo Villanueva
# fav_player=Gonzalo Villanueva
# dog_player=Thiago Cigarran
# kalshi_date=2026-05-12
timestamp,Thiago Cigarran,Gonzalo Villanueva
2026-05-12T06:45:00Z,39.00,63.00
2026-05-12T09:27:00Z,27.90,70.70
2026-05-12T09:49:00Z,26.00,70.70
2026-05-12T09:50:00Z,26.00,70.70
2026-05-12T10:17:00Z,26.00,82.00
2026-05-12T10:23:00Z,19.00,82.00
2026-05-12T10:54:00Z,19.00,84.00
2026-05-12T11:13:00Z,17.00,84.00
2026-05-12T11:15:00Z,17.00,84.00
2026-05-12T11:28:00Z,16.00,84.00
2026-05-12T13:48:00Z,17.00,84.00
2026-05-12T15:35:00Z,16.00,85.00
2026-05-12T15:39:00Z,16.00,85.00
2026-05-12T15:41:00Z,16.00,85.00
2026-05-12T15:48:00Z,17.00,85.00
2026-05-12T15:49:00Z,17.00,85.00
2026-05-12T15:54:00Z,17.00,85.00
2026-05-12T16:02:00Z,17.00,85.00
2026-05-12T16:03:00Z,16.00,85.00
2026-05-12T16:06:00Z,16.11,85.00
2026-05-12T16:16:00Z,16.00,85.00
2026-05-12T16:18:00Z,17.00,85.00
2026-05-12T16:26:00Z,17.00,85.00
2026-05-12T16:31:00Z,17.00,85.00
2026-05-12T16:36:00Z,16.00,85.00
2026-05-12T16:40:00Z,15.00,85.00
2026-05-12T16:41:00Z,19.23,84.00
2026-05-12T16:42:00Z,15.00,84.00
2026-05-12T16:43:00Z,15.00,87.00
2026-05-12T16:44:00Z,14.00,87.00
2026-05-12T16:45:00Z,15.00,87.00
2026-05-12T16:46:00Z,14.00,87.00
2026-05-12T16:47:00Z,13.00,89.00
2026-05-12T16:48:00Z,11.00,89.00
2026-05-12T16:49:00Z,15.00,88.00
2026-05-12T16:50:00Z,17.20,88.00
2026-05-12T16:51:00Z,20.11,88.00
2026-05-12T16:52:00Z,25.15,88.00
2026-05-12T16:53:00Z,18.68,81.18
2026-05-12T16:54:00Z,20.32,81.00
2026-05-12T16:55:00Z,15.00,81.00
2026-05-12T16:56:00Z,15.00,86.00
2026-05-12T16:58:00Z,13.56,88.00
2026-05-12T16:59:00Z,14.00,88.00
2026-05-12T17:00:00Z,14.00,89.00
2026-05-12T17:01:00Z,14.09,87.00
2026-05-12T17:02:00Z,16.96,85.00
2026-05-12T17:03:00Z,17.68,84.50
2026-05-12T17:04:00Z,22.11,79.00
2026-05-12T17:05:00Z,20.12,78.08
2026-05-12T17:06:00Z,21.04,79.00
2026-05-12T17:07:00Z,20.74,79.00
2026-05-12T17:08:00Z,16.99,79.00
2026-05-12T17:09:00Z,15.64,85.00
2026-05-12T17:10:00Z,17.13,85.00
2026-05-12T17:11:00Z,16.93,86.00
2026-05-12T17:12:00Z,15.05,85.00
2026-05-12T17:14:00Z,8.66,90.71
2026-05-12T17:15:00Z,7.19,93.00
2026-05-12T17:16:00Z,5.92,93.00
2026-05-12T17:17:00Z,7.44,93.00
2026-05-12T17:18:00Z,7.41,93.00
2026-05-12T17:19:00Z,6.00,94.95
2026-05-12T17:20:00Z,5.89,96.00
2026-05-12T17:21:00Z,4.00,96.00
2026-05-12T17:22:00Z,5.08,96.00
2026-05-12T17:23:00Z,5.00,96.00
2026-05-12T17:24:00Z,5.00,96.02
2026-05-12T17:25:00Z,4.99,96.00
2026-05-12T17:26:00Z,5.39,96.00
2026-05-12T17:27:00Z,5.39,97.00
2026-05-12T17:28:00Z,4.50,96.87
2026-05-12T17:29:00Z,5.40,96.06
2026-05-12T17:30:00Z,5.69,95.43
2026-05-12T17:31:00Z,7.00,95.22
2026-05-12T17:32:00Z,7.02,95.84
2026-05-12T17:33:00Z,7.56,92.02
2026-05-12T17:34:00Z,10.09,92.00
2026-05-12T17:35:00Z,9.36,92.00
2026-05-12T17:36:00Z,8.98,92.04
2026-05-12T17:37:00Z,6.83,93.00
2026-05-12T17:38:00Z,10.37,91.00
2026-05-12T17:39:00Z,11.22,89.24
2026-05-12T17:40:00Z,13.90,87.98
2026-05-12T17:41:00Z,13.91,86.04
2026-05-12T17:42:00Z,13.43,88.81
2026-05-12T17:43:00Z,11.38,90.00
2026-05-12T17:44:00Z,11.94,90.05
2026-05-12T17:45:00Z,8.86,91.93
2026-05-12T17:46:00Z,9.86,92.93
2026-05-12T17:47:00Z,8.21,93.02
2026-05-12T17:48:00Z,10.44,91.92
2026-05-12T17:49:00Z,11.37,88.38
2026-05-12T17:50:00Z,12.71,88.00
2026-05-12T17:51:00Z,13.61,88.20
2026-05-12T17:52:00Z,14.98,85.82
2026-05-12T17:53:00Z,17.25,84.62
2026-05-12T17:54:00Z,16.24,86.97
2026-05-12T17:55:00Z,15.66,84.99
2026-05-12T17:56:00Z,14.63,86.00
2026-05-12T17:57:00Z,13.19,86.00
2026-05-12T17:58:00Z,14.17,85.98
2026-05-12T17:59:00Z,13.76,88.53
2026-05-12T18:00:00Z,12.05,89.04
2026-05-12T18:01:00Z,9.81,93.39
2026-05-12T18:02:00Z,6.12,94.31
2026-05-12T18:03:00Z,5.90,95.00
2026-05-12T18:04:00Z,5.68,94.80
2026-05-12T18:05:00Z,6.00,95.00
2026-05-12T18:06:00Z,5.99,96.00
2026-05-12T18:07:00Z,2.67,97.81
2026-05-12T18:08:00Z,1.98,98.92
2026-05-12T18:09:00Z,1.35,98.94
2026-05-12T18:10:00Z,2.03,98.12
2026-05-12T18:11:00Z,2.00,98.30
2026-05-12T18:12:00Z,3.31,97.01
2026-05-12T18:13:00Z,5.48,96.00
2026-05-12T18:14:00Z,6.04,95.12
2026-05-12T18:15:00Z,6.04,95.00
2026-05-12T18:16:00Z,7.00,94.35
2026-05-12T18:17:00Z,7.68,92.67
2026-05-12T18:18:00Z,6.25,94.15
2026-05-12T18:19:00Z,3.97,96.96
2026-05-12T18:20:00Z,4.77,95.64
2026-05-12T18:21:00Z,8.62,92.27
2026-05-12T18:22:00Z,10.07,91.41
2026-05-12T18:23:00Z,17.29,81.60
2026-05-12T18:24:00Z,16.42,83.50
2026-05-12T18:25:00Z,13.88,88.63
2026-05-12T18:26:00Z,7.74,92.15
2026-05-12T18:27:00Z,6.89,93.98
2026-05-12T18:28:00Z,7.40,93.73
2026-05-12T18:29:00Z,9.95,92.65
2026-05-12T18:30:00Z,12.04,89.64
2026-05-12T18:31:00Z,15.61,84.48
2026-05-12T18:32:00Z,17.36,82.03
2026-05-12T18:33:00Z,19.05,81.91
2026-05-12T18:34:00Z,16.58,81.48
2026-05-12T18:35:00Z,20.03,80.02
2026-05-12T18:36:00Z,15.32,85.76
2026-05-12T18:37:00Z,10.55,91.15
2026-05-12T18:38:00Z,7.40,92.86
2026-05-12T18:39:00Z,1.95,97.95
2026-05-12T18:40:00Z,1.00,99.00
2026-05-12T18:41:00Z,1.00,99.00
2026-05-12T18:42:00Z,1.00,99.00
