# event_ticker=KXATPCHALLENGERMATCH-26MAY20BARMAT
# final_score=6-3 7-5
# match_winner=Hynek Barton
# fav_player=Hynek Barton
# dog_player=Anton Matusevich
# kalshi_date=2026-05-20
timestamp,Hynek Barton,Anton Matusevich
2026-05-20T23:21:00Z,74.00,
2026-05-21T00:44:00Z,74.00,
2026-05-21T00:47:00Z,73.00,
2026-05-21T01:11:00Z,74.00,
2026-05-21T01:44:00Z,73.00,
2026-05-21T02:30:00Z,74.00,
2026-05-21T03:37:00Z,75.00,
2026-05-21T04:01:00Z,75.00,
2026-05-21T04:51:00Z,75.00,
2026-05-21T05:01:00Z,75.00,27.00
2026-05-21T05:19:00Z,73.00,27.00
2026-05-21T05:31:00Z,75.00,27.00
2026-05-21T05:39:00Z,75.00,27.00
2026-05-21T06:59:00Z,75.00,27.00
2026-05-21T07:51:00Z,75.00,27.00
2026-05-21T09:11:00Z,76.00,27.00
2026-05-21T09:14:00Z,75.00,27.00
2026-05-21T09:16:00Z,75.00,29.00
2026-05-21T09:28:00Z,75.92,29.00
2026-05-21T09:38:00Z,76.00,29.00
2026-05-21T09:41:00Z,76.00,29.00
2026-05-21T09:56:00Z,75.00,29.00
2026-05-21T10:02:00Z,75.00,29.99
2026-05-21T10:10:00Z,76.00,29.99
2026-05-21T10:14:00Z,75.00,25.00
2026-05-21T10:15:00Z,83.00,18.35
2026-05-21T10:16:00Z,85.00,18.35
2026-05-21T10:17:00Z,86.98,16.00
2026-05-21T10:18:00Z,86.98,14.00
2026-05-21T10:19:00Z,87.00,14.00
2026-05-21T10:20:00Z,88.00,14.00
2026-05-21T10:21:00Z,86.00,13.99
2026-05-21T10:22:00Z,86.00,14.00
2026-05-21T10:25:00Z,86.00,15.00
2026-05-21T10:26:00Z,85.00,15.00
2026-05-21T10:27:00Z,85.00,11.06
2026-05-21T10:29:00Z,90.00,11.06
2026-05-21T10:30:00Z,90.00,8.01
2026-05-21T10:31:00Z,90.00,8.48
2026-05-21T10:32:00Z,90.00,9.00
2026-05-21T10:33:00Z,90.00,9.00
2026-05-21T10:35:00Z,93.00,8.00
2026-05-21T10:36:00Z,94.96,5.12
2026-05-21T10:37:00Z,96.07,3.89
2026-05-21T10:38:00Z,98.00,2.54
2026-05-21T10:39:00Z,98.00,3.48
2026-05-21T10:40:00Z,97.69,2.02
2026-05-21T10:41:00Z,98.00,2.00
2026-05-21T10:42:00Z,98.76,1.00
2026-05-21T10:46:00Z,98.76,2.00
2026-05-21T10:47:00Z,99.00,2.00
2026-05-21T10:48:00Z,98.00,2.00
2026-05-21T10:49:00Z,95.82,4.79
2026-05-21T10:51:00Z,93.95,4.79
2026-05-21T10:52:00Z,95.00,7.71
2026-05-21T10:53:00Z,91.96,7.00
2026-05-21T10:54:00Z,93.00,8.84
2026-05-21T10:56:00Z,92.00,8.84
2026-05-21T10:57:00Z,92.00,6.68
2026-05-21T10:58:00Z,92.00,9.00
2026-05-21T10:59:00Z,91.00,9.00
2026-05-21T11:02:00Z,91.00,11.39
2026-05-21T11:03:00Z,91.43,9.00
2026-05-21T11:04:00Z,91.43,9.00
2026-05-21T11:05:00Z,92.00,10.00
2026-05-21T11:07:00Z,92.00,8.57
2026-05-21T11:08:00Z,90.00,8.57
2026-05-21T11:09:00Z,93.00,6.60
2026-05-21T11:10:00Z,97.00,6.60
2026-05-21T11:11:00Z,97.00,8.35
2026-05-21T11:12:00Z,97.00,10.00
2026-05-21T11:13:00Z,97.00,9.00
2026-05-21T11:14:00Z,92.39,11.83
2026-05-21T11:15:00Z,92.39,9.00
2026-05-21T11:16:00Z,93.81,6.00
2026-05-21T11:17:00Z,96.79,5.96
2026-05-21T11:18:00Z,98.91,1.44
2026-05-21T11:20:00Z,99.00,1.00
