# event_ticker=KXATPMATCH-25OCT14NAKMED
# final_score=7-6(5) 6-2
# score_resolution=7-6 6-2
# match_winner=Brandon Nakashima
# fav_player=Brandon Nakashima
# dog_player=Hamad Medjedovic
# kalshi_date=2025-10-14
timestamp,Brandon Nakashima,Hamad Medjedovic
2025-10-13T23:15:00Z,,48.00
2025-10-13T23:19:00Z,54.00,48.00
2025-10-14T00:14:00Z,54.00,48.00
2025-10-14T01:25:00Z,54.00,48.00
2025-10-14T01:47:00Z,54.00,47.00
2025-10-14T01:49:00Z,54.00,47.00
2025-10-14T02:00:00Z,54.00,47.00
2025-10-14T02:25:00Z,54.00,47.00
2025-10-14T02:50:00Z,54.00,47.00
2025-10-14T02:59:00Z,54.00,47.00
2025-10-14T03:07:00Z,54.00,47.00
2025-10-14T03:09:00Z,54.00,47.00
2025-10-14T03:19:00Z,54.00,47.00
2025-10-14T03:26:00Z,54.00,47.00
2025-10-14T03:27:00Z,54.00,46.00
2025-10-14T03:29:00Z,54.00,46.00
2025-10-14T03:38:00Z,54.00,46.00
2025-10-14T03:42:00Z,54.00,46.00
2025-10-14T03:43:00Z,54.00,46.00
2025-10-14T03:48:00Z,54.00,46.00
2025-10-14T04:05:00Z,54.00,47.00
2025-10-14T04:07:00Z,53.00,47.00
2025-10-14T04:10:00Z,54.00,47.00
2025-10-14T04:45:00Z,54.89,47.00
2025-10-14T04:46:00Z,55.00,47.00
2025-10-14T04:55:00Z,55.00,47.00
2025-10-14T05:01:00Z,55.00,47.00
2025-10-14T05:12:00Z,54.00,47.00
2025-10-14T05:15:00Z,54.00,47.00
2025-10-14T05:19:00Z,54.00,47.00
2025-10-14T05:20:00Z,54.00,47.00
2025-10-14T05:31:00Z,54.00,47.00
2025-10-14T05:33:00Z,54.00,47.00
2025-10-14T05:37:00Z,54.00,47.00
2025-10-14T05:48:00Z,54.00,47.00
2025-10-14T06:02:00Z,54.00,47.00
2025-10-14T06:09:00Z,54.00,47.00
2025-10-14T06:13:00Z,54.00,47.00
2025-10-14T06:24:00Z,54.00,47.00
2025-10-14T06:29:00Z,54.00,46.14
