# event_ticker=KXATPMATCH-25OCT03HUMTHO
# final_score=6-3 7-6(4)
# score_resolution=3-6 6-7
# match_winner=Ugo Humbert
# fav_player=Jordan Thompson
# dog_player=Ugo Humbert
# kalshi_date=2025-10-03
timestamp,Jordan Thompson,Ugo Humbert
2025-10-02T20:02:00Z,,59.00
2025-10-02T20:34:00Z,,59.00
2025-10-02T20:59:00Z,,59.00
2025-10-02T21:36:00Z,,59.00
2025-10-02T21:47:00Z,42.00,59.00
2025-10-02T22:05:00Z,42.00,57.00
2025-10-02T22:09:00Z,42.00,57.00
2025-10-02T22:37:00Z,42.00,57.00
2025-10-02T22:38:00Z,42.00,57.00
2025-10-02T22:40:00Z,42.00,57.00
2025-10-02T22:41:00Z,41.00,57.00
2025-10-02T23:23:00Z,41.00,60.00
2025-10-02T23:48:00Z,41.00,59.00
2025-10-03T01:01:00Z,41.00,60.00
2025-10-03T01:15:00Z,41.00,60.00
2025-10-03T01:19:00Z,41.00,60.00
2025-10-03T02:06:00Z,41.00,60.00
2025-10-03T02:14:00Z,41.00,60.00
2025-10-03T02:59:00Z,42.00,60.00
2025-10-03T03:12:00Z,41.00,60.00
2025-10-03T03:30:00Z,41.00,59.00
2025-10-03T03:33:00Z,41.00,59.62
2025-10-03T03:39:00Z,41.00,60.00
2025-10-03T03:42:00Z,41.00,60.00
2025-10-03T03:45:00Z,41.00,60.00
2025-10-03T03:46:00Z,40.00,61.00
2025-10-03T03:49:00Z,40.00,61.00
2025-10-03T03:50:00Z,40.00,61.00
2025-10-03T03:56:00Z,40.00,61.00
2025-10-03T03:57:00Z,40.00,61.00
2025-10-03T03:58:00Z,40.00,61.00
2025-10-03T03:59:00Z,40.00,61.00
2025-10-03T04:00:00Z,40.00,61.00
2025-10-03T04:01:00Z,40.00,61.00
2025-10-03T04:02:00Z,40.00,61.00
2025-10-03T04:03:00Z,40.00,61.00
2025-10-03T04:04:00Z,40.00,61.00
2025-10-03T04:06:00Z,40.00,61.00
2025-10-03T04:07:00Z,40.00,61.00
2025-10-03T04:09:00Z,40.00,61.00
2025-10-03T04:10:00Z,40.00,61.00
2025-10-03T04:24:00Z,40.00,61.00
2025-10-03T04:25:00Z,40.00,61.00
2025-10-03T04:30:00Z,40.00,61.00
2025-10-03T04:34:00Z,40.00,61.00
2025-10-03T04:36:00Z,40.00,61.00
2025-10-03T04:38:00Z,40.00,61.00
2025-10-03T04:41:00Z,40.00,61.00
2025-10-03T04:55:00Z,40.00,61.00
2025-10-03T05:06:00Z,39.22,61.00
2025-10-03T05:09:00Z,40.00,61.00
2025-10-03T05:12:00Z,40.00,61.00
2025-10-03T05:17:00Z,40.00,61.00
2025-10-03T05:28:00Z,40.00,61.00
2025-10-03T05:32:00Z,40.00,61.00
2025-10-03T05:33:00Z,40.00,60.00
2025-10-03T05:36:00Z,40.00,61.00
2025-10-03T05:38:00Z,40.00,61.00
2025-10-03T05:39:00Z,40.00,61.00
2025-10-03T05:47:00Z,41.00,61.00
2025-10-03T05:50:00Z,41.00,61.00
2025-10-03T05:53:00Z,41.00,61.00
2025-10-03T06:03:00Z,41.00,61.00
2025-10-03T06:08:00Z,41.00,61.00
2025-10-03T06:10:00Z,41.00,61.00
2025-10-03T06:11:00Z,41.00,61.00
2025-10-03T06:12:00Z,41.00,61.00
2025-10-03T06:13:00Z,41.00,61.00
2025-10-03T06:14:00Z,41.76,61.00
2025-10-03T06:17:00Z,42.00,61.00
2025-10-03T06:18:00Z,42.00,61.00
2025-10-03T06:20:00Z,42.00,61.00
2025-10-03T06:22:00Z,42.00,61.00
2025-10-03T06:23:00Z,42.00,61.00
2025-10-03T06:24:00Z,42.00,61.00
2025-10-03T06:25:00Z,42.00,61.00
2025-10-03T06:27:00Z,42.00,61.00
2025-10-03T06:29:00Z,42.00,61.00
2025-10-03T06:31:00Z,42.00,61.00
2025-10-03T06:32:00Z,42.00,61.00
2025-10-03T06:34:00Z,42.00,61.00
2025-10-03T06:35:00Z,42.00,60.00
2025-10-03T06:36:00Z,42.00,59.00
2025-10-03T06:37:00Z,42.00,59.00
2025-10-03T06:39:00Z,42.00,62.69
2025-10-03T06:40:00Z,39.00,62.69
2025-10-03T06:41:00Z,39.00,63.58
2025-10-03T06:42:00Z,39.00,62.60
2025-10-03T06:44:00Z,39.00,69.00
2025-10-03T06:45:00Z,37.00,63.00
2025-10-03T06:46:00Z,37.00,63.00
2025-10-03T06:48:00Z,37.00,67.00
2025-10-03T06:49:00Z,37.00,65.00
2025-10-03T06:50:00Z,35.74,63.92
2025-10-03T06:51:00Z,41.08,66.17
2025-10-03T06:52:00Z,38.93,62.00
2025-10-03T06:53:00Z,36.00,63.53
2025-10-03T06:54:00Z,33.00,68.53
2025-10-03T06:55:00Z,25.58,77.27
2025-10-03T06:56:00Z,17.10,77.27
2025-10-03T06:57:00Z,17.10,81.00
2025-10-03T06:58:00Z,18.89,82.96
