# event_ticker=KXATPCHALLENGERMATCH-26APR06BOSROD
# final_score=6-3 6-3
# score_resolution=3-6 3-6
# match_winner=Pedro Boscardin Dias
# fav_player=Lorenzo Joaquin Rodriguez
# dog_player=Pedro Boscardin Dias
# kalshi_date=2026-04-06
timestamp,Lorenzo Joaquin Rodriguez,Pedro Boscardin Dias
2026-04-06T08:02:00Z,,62.00
2026-04-06T12:01:00Z,,66.00
2026-04-06T12:06:00Z,,66.62
2026-04-06T13:36:00Z,37.00,66.62
2026-04-06T14:40:00Z,37.00,67.00
2026-04-06T14:41:00Z,36.00,67.00
2026-04-06T14:43:00Z,36.00,67.00
2026-04-06T14:46:00Z,36.00,67.00
2026-04-06T14:59:00Z,36.00,67.00
2026-04-06T15:06:00Z,36.00,67.00
2026-04-06T15:13:00Z,36.00,67.00
2026-04-06T15:15:00Z,36.00,67.00
2026-04-06T15:23:00Z,33.00,67.00
2026-04-06T15:26:00Z,36.00,67.00
2026-04-06T15:49:00Z,36.00,66.00
2026-04-06T16:02:00Z,36.00,67.00
2026-04-06T16:06:00Z,36.00,67.00
2026-04-06T16:13:00Z,34.00,67.00
2026-04-06T16:16:00Z,34.00,67.00
2026-04-06T16:18:00Z,34.00,67.00
2026-04-06T16:26:00Z,34.00,67.00
2026-04-06T16:29:00Z,34.00,67.00
2026-04-06T16:44:00Z,34.00,67.00
2026-04-06T16:47:00Z,34.00,67.00
2026-04-06T16:50:00Z,34.00,67.00
2026-04-06T17:00:00Z,34.00,67.00
2026-04-06T17:33:00Z,34.00,67.00
2026-04-06T17:35:00Z,34.00,67.00
2026-04-06T17:42:00Z,34.00,67.00
2026-04-06T17:45:00Z,34.00,67.00
2026-04-06T17:47:00Z,34.00,67.00
2026-04-06T17:49:00Z,34.00,67.00
2026-04-06T17:51:00Z,34.00,67.00
2026-04-06T17:52:00Z,34.00,67.00
2026-04-06T17:56:00Z,34.00,67.00
2026-04-06T17:58:00Z,34.00,67.00
2026-04-06T18:07:00Z,34.00,67.00
2026-04-06T18:09:00Z,36.00,67.00
2026-04-06T18:10:00Z,35.99,67.00
2026-04-06T18:12:00Z,35.99,66.00
2026-04-06T18:13:00Z,35.99,70.47
2026-04-06T18:14:00Z,35.99,69.99
2026-04-06T18:15:00Z,35.99,69.00
2026-04-06T18:17:00Z,35.99,65.73
2026-04-06T18:18:00Z,37.77,66.64
2026-04-06T18:19:00Z,34.00,69.00
2026-04-06T18:20:00Z,33.98,66.17
2026-04-06T18:21:00Z,32.50,66.17
2026-04-06T18:22:00Z,33.14,66.17
2026-04-06T18:23:00Z,23.54,75.16
2026-04-06T18:24:00Z,30.36,70.98
2026-04-06T18:25:00Z,30.77,74.00
2026-04-06T18:26:00Z,31.00,70.01
2026-04-06T18:27:00Z,32.00,67.61
2026-04-06T18:28:00Z,29.00,70.32
2026-04-06T18:29:00Z,29.00,71.75
2026-04-06T18:31:00Z,26.00,73.69
2026-04-06T18:32:00Z,24.83,77.64
2026-04-06T18:33:00Z,19.20,80.95
2026-04-06T18:34:00Z,20.99,78.03
2026-04-06T18:35:00Z,18.56,81.30
2026-04-06T18:36:00Z,22.08,78.95
2026-04-06T18:37:00Z,24.30,77.11
2026-04-06T18:38:00Z,19.82,79.86
2026-04-06T18:39:00Z,17.00,84.29
2026-04-06T18:40:00Z,17.00,84.00
2026-04-06T18:41:00Z,16.00,84.00
2026-04-06T18:42:00Z,16.00,84.00
2026-04-06T18:43:00Z,18.00,83.00
2026-04-06T18:44:00Z,15.00,83.95
2026-04-06T18:45:00Z,13.00,87.00
2026-04-06T18:46:00Z,14.00,87.00
2026-04-06T18:47:00Z,12.79,88.00
2026-04-06T18:48:00Z,14.14,85.91
2026-04-06T18:49:00Z,13.52,87.73
2026-04-06T18:50:00Z,13.69,85.00
2026-04-06T18:51:00Z,13.78,87.00
2026-04-06T18:52:00Z,14.95,87.98
2026-04-06T18:53:00Z,18.74,83.00
2026-04-06T18:54:00Z,19.69,80.55
2026-04-06T18:55:00Z,15.54,86.55
2026-04-06T18:56:00Z,14.00,86.02
2026-04-06T18:57:00Z,12.74,87.94
2026-04-06T18:58:00Z,13.00,87.94
2026-04-06T18:59:00Z,13.00,87.94
2026-04-06T19:00:00Z,13.00,87.59
2026-04-06T19:01:00Z,12.47,88.78
2026-04-06T19:02:00Z,12.31,87.50
2026-04-06T19:03:00Z,15.50,85.00
2026-04-06T19:04:00Z,15.78,87.00
2026-04-06T19:05:00Z,17.19,85.03
2026-04-06T19:06:00Z,17.95,82.26
2026-04-06T19:07:00Z,14.41,85.90
2026-04-06T19:08:00Z,13.26,87.00
2026-04-06T19:09:00Z,15.92,88.00
2026-04-06T19:10:00Z,13.58,88.79
2026-04-06T19:11:00Z,7.51,90.00
2026-04-06T19:12:00Z,6.01,94.00
2026-04-06T19:13:00Z,7.63,92.66
2026-04-06T19:14:00Z,7.36,91.09
2026-04-06T19:15:00Z,12.96,89.22
2026-04-06T19:16:00Z,12.46,88.76
2026-04-06T19:17:00Z,11.64,88.00
2026-04-06T19:18:00Z,11.07,89.75
2026-04-06T19:19:00Z,8.86,89.86
2026-04-06T19:20:00Z,6.75,93.84
2026-04-06T19:21:00Z,6.00,94.00
2026-04-06T19:22:00Z,8.63,92.94
2026-04-06T19:23:00Z,11.06,88.86
2026-04-06T19:24:00Z,10.42,88.12
2026-04-06T19:25:00Z,5.25,94.09
2026-04-06T19:26:00Z,4.80,96.02
2026-04-06T19:27:00Z,6.11,95.89
2026-04-06T19:28:00Z,5.16,95.00
2026-04-06T19:29:00Z,6.67,94.82
2026-04-06T19:30:00Z,4.88,94.97
2026-04-06T19:31:00Z,3.42,97.23
2026-04-06T19:32:00Z,2.06,98.00
2026-04-06T19:33:00Z,1.45,99.00
2026-04-06T19:34:00Z,3.21,97.88
2026-04-06T19:35:00Z,2.45,98.11
2026-04-06T19:36:00Z,1.18,99.00
2026-04-06T19:37:00Z,1.81,99.00
2026-04-06T19:39:00Z,1.81,99.00
2026-04-06T19:42:00Z,1.81,99.00
