# event_ticker=KXATPMATCH-26MAR31SAKCHO
# final_score=6-3 6-4
# score_resolution=3-6 4-6
# match_winner=Stefanos Sakellaridis
# fav_player=Jan Choinski
# dog_player=Stefanos Sakellaridis
# kalshi_date=2026-03-31
timestamp,Jan Choinski,Stefanos Sakellaridis
2026-03-31T14:08:00Z,50.00,
2026-03-31T14:09:00Z,94.00,
2026-03-31T14:12:00Z,94.00,94.00
2026-03-31T14:13:00Z,93.06,94.00
2026-03-31T14:14:00Z,51.84,94.00
2026-03-31T14:17:00Z,10.00,93.00
2026-03-31T14:20:00Z,68.50,93.00
2026-03-31T14:21:00Z,76.98,93.00
2026-03-31T14:22:00Z,76.98,67.00
2026-03-31T14:24:00Z,66.00,39.00
2026-03-31T14:25:00Z,76.63,39.00
2026-03-31T14:26:00Z,80.98,50.00
2026-03-31T14:27:00Z,67.29,53.98
2026-03-31T14:28:00Z,79.99,53.98
2026-03-31T14:29:00Z,79.99,70.01
2026-03-31T14:32:00Z,79.99,76.92
2026-03-31T14:33:00Z,35.75,75.91
2026-03-31T14:34:00Z,50.00,70.33
2026-03-31T14:35:00Z,57.36,70.00
2026-03-31T14:36:00Z,40.58,68.55
2026-03-31T14:37:00Z,56.04,58.00
2026-03-31T14:38:00Z,45.03,77.00
2026-03-31T14:39:00Z,50.81,56.33
2026-03-31T14:40:00Z,56.43,42.13
2026-03-31T14:41:00Z,57.42,44.78
2026-03-31T14:42:00Z,55.00,55.38
2026-03-31T14:43:00Z,57.96,55.38
2026-03-31T14:44:00Z,79.97,21.48
2026-03-31T14:45:00Z,60.00,55.00
2026-03-31T14:46:00Z,60.00,45.98
2026-03-31T14:47:00Z,63.29,45.57
2026-03-31T14:48:00Z,61.63,41.68
2026-03-31T14:49:00Z,57.16,51.26
2026-03-31T14:50:00Z,60.00,51.26
2026-03-31T14:51:00Z,63.75,43.16
2026-03-31T14:52:00Z,56.79,45.31
2026-03-31T14:53:00Z,50.31,49.77
2026-03-31T14:54:00Z,50.31,49.00
2026-03-31T14:55:00Z,46.79,61.48
2026-03-31T14:56:00Z,46.73,61.47
2026-03-31T14:57:00Z,43.04,63.05
2026-03-31T14:58:00Z,45.07,64.54
2026-03-31T14:59:00Z,35.35,63.88
2026-03-31T15:00:00Z,42.31,63.14
2026-03-31T15:01:00Z,37.67,63.00
2026-03-31T15:02:00Z,30.07,70.97
2026-03-31T15:03:00Z,24.16,74.51
2026-03-31T15:04:00Z,26.46,72.76
2026-03-31T15:05:00Z,16.88,87.42
2026-03-31T15:06:00Z,11.00,88.99
2026-03-31T15:07:00Z,13.10,88.20
2026-03-31T15:08:00Z,22.33,81.43
2026-03-31T15:09:00Z,17.74,81.09
2026-03-31T15:10:00Z,12.45,90.46
2026-03-31T15:11:00Z,11.47,91.27
2026-03-31T15:12:00Z,13.17,88.68
2026-03-31T15:13:00Z,5.52,94.98
2026-03-31T15:14:00Z,7.22,95.51
2026-03-31T15:15:00Z,8.22,92.53
2026-03-31T15:16:00Z,7.96,93.91
2026-03-31T15:17:00Z,8.76,91.99
2026-03-31T15:18:00Z,7.06,92.67
2026-03-31T15:19:00Z,2.04,97.74
2026-03-31T15:20:00Z,1.00,99.00
2026-03-31T15:21:00Z,1.00,99.00
