# event_ticker=KXATPMATCH-26FEB22POPMAJ
# final_score=3-6 6-3 7-5
# match_winner=Alexei Popyrin
# fav_player=Alexei Popyrin
# dog_player=Kamil Majchrzak
# kalshi_date=2026-02-22
timestamp,Alexei Popyrin,Kamil Majchrzak
2026-02-24T04:10:00Z,53.00,
2026-02-24T04:19:00Z,53.00,
2026-02-24T04:39:00Z,53.00,
2026-02-24T04:40:00Z,53.00,
2026-02-24T04:49:00Z,53.00,
2026-02-24T04:54:00Z,53.00,
2026-02-24T04:56:00Z,53.00,47.00
2026-02-24T04:57:00Z,53.00,47.00
2026-02-24T04:58:00Z,53.00,47.00
2026-02-24T05:04:00Z,53.00,47.00
2026-02-24T05:08:00Z,53.00,47.00
2026-02-24T05:12:00Z,53.00,47.00
2026-02-24T05:19:00Z,53.00,47.00
2026-02-24T05:21:00Z,53.00,47.00
2026-02-24T05:29:00Z,53.00,47.00
2026-02-24T05:33:00Z,53.00,47.00
2026-02-24T05:34:00Z,53.00,47.00
2026-02-24T05:40:00Z,53.00,48.00
2026-02-24T05:54:00Z,53.00,48.00
2026-02-24T05:56:00Z,53.00,48.00
2026-02-24T06:01:00Z,53.00,48.00
2026-02-24T06:08:00Z,53.00,48.00
2026-02-24T06:11:00Z,53.00,48.00
2026-02-24T06:12:00Z,53.00,48.00
2026-02-24T06:15:00Z,53.00,48.00
2026-02-24T06:16:00Z,53.00,48.00
2026-02-24T06:17:00Z,54.00,48.00
2026-02-24T06:19:00Z,54.00,48.00
2026-02-24T06:21:00Z,54.00,48.00
2026-02-24T06:23:00Z,54.00,48.00
2026-02-24T06:24:00Z,54.00,48.00
2026-02-24T06:33:00Z,54.00,48.00
2026-02-24T06:37:00Z,54.00,48.00
2026-02-24T06:41:00Z,54.00,46.00
2026-02-24T06:44:00Z,54.00,48.00
2026-02-24T06:46:00Z,54.00,48.00
2026-02-24T06:58:00Z,53.00,48.00
2026-02-24T07:00:00Z,53.00,47.00
2026-02-24T07:03:00Z,53.00,47.00
2026-02-24T07:08:00Z,53.00,47.00
2026-02-24T07:13:00Z,53.00,47.00
2026-02-24T07:16:00Z,53.00,47.00
2026-02-24T07:17:00Z,53.00,47.00
2026-02-24T07:26:00Z,53.00,47.00
2026-02-24T07:28:00Z,53.00,47.00
2026-02-24T07:29:00Z,53.00,47.00
2026-02-24T07:41:00Z,53.00,47.00
2026-02-24T07:46:00Z,53.00,47.00
2026-02-24T08:08:00Z,53.00,47.00
2026-02-24T08:19:00Z,53.00,47.00
2026-02-24T08:26:00Z,53.00,47.00
2026-02-24T08:29:00Z,53.00,47.00
2026-02-24T08:32:00Z,53.00,47.00
2026-02-24T08:36:00Z,53.00,47.00
2026-02-24T08:52:00Z,53.00,47.00
2026-02-24T08:57:00Z,53.00,47.00
2026-02-24T09:10:00Z,53.00,47.00
2026-02-24T09:22:00Z,53.00,47.00
2026-02-24T09:29:00Z,53.00,47.00
2026-02-24T09:31:00Z,53.00,47.00
2026-02-24T09:35:00Z,53.00,47.00
2026-02-24T09:57:00Z,53.62,47.00
2026-02-24T09:58:00Z,53.62,47.00
2026-02-24T10:05:00Z,53.62,47.00
2026-02-24T10:14:00Z,53.00,47.00
2026-02-24T10:19:00Z,53.00,47.00
2026-02-24T10:34:00Z,53.00,47.00
2026-02-24T10:36:00Z,54.00,47.00
2026-02-24T10:41:00Z,53.00,47.00
2026-02-24T11:05:00Z,54.00,47.00
2026-02-24T11:09:00Z,54.00,47.00
2026-02-24T11:19:00Z,54.00,47.00
2026-02-24T11:22:00Z,54.00,47.00
2026-02-24T11:23:00Z,54.00,47.00
2026-02-24T11:24:00Z,54.00,47.00
2026-02-24T11:28:00Z,54.00,47.00
2026-02-24T11:42:00Z,54.00,47.00
2026-02-24T11:43:00Z,54.00,47.00
2026-02-24T12:00:00Z,54.00,47.00
2026-02-24T12:04:00Z,54.00,47.00
2026-02-24T12:14:00Z,54.00,47.00
2026-02-24T12:20:00Z,54.00,47.00
2026-02-24T12:28:00Z,54.00,47.00
2026-02-24T12:33:00Z,54.00,47.00
2026-02-24T12:42:00Z,54.00,47.00
2026-02-24T12:43:00Z,54.00,47.00
