# event_ticker=KXATPCHALLENGERMATCH-26MAY06MIGLEI
# final_score=6-3 6-1
# match_winner=Luis Miguel
# fav_player=Luis Guto Miguel
# dog_player=Wilson Leite
# kalshi_date=2026-05-06
timestamp,Luis Guto Miguel,Wilson Leite
2026-05-06T11:03:00Z,72.00,
2026-05-06T11:23:00Z,72.00,27.00
2026-05-06T13:14:00Z,69.66,31.63
2026-05-06T13:15:00Z,69.00,31.63
2026-05-06T13:32:00Z,69.00,31.63
2026-05-06T13:40:00Z,69.00,31.63
2026-05-06T15:06:00Z,69.00,31.00
2026-05-06T15:30:00Z,69.00,31.00
2026-05-06T15:32:00Z,69.00,31.00
2026-05-06T15:33:00Z,69.00,31.00
2026-05-06T15:42:00Z,69.00,31.00
2026-05-06T16:15:00Z,69.00,31.00
2026-05-06T16:25:00Z,69.00,31.00
2026-05-06T16:40:00Z,69.00,30.00
2026-05-06T17:10:00Z,69.00,30.00
2026-05-06T17:27:00Z,69.00,30.00
2026-05-06T17:37:00Z,69.00,30.00
2026-05-06T17:42:00Z,68.00,30.00
2026-05-06T17:53:00Z,68.00,30.00
2026-05-06T17:57:00Z,69.00,30.00
2026-05-06T18:03:00Z,69.00,30.00
2026-05-06T18:09:00Z,69.00,30.00
2026-05-06T18:10:00Z,69.00,30.00
2026-05-06T18:13:00Z,69.00,30.00
2026-05-06T18:16:00Z,69.00,29.00
2026-05-06T18:17:00Z,69.00,30.00
2026-05-06T18:26:00Z,69.00,30.00
2026-05-06T18:36:00Z,69.00,30.00
2026-05-06T18:40:00Z,69.00,30.00
2026-05-06T18:44:00Z,69.00,29.00
2026-05-06T18:52:00Z,69.00,30.00
2026-05-06T18:55:00Z,69.00,30.00
2026-05-06T18:57:00Z,69.00,30.00
2026-05-06T19:08:00Z,69.00,30.00
2026-05-06T19:09:00Z,69.00,30.00
2026-05-06T19:16:00Z,69.00,30.00
2026-05-06T19:17:00Z,69.00,30.00
2026-05-06T19:27:00Z,69.00,30.00
