# event_ticker=KXATPCHALLENGERMATCH-26APR20BARBRO
# final_score=3-6 6-1 6-3
# score_resolution=6-3 1-6 3-6
# match_winner=Petr Bar Biryukov
# fav_player=Gijs Brouwer
# dog_player=Petr Bar Biryukov
# kalshi_date=2026-04-20
timestamp,Petr Bar Biryukov,Gijs Brouwer
2026-04-20T00:50:00Z,,68.00
2026-04-20T01:30:00Z,34.00,68.00
2026-04-20T02:05:00Z,34.00,68.00
2026-04-20T02:27:00Z,34.00,67.00
2026-04-20T02:37:00Z,34.00,67.00
2026-04-20T05:25:00Z,34.00,67.00
2026-04-20T05:31:00Z,34.00,67.00
2026-04-20T06:01:00Z,34.00,67.00
2026-04-20T06:14:00Z,34.00,67.00
2026-04-20T06:31:00Z,34.00,69.00
2026-04-20T07:07:00Z,34.00,69.00
2026-04-20T07:11:00Z,34.00,69.00
2026-04-20T07:12:00Z,34.00,69.00
2026-04-20T07:16:00Z,34.00,69.00
2026-04-20T07:30:00Z,34.00,69.00
2026-04-20T07:43:00Z,34.00,69.00
2026-04-20T09:31:00Z,34.00,69.00
2026-04-20T09:51:00Z,34.00,68.88
2026-04-20T10:02:00Z,34.00,68.88
2026-04-20T10:10:00Z,34.00,69.00
2026-04-20T10:42:00Z,35.07,69.00
2026-04-20T10:48:00Z,33.00,69.00
2026-04-20T10:50:00Z,33.00,68.56
2026-04-20T10:54:00Z,32.00,70.10
2026-04-20T10:56:00Z,29.00,70.43
2026-04-20T10:57:00Z,10.63,82.78
2026-04-20T10:58:00Z,17.96,84.49
2026-04-20T10:59:00Z,11.18,88.00
2026-04-20T11:00:00Z,14.00,88.00
2026-04-20T11:01:00Z,14.25,88.00
2026-04-20T11:02:00Z,16.60,86.00
2026-04-20T11:04:00Z,16.60,86.00
2026-04-20T11:06:00Z,12.00,88.00
2026-04-20T11:07:00Z,14.77,88.00
2026-04-20T11:08:00Z,16.56,88.00
2026-04-20T11:09:00Z,19.02,88.00
2026-04-20T11:11:00Z,16.00,86.00
2026-04-20T11:12:00Z,14.11,86.00
2026-04-20T11:14:00Z,15.99,84.00
2026-04-20T11:15:00Z,16.00,84.00
2026-04-20T11:16:00Z,21.53,84.00
2026-04-20T11:17:00Z,24.27,84.00
2026-04-20T11:18:00Z,36.41,77.90
2026-04-20T11:19:00Z,27.58,76.80
2026-04-20T11:20:00Z,22.24,78.18
2026-04-20T11:21:00Z,20.83,78.18
2026-04-20T11:22:00Z,19.49,81.96
2026-04-20T11:23:00Z,14.98,84.36
2026-04-20T11:24:00Z,13.81,87.34
2026-04-20T11:25:00Z,13.00,89.00
2026-04-20T11:26:00Z,13.75,89.00
2026-04-20T11:27:00Z,14.57,89.00
2026-04-20T11:28:00Z,20.69,82.13
2026-04-20T11:29:00Z,23.93,77.43
2026-04-20T11:30:00Z,28.89,73.00
2026-04-20T11:31:00Z,30.64,69.25
2026-04-20T11:32:00Z,29.60,69.25
2026-04-20T11:33:00Z,29.60,72.00
2026-04-20T11:34:00Z,33.61,68.00
2026-04-20T11:35:00Z,28.90,73.00
2026-04-20T11:36:00Z,31.65,67.13
2026-04-20T11:37:00Z,38.14,66.57
2026-04-20T11:38:00Z,35.96,63.62
2026-04-20T11:39:00Z,37.93,65.56
2026-04-20T11:40:00Z,35.43,60.42
2026-04-20T11:41:00Z,44.29,54.00
2026-04-20T11:42:00Z,44.29,55.00
2026-04-20T11:43:00Z,45.00,55.00
2026-04-20T11:44:00Z,46.21,54.28
2026-04-20T11:45:00Z,53.18,49.00
2026-04-20T11:47:00Z,56.64,48.23
2026-04-20T11:48:00Z,55.84,48.23
2026-04-20T11:49:00Z,54.93,48.23
2026-04-20T11:50:00Z,57.34,45.83
2026-04-20T11:51:00Z,55.65,47.66
2026-04-20T11:52:00Z,53.32,46.36
2026-04-20T11:53:00Z,54.98,48.44
2026-04-20T11:54:00Z,54.01,47.88
2026-04-20T11:55:00Z,59.56,44.93
2026-04-20T11:56:00Z,48.52,49.98
2026-04-20T11:57:00Z,57.00,42.85
2026-04-20T11:58:00Z,67.27,41.79
2026-04-20T11:59:00Z,75.80,23.39
2026-04-20T12:00:00Z,76.75,27.51
2026-04-20T12:01:00Z,80.69,25.90
2026-04-20T12:02:00Z,90.16,12.09
2026-04-20T12:03:00Z,88.67,10.42
2026-04-20T12:04:00Z,88.03,12.20
2026-04-20T12:05:00Z,88.98,11.37
2026-04-20T12:06:00Z,90.97,8.21
2026-04-20T12:07:00Z,83.18,14.14
2026-04-20T12:08:00Z,84.80,15.95
2026-04-20T12:09:00Z,90.22,7.60
2026-04-20T12:10:00Z,91.43,7.58
2026-04-20T12:11:00Z,91.07,8.30
2026-04-20T12:12:00Z,88.35,15.30
2026-04-20T12:13:00Z,88.76,16.00
2026-04-20T12:14:00Z,94.05,8.73
2026-04-20T12:15:00Z,93.93,8.39
2026-04-20T12:16:00Z,93.81,7.17
2026-04-20T12:17:00Z,94.53,6.28
2026-04-20T12:18:00Z,92.36,8.00
2026-04-20T12:19:00Z,95.19,5.32
2026-04-20T12:20:00Z,98.66,1.44
2026-04-20T12:21:00Z,96.71,3.37
2026-04-20T12:22:00Z,90.95,7.02
2026-04-20T12:23:00Z,79.89,22.72
2026-04-20T12:24:00Z,98.13,15.00
2026-04-20T12:25:00Z,99.00,1.00
2026-04-20T12:26:00Z,99.00,1.00
2026-04-20T12:27:00Z,99.00,1.00
