# event_ticker=KXATPMATCH-26FEB10BERMED
# final_score=7-6(5) 7-6(5)
# score_resolution=6-7 6-7
# match_winner=Hamad Medjedovic
# fav_player=Zizou Bergs
# dog_player=Hamad Medjedovic
# kalshi_date=2026-02-10
timestamp,Zizou Bergs,Hamad Medjedovic
2026-02-10T13:54:00Z,54.00,46.00
2026-02-10T14:25:00Z,54.00,46.00
2026-02-10T14:31:00Z,54.00,46.00
2026-02-10T14:35:00Z,53.00,46.00
2026-02-10T14:44:00Z,53.00,46.00
2026-02-10T14:55:00Z,53.00,46.00
2026-02-10T14:57:00Z,53.00,48.00
2026-02-10T15:01:00Z,53.00,48.00
2026-02-10T15:05:00Z,53.00,48.00
2026-02-10T15:07:00Z,53.00,48.00
2026-02-10T15:08:00Z,53.00,48.00
2026-02-10T15:09:00Z,53.00,48.00
2026-02-10T15:22:00Z,52.00,48.00
2026-02-10T15:23:00Z,53.00,48.00
2026-02-10T15:26:00Z,53.00,48.00
2026-02-10T15:39:00Z,53.00,48.00
2026-02-10T15:49:00Z,53.00,48.00
2026-02-10T15:52:00Z,53.00,48.00
2026-02-10T15:56:00Z,53.00,48.00
2026-02-10T16:15:00Z,53.00,48.00
2026-02-10T16:16:00Z,53.05,48.00
2026-02-10T16:24:00Z,54.00,48.00
2026-02-10T16:31:00Z,54.00,48.00
2026-02-10T16:36:00Z,54.00,46.37
2026-02-10T16:37:00Z,54.00,46.37
2026-02-10T16:41:00Z,54.00,48.00
2026-02-10T16:43:00Z,54.00,48.00
2026-02-10T16:53:00Z,53.00,48.00
2026-02-10T16:54:00Z,52.50,48.00
2026-02-10T17:00:00Z,53.97,48.00
2026-02-10T17:04:00Z,54.00,48.00
2026-02-10T17:06:00Z,54.00,48.00
2026-02-10T17:10:00Z,54.00,46.00
2026-02-10T17:12:00Z,54.00,47.00
2026-02-10T17:15:00Z,54.00,47.00
2026-02-10T17:17:00Z,53.00,47.00
2026-02-10T17:22:00Z,53.00,47.00
2026-02-10T17:28:00Z,53.47,47.00
2026-02-10T17:29:00Z,54.00,47.00
2026-02-10T17:35:00Z,54.00,47.00
2026-02-10T17:43:00Z,54.00,47.00
2026-02-10T17:44:00Z,54.00,47.00
2026-02-10T17:52:00Z,54.00,47.00
2026-02-10T17:59:00Z,54.00,47.00
2026-02-10T18:03:00Z,54.00,48.00
2026-02-10T18:04:00Z,54.81,48.00
2026-02-10T18:05:00Z,55.00,48.00
2026-02-10T18:06:00Z,56.00,48.00
2026-02-10T18:07:00Z,55.03,46.00
2026-02-10T18:09:00Z,54.63,46.00
2026-02-10T18:12:00Z,53.01,46.00
2026-02-10T18:13:00Z,54.00,46.00
2026-02-10T18:14:00Z,54.00,46.00
2026-02-10T18:15:00Z,54.00,46.00
2026-02-10T18:16:00Z,54.00,46.00
2026-02-10T18:18:00Z,54.00,46.00
2026-02-10T18:19:00Z,54.00,46.00
2026-02-10T18:20:00Z,54.00,46.00
2026-02-10T18:21:00Z,54.00,46.00
2026-02-10T18:22:00Z,54.00,46.00
2026-02-10T18:23:00Z,54.00,46.00
2026-02-10T18:24:00Z,54.00,46.00
2026-02-10T18:25:00Z,54.00,46.00
2026-02-10T18:28:00Z,54.00,46.00
2026-02-10T18:30:00Z,54.00,46.00
2026-02-10T18:32:00Z,54.00,46.00
2026-02-10T18:33:00Z,54.00,46.00
2026-02-10T18:34:00Z,54.00,46.00
2026-02-10T18:35:00Z,54.00,46.00
2026-02-10T18:37:00Z,54.00,46.00
2026-02-10T18:38:00Z,54.00,46.00
2026-02-10T18:39:00Z,54.00,46.00
2026-02-10T18:45:00Z,54.00,46.00
2026-02-10T18:47:00Z,54.00,46.00
2026-02-10T18:48:00Z,54.00,46.00
2026-02-10T18:49:00Z,54.00,46.00
2026-02-10T18:52:00Z,54.00,46.00
2026-02-10T18:54:00Z,54.00,46.00
2026-02-10T18:57:00Z,54.00,45.25
2026-02-10T18:58:00Z,54.00,46.00
2026-02-10T19:03:00Z,54.00,45.00
2026-02-10T19:05:00Z,54.00,45.00
2026-02-10T19:10:00Z,54.00,45.00
2026-02-10T19:12:00Z,54.00,45.00
2026-02-10T19:13:00Z,54.00,45.00
2026-02-10T19:14:00Z,54.00,46.00
2026-02-10T19:15:00Z,54.00,47.00
2026-02-10T19:16:00Z,54.00,47.00
2026-02-10T19:17:00Z,54.00,47.00
2026-02-10T19:19:00Z,54.00,47.00
2026-02-10T19:21:00Z,54.00,47.00
2026-02-10T19:22:00Z,54.00,47.00
2026-02-10T19:23:00Z,53.84,47.00
2026-02-10T19:24:00Z,53.84,47.00
2026-02-10T19:25:00Z,54.00,47.00
2026-02-10T19:28:00Z,54.00,47.00
2026-02-10T19:31:00Z,54.00,47.00
2026-02-10T19:33:00Z,54.00,47.00
2026-02-10T19:34:00Z,54.00,47.00
2026-02-10T19:35:00Z,54.00,47.00
2026-02-10T19:36:00Z,54.00,47.00
2026-02-10T19:37:00Z,54.00,47.00
2026-02-10T19:38:00Z,54.00,47.00
2026-02-10T19:39:00Z,54.00,47.00
2026-02-10T19:42:00Z,54.00,47.00
2026-02-10T19:43:00Z,54.00,47.00
2026-02-10T19:44:00Z,54.00,47.00
2026-02-10T19:45:00Z,54.00,47.00
2026-02-10T19:48:00Z,54.00,47.00
2026-02-10T19:50:00Z,54.00,47.00
2026-02-10T19:51:00Z,54.00,47.00
2026-02-10T19:53:00Z,54.00,47.00
2026-02-10T19:54:00Z,54.00,47.00
2026-02-10T19:55:00Z,54.00,46.00
2026-02-10T19:56:00Z,54.00,47.00
2026-02-10T19:57:00Z,54.00,47.00
2026-02-10T19:58:00Z,54.00,47.00
2026-02-10T19:59:00Z,54.00,47.00
2026-02-10T20:01:00Z,54.00,47.00
2026-02-10T20:02:00Z,54.00,47.00
2026-02-10T20:03:00Z,54.00,46.75
2026-02-10T20:04:00Z,54.96,47.00
2026-02-10T20:05:00Z,55.00,47.00
2026-02-10T20:06:00Z,55.00,47.00
2026-02-10T20:07:00Z,55.00,47.00
2026-02-10T20:08:00Z,55.00,47.00
2026-02-10T20:09:00Z,54.63,47.00
2026-02-10T20:10:00Z,54.04,47.00
2026-02-10T20:11:00Z,54.00,48.00
2026-02-10T20:12:00Z,54.00,48.00
2026-02-10T20:13:00Z,54.00,46.00
2026-02-10T20:14:00Z,54.00,48.00
2026-02-10T20:15:00Z,54.00,48.00
2026-02-10T20:16:00Z,53.98,49.00
2026-02-10T20:17:00Z,53.86,49.00
2026-02-10T20:18:00Z,53.86,49.00
2026-02-10T20:19:00Z,53.00,49.00
2026-02-10T20:20:00Z,53.00,49.00
2026-02-10T20:21:00Z,52.94,48.89
2026-02-10T20:22:00Z,53.51,48.00
2026-02-10T20:23:00Z,54.21,48.00
2026-02-10T20:24:00Z,53.88,48.00
