# event_ticker=KXATPCHALLENGERMATCH-26APR02BLAHEM
# final_score=6-0 RET
# match_winner=Dali Blanch
# fav_player=Calvin Hemery
# dog_player=Dali Blanch
# kalshi_date=2026-04-02
timestamp,Calvin Hemery,Dali Blanch
2026-04-02T00:45:00Z,,55.00
2026-04-02T01:00:00Z,46.00,55.00
2026-04-02T02:44:00Z,48.00,55.00
2026-04-02T02:58:00Z,53.00,55.00
2026-04-02T03:15:00Z,53.00,58.00
2026-04-02T05:31:00Z,48.00,57.00
2026-04-02T05:46:00Z,48.00,55.00
2026-04-02T05:47:00Z,48.00,55.00
2026-04-02T09:05:00Z,45.60,55.00
2026-04-02T09:09:00Z,45.60,59.64
2026-04-02T09:11:00Z,45.60,60.00
2026-04-02T10:11:00Z,43.00,60.00
2026-04-02T10:20:00Z,43.00,59.00
2026-04-02T10:30:00Z,43.00,57.88
2026-04-02T10:32:00Z,43.00,59.34
2026-04-02T10:34:00Z,47.00,59.34
2026-04-02T10:38:00Z,47.00,59.00
2026-04-02T10:40:00Z,46.90,59.91
2026-04-02T10:42:00Z,46.90,59.19
2026-04-02T10:43:00Z,46.90,59.85
2026-04-02T10:44:00Z,46.90,60.03
2026-04-02T10:45:00Z,41.00,60.94
2026-04-02T10:48:00Z,46.76,60.94
2026-04-02T10:53:00Z,49.98,53.00
2026-04-02T10:56:00Z,49.98,61.84
2026-04-02T10:57:00Z,47.81,54.00
2026-04-02T11:00:00Z,47.81,62.00
2026-04-02T11:01:00Z,48.98,54.00
2026-04-02T11:02:00Z,48.00,54.00
2026-04-02T11:07:00Z,39.00,61.94
2026-04-02T11:08:00Z,39.00,59.69
2026-04-02T11:23:00Z,39.07,64.17
2026-04-02T11:24:00Z,39.07,62.00
2026-04-02T11:43:00Z,47.67,57.00
2026-04-02T11:49:00Z,46.00,57.00
2026-04-02T11:55:00Z,50.00,57.00
2026-04-02T11:58:00Z,50.00,52.00
2026-04-02T12:00:00Z,42.00,62.51
2026-04-02T12:02:00Z,49.95,52.00
2026-04-02T12:03:00Z,38.50,63.32
2026-04-02T12:04:00Z,49.29,52.00
2026-04-02T12:05:00Z,39.00,58.00
2026-04-02T12:09:00Z,39.00,61.79
2026-04-02T12:10:00Z,47.00,61.79
2026-04-02T12:11:00Z,49.00,61.79
2026-04-02T12:12:00Z,49.00,57.00
2026-04-02T12:13:00Z,51.30,53.00
2026-04-02T12:14:00Z,48.00,53.00
2026-04-02T12:23:00Z,52.97,49.03
2026-04-02T12:26:00Z,52.97,53.00
2026-04-02T12:27:00Z,40.00,62.79
2026-04-02T12:28:00Z,40.83,60.50
2026-04-02T12:29:00Z,50.24,60.50
2026-04-02T12:31:00Z,50.24,55.91
2026-04-02T12:32:00Z,48.00,60.00
2026-04-02T12:33:00Z,48.83,60.92
2026-04-02T12:34:00Z,44.19,60.92
2026-04-02T12:35:00Z,42.19,60.92
2026-04-02T12:36:00Z,48.47,57.62
2026-04-02T12:37:00Z,48.47,58.23
2026-04-02T12:38:00Z,47.00,58.99
2026-04-02T12:39:00Z,47.37,57.78
2026-04-02T12:41:00Z,42.85,60.07
2026-04-02T12:42:00Z,39.81,64.30
2026-04-02T12:43:00Z,41.75,64.30
2026-04-02T12:44:00Z,39.43,63.82
2026-04-02T12:45:00Z,32.65,71.16
2026-04-02T12:46:00Z,28.00,72.69
2026-04-02T12:47:00Z,25.91,74.82
2026-04-02T12:48:00Z,25.91,78.09
2026-04-02T12:49:00Z,25.91,79.69
2026-04-02T12:50:00Z,22.00,79.00
2026-04-02T12:51:00Z,21.00,78.09
2026-04-02T12:52:00Z,18.00,81.00
2026-04-02T12:53:00Z,16.93,82.87
2026-04-02T12:54:00Z,17.03,83.75
2026-04-02T12:55:00Z,14.74,85.00
2026-04-02T12:56:00Z,14.00,86.98
2026-04-02T12:57:00Z,14.00,87.00
2026-04-02T12:58:00Z,13.00,88.27
2026-04-02T12:59:00Z,12.58,89.37
2026-04-02T13:00:00Z,8.48,91.51
2026-04-02T13:01:00Z,8.40,92.46
2026-04-02T13:02:00Z,7.00,92.68
2026-04-02T13:03:00Z,7.00,93.87
2026-04-02T13:04:00Z,7.19,94.00
2026-04-02T13:05:00Z,7.90,92.45
2026-04-02T13:06:00Z,5.80,94.84
2026-04-02T13:07:00Z,2.23,97.02
2026-04-02T13:08:00Z,1.00,99.00
2026-04-02T13:09:00Z,1.00,99.00
2026-04-02T13:10:00Z,1.00,99.00
2026-04-02T13:11:00Z,1.00,99.00
2026-04-02T13:12:00Z,1.00,99.00
