# event_ticker=KXATPCHALLENGERMATCH-26MAY18SANSAI
# final_score=6-3 6-4
# match_winner=Nikolas Sanchez Izquierdo
# fav_player=Nikolas Sanchez Izquierdo
# dog_player=Carlos Sanchez Jover
# kalshi_date=2026-05-18
timestamp,Carlos Sanchez Jover,Nikolas Sanchez Izquierdo
2026-05-18T03:00:00Z,34.00,
2026-05-18T05:57:00Z,34.00,67.00
2026-05-18T06:01:00Z,34.00,67.00
2026-05-18T07:22:00Z,34.00,65.01
2026-05-18T07:35:00Z,34.00,67.94
2026-05-18T11:39:00Z,34.00,67.00
2026-05-18T13:43:00Z,34.00,67.00
2026-05-18T14:20:00Z,34.00,67.00
2026-05-18T14:30:00Z,34.00,67.00
2026-05-18T14:34:00Z,35.00,68.00
2026-05-18T14:36:00Z,37.00,67.65
2026-05-18T14:37:00Z,37.00,63.00
2026-05-18T14:38:00Z,34.00,65.40
2026-05-18T14:39:00Z,38.20,63.61
2026-05-18T14:40:00Z,38.20,66.22
2026-05-18T14:41:00Z,38.20,66.00
2026-05-18T14:42:00Z,38.00,66.00
2026-05-18T14:43:00Z,38.00,65.80
2026-05-18T14:44:00Z,38.00,69.00
2026-05-18T14:45:00Z,30.00,68.00
2026-05-18T14:46:00Z,30.00,69.13
2026-05-18T14:47:00Z,30.00,70.00
2026-05-18T14:49:00Z,34.00,65.97
2026-05-18T14:50:00Z,34.00,65.00
2026-05-18T14:51:00Z,34.00,68.90
2026-05-18T14:52:00Z,28.00,67.85
2026-05-18T14:54:00Z,27.00,72.85
2026-05-18T14:55:00Z,32.68,72.85
2026-05-18T14:56:00Z,32.68,67.93
2026-05-18T14:57:00Z,31.00,67.93
2026-05-18T14:58:00Z,31.00,69.00
2026-05-18T14:59:00Z,31.00,71.00
2026-05-18T15:00:00Z,25.61,75.16
2026-05-18T15:02:00Z,28.00,75.16
2026-05-18T15:03:00Z,31.33,71.67
2026-05-18T15:04:00Z,32.00,67.00
2026-05-18T15:05:00Z,32.00,69.43
2026-05-18T15:06:00Z,28.14,72.00
2026-05-18T15:10:00Z,17.00,85.00
2026-05-18T15:11:00Z,22.52,76.81
2026-05-18T15:12:00Z,26.00,77.43
2026-05-18T15:13:00Z,15.45,83.83
2026-05-18T15:14:00Z,15.78,88.00
2026-05-18T15:17:00Z,15.78,89.00
2026-05-18T15:18:00Z,15.78,89.00
2026-05-18T15:19:00Z,11.01,89.90
2026-05-18T15:20:00Z,11.00,90.95
2026-05-18T15:21:00Z,12.82,89.50
2026-05-18T15:22:00Z,12.82,88.00
2026-05-18T15:23:00Z,14.00,87.00
2026-05-18T15:24:00Z,10.00,90.08
2026-05-18T15:25:00Z,10.05,92.37
2026-05-18T15:26:00Z,5.00,94.99
2026-05-18T15:27:00Z,4.57,95.89
2026-05-18T15:28:00Z,4.57,96.00
2026-05-18T15:29:00Z,3.05,96.00
2026-05-18T15:30:00Z,6.00,96.00
2026-05-18T15:31:00Z,6.00,94.00
2026-05-18T15:33:00Z,4.00,94.00
2026-05-18T15:34:00Z,6.65,95.00
2026-05-18T15:35:00Z,7.35,91.47
2026-05-18T15:36:00Z,5.23,94.42
2026-05-18T15:37:00Z,4.00,94.42
2026-05-18T15:38:00Z,8.68,93.84
2026-05-18T15:39:00Z,11.60,88.48
2026-05-18T15:40:00Z,11.60,88.00
2026-05-18T15:41:00Z,15.24,86.00
2026-05-18T15:42:00Z,14.00,85.00
2026-05-18T15:43:00Z,16.92,86.00
2026-05-18T15:44:00Z,17.02,82.72
2026-05-18T15:45:00Z,19.64,82.72
2026-05-18T15:46:00Z,17.00,82.72
2026-05-18T15:47:00Z,15.00,86.00
2026-05-18T15:48:00Z,15.00,86.10
2026-05-18T15:49:00Z,15.00,85.08
2026-05-18T15:50:00Z,15.00,87.00
2026-05-18T15:51:00Z,17.92,84.00
2026-05-18T15:52:00Z,17.92,83.00
2026-05-18T15:53:00Z,17.92,83.99
2026-05-18T15:54:00Z,17.92,84.68
2026-05-18T15:55:00Z,16.02,82.95
2026-05-18T15:56:00Z,16.02,84.26
2026-05-18T15:57:00Z,11.12,89.01
2026-05-18T15:58:00Z,11.57,90.46
2026-05-18T15:59:00Z,14.40,90.76
2026-05-18T16:00:00Z,13.00,87.95
2026-05-18T16:01:00Z,9.37,92.54
2026-05-18T16:02:00Z,4.00,97.00
2026-05-18T16:03:00Z,3.17,97.02
2026-05-18T16:04:00Z,2.03,98.00
2026-05-18T16:05:00Z,5.00,96.89
2026-05-18T16:06:00Z,2.07,98.53
2026-05-18T16:07:00Z,7.07,94.03
2026-05-18T16:08:00Z,6.88,93.24
2026-05-18T16:09:00Z,5.00,94.61
2026-05-18T16:10:00Z,2.01,98.15
2026-05-18T16:11:00Z,1.00,98.85
2026-05-18T16:13:00Z,1.00,99.00
