# event_ticker=KXATPCHALLENGERMATCH-26APR14TSEMCD
# final_score=6-1 7-6(7)
# score_resolution=6-1 7-6
# match_winner=Chun-Hsin Tseng
# fav_player=Chun Hsin Tseng
# dog_player=Mackenzie McDonald
# kalshi_date=2026-04-14
timestamp,Chun Hsin Tseng,Mackenzie McDonald
2026-04-14T01:55:00Z,,41.00
2026-04-14T03:38:00Z,62.00,41.00
2026-04-14T04:03:00Z,62.00,41.00
2026-04-14T05:58:00Z,62.00,40.00
2026-04-14T06:00:00Z,62.00,38.01
2026-04-14T06:19:00Z,61.00,38.01
2026-04-14T06:29:00Z,61.00,38.01
2026-04-14T08:25:00Z,59.00,38.01
2026-04-14T11:49:00Z,59.00,39.00
2026-04-14T12:14:00Z,64.00,38.00
2026-04-14T12:25:00Z,64.00,39.17
2026-04-14T12:29:00Z,64.00,39.00
2026-04-14T12:36:00Z,64.00,38.75
2026-04-14T13:21:00Z,64.00,38.75
2026-04-14T13:25:00Z,64.00,39.00
2026-04-14T13:31:00Z,63.00,39.00
2026-04-14T13:32:00Z,63.00,38.00
2026-04-14T13:38:00Z,63.00,40.00
2026-04-14T13:40:00Z,63.00,39.00
2026-04-14T13:41:00Z,63.00,39.00
2026-04-14T13:42:00Z,63.00,37.07
2026-04-14T13:43:00Z,62.00,40.00
2026-04-14T13:45:00Z,62.00,46.51
2026-04-14T13:46:00Z,62.12,44.51
2026-04-14T13:47:00Z,51.00,47.58
2026-04-14T13:48:00Z,51.53,49.93
2026-04-14T13:49:00Z,51.99,50.66
2026-04-14T13:50:00Z,50.91,49.76
2026-04-14T13:51:00Z,50.91,44.88
2026-04-14T13:52:00Z,62.42,38.75
2026-04-14T13:53:00Z,66.66,35.49
2026-04-14T13:54:00Z,67.94,33.98
2026-04-14T13:55:00Z,69.00,32.00
2026-04-14T13:56:00Z,75.52,27.39
2026-04-14T13:57:00Z,74.91,24.78
2026-04-14T13:58:00Z,79.17,21.17
2026-04-14T13:59:00Z,77.50,21.72
2026-04-14T14:00:00Z,80.73,19.66
2026-04-14T14:01:00Z,83.65,18.86
2026-04-14T14:02:00Z,83.65,18.00
2026-04-14T14:03:00Z,83.65,14.99
2026-04-14T14:04:00Z,83.65,16.59
2026-04-14T14:05:00Z,86.00,15.67
2026-04-14T14:06:00Z,88.29,13.00
2026-04-14T14:07:00Z,88.29,13.43
2026-04-14T14:08:00Z,85.40,14.04
2026-04-14T14:09:00Z,87.03,13.10
2026-04-14T14:10:00Z,89.00,12.97
2026-04-14T14:11:00Z,88.98,11.99
2026-04-14T14:12:00Z,88.00,12.22
2026-04-14T14:13:00Z,85.00,14.19
2026-04-14T14:14:00Z,88.00,11.62
2026-04-14T14:15:00Z,85.98,15.61
2026-04-14T14:16:00Z,85.17,16.00
2026-04-14T14:17:00Z,84.00,19.52
2026-04-14T14:18:00Z,81.89,18.18
2026-04-14T14:19:00Z,84.29,15.75
2026-04-14T14:20:00Z,84.29,15.48
2026-04-14T14:21:00Z,85.24,15.63
2026-04-14T14:22:00Z,84.50,15.99
2026-04-14T14:23:00Z,83.82,17.00
2026-04-14T14:24:00Z,83.36,16.99
2026-04-14T14:25:00Z,86.31,15.45
2026-04-14T14:26:00Z,87.00,13.18
2026-04-14T14:27:00Z,86.52,12.54
2026-04-14T14:28:00Z,86.52,14.00
2026-04-14T14:29:00Z,88.88,12.35
2026-04-14T14:30:00Z,89.77,12.55
2026-04-14T14:31:00Z,93.07,6.04
2026-04-14T14:32:00Z,95.00,4.61
2026-04-14T14:33:00Z,95.02,5.01
2026-04-14T14:34:00Z,96.17,3.31
2026-04-14T14:35:00Z,97.13,2.76
2026-04-14T14:36:00Z,98.65,2.89
2026-04-14T14:37:00Z,97.56,2.99
2026-04-14T14:38:00Z,97.48,3.05
2026-04-14T14:39:00Z,98.00,2.02
2026-04-14T14:40:00Z,97.00,4.89
2026-04-14T14:41:00Z,97.00,4.00
2026-04-14T14:42:00Z,94.75,3.72
2026-04-14T14:43:00Z,97.98,2.05
2026-04-14T14:44:00Z,98.50,2.00
2026-04-14T14:45:00Z,99.00,2.12
2026-04-14T14:46:00Z,98.10,2.90
2026-04-14T14:47:00Z,98.00,2.99
2026-04-14T14:48:00Z,97.97,3.00
2026-04-14T14:49:00Z,98.21,2.99
2026-04-14T14:50:00Z,95.55,4.63
2026-04-14T14:51:00Z,96.88,4.23
2026-04-14T14:52:00Z,91.55,8.74
2026-04-14T14:53:00Z,84.02,15.02
2026-04-14T14:54:00Z,86.99,15.66
2026-04-14T14:55:00Z,81.33,20.31
2026-04-14T14:56:00Z,78.51,21.51
2026-04-14T14:57:00Z,78.59,21.00
2026-04-14T14:58:00Z,80.34,20.43
2026-04-14T14:59:00Z,80.86,19.57
2026-04-14T15:00:00Z,87.82,14.86
2026-04-14T15:01:00Z,92.79,7.85
2026-04-14T15:02:00Z,85.73,14.96
2026-04-14T15:03:00Z,87.18,13.04
2026-04-14T15:04:00Z,85.64,17.00
2026-04-14T15:05:00Z,78.94,25.43
2026-04-14T15:06:00Z,64.75,34.35
2026-04-14T15:07:00Z,65.51,37.13
2026-04-14T15:08:00Z,75.23,21.30
2026-04-14T15:09:00Z,83.18,18.08
2026-04-14T15:10:00Z,93.82,8.06
2026-04-14T15:11:00Z,84.72,16.01
2026-04-14T15:12:00Z,90.75,10.57
2026-04-14T15:13:00Z,98.95,1.61
2026-04-14T15:14:00Z,99.00,1.61
2026-04-14T15:15:00Z,99.00,1.61
2026-04-14T15:16:00Z,99.00,1.61
2026-04-14T15:17:00Z,99.00,1.61
