# event_ticker=KXATPMATCH-25JUL24RINHAN
# final_score=6-4 3-6 6-1
# match_winner=Arthur Rinderknech
# fav_player=Arthur Rinderknech
# dog_player=Yannick Hanfmann
# kalshi_date=2025-07-24
timestamp,Arthur Rinderknech,Yannick Hanfmann
2025-07-24T00:49:00Z,49.00,
2025-07-24T01:23:00Z,49.00,60.00
2025-07-24T01:47:00Z,49.00,59.00
2025-07-24T02:10:00Z,44.00,59.00
2025-07-24T02:25:00Z,44.00,59.00
2025-07-24T02:26:00Z,44.00,58.00
2025-07-24T02:29:00Z,44.00,58.00
2025-07-24T02:32:00Z,44.00,58.00
2025-07-24T02:33:00Z,44.00,58.00
2025-07-24T02:40:00Z,44.00,58.00
2025-07-24T02:41:00Z,45.73,58.00
2025-07-24T02:42:00Z,41.00,58.00
2025-07-24T02:45:00Z,44.73,58.00
2025-07-24T02:48:00Z,44.73,58.00
2025-07-24T02:53:00Z,44.73,58.00
2025-07-24T02:57:00Z,44.00,59.00
2025-07-24T02:58:00Z,44.00,59.00
2025-07-24T03:07:00Z,44.00,59.00
2025-07-24T03:16:00Z,44.00,60.32
2025-07-24T03:22:00Z,44.00,60.32
2025-07-24T03:23:00Z,44.00,60.32
2025-07-24T03:31:00Z,44.00,59.00
2025-07-24T03:34:00Z,44.00,59.00
2025-07-24T03:35:00Z,44.00,59.00
2025-07-24T03:37:00Z,44.00,59.00
2025-07-24T03:38:00Z,44.00,59.00
2025-07-24T03:39:00Z,44.00,59.00
2025-07-24T03:40:00Z,44.00,59.00
2025-07-24T03:42:00Z,44.00,59.00
2025-07-24T03:46:00Z,44.00,59.00
2025-07-24T03:49:00Z,44.00,59.00
2025-07-24T03:52:00Z,44.00,59.00
2025-07-24T03:55:00Z,44.00,59.00
2025-07-24T03:56:00Z,44.00,59.00
2025-07-24T03:57:00Z,44.40,58.00
2025-07-24T03:58:00Z,44.40,59.00
2025-07-24T04:01:00Z,44.40,59.00
2025-07-24T04:02:00Z,46.00,58.00
2025-07-24T04:03:00Z,47.18,58.00
2025-07-24T04:04:00Z,48.00,58.00
2025-07-24T04:05:00Z,48.00,56.00
2025-07-24T04:08:00Z,48.00,56.00
2025-07-24T04:09:00Z,48.00,56.00
2025-07-24T04:11:00Z,48.00,56.00
2025-07-24T04:12:00Z,48.62,56.00
2025-07-24T04:13:00Z,48.62,56.88
2025-07-24T04:14:00Z,47.00,56.00
2025-07-24T04:17:00Z,48.00,57.00
2025-07-24T04:19:00Z,48.00,57.00
2025-07-24T04:20:00Z,47.69,56.00
2025-07-24T04:21:00Z,48.00,56.00
2025-07-24T04:22:00Z,48.00,57.00
2025-07-24T04:23:00Z,48.00,55.02
2025-07-24T04:24:00Z,49.00,55.50
2025-07-24T04:25:00Z,49.00,54.69
2025-07-24T04:26:00Z,45.00,57.00
2025-07-24T04:27:00Z,45.00,57.00
2025-07-24T04:28:00Z,45.00,57.00
2025-07-24T04:29:00Z,46.52,57.60
2025-07-24T04:30:00Z,49.98,57.60
2025-07-24T04:31:00Z,49.98,58.00
2025-07-24T04:32:00Z,47.29,58.00
2025-07-24T04:33:00Z,46.00,58.00
2025-07-24T04:35:00Z,45.00,56.00
2025-07-24T04:36:00Z,45.97,56.00
2025-07-24T04:37:00Z,46.00,56.40
2025-07-24T04:38:00Z,46.00,57.00
2025-07-24T04:39:00Z,46.00,57.00
2025-07-24T04:40:00Z,46.00,57.00
2025-07-24T04:41:00Z,46.00,57.00
2025-07-24T04:42:00Z,46.00,58.00
2025-07-24T04:43:00Z,46.00,58.00
2025-07-24T04:45:00Z,46.00,58.00
2025-07-24T04:47:00Z,46.00,58.00
2025-07-24T04:48:00Z,46.00,58.00
2025-07-24T04:49:00Z,46.00,58.00
2025-07-24T04:51:00Z,46.00,58.00
2025-07-24T04:53:00Z,45.94,57.00
2025-07-24T04:55:00Z,46.00,57.00
2025-07-24T04:58:00Z,45.00,57.00
2025-07-24T05:00:00Z,45.00,58.00
2025-07-24T05:01:00Z,45.00,58.00
2025-07-24T05:02:00Z,44.00,58.00
2025-07-24T05:04:00Z,44.00,58.00
