# event_ticker=KXATPCHALLENGERMATCH-26APR30LAJSUN
# final_score=3-6 6-3 6-4
# match_winner=Fajing Sun
# fav_player=Fajing Sun
# dog_player=Mark Lajal
# kalshi_date=2026-04-30
timestamp,Mark Lajal,Fajing Sun
2026-04-30T15:35:00Z,63.00,
2026-04-30T15:36:00Z,63.00,38.00
2026-04-30T16:15:00Z,63.00,38.00
2026-04-30T16:19:00Z,66.00,38.00
2026-04-30T16:27:00Z,66.00,38.00
2026-04-30T16:35:00Z,66.00,38.00
2026-04-30T17:43:00Z,66.00,38.00
2026-04-30T17:54:00Z,62.00,38.00
2026-04-30T18:31:00Z,65.00,38.00
2026-04-30T18:35:00Z,65.00,37.00
2026-04-30T18:40:00Z,65.00,37.00
2026-04-30T19:16:00Z,65.00,37.00
2026-04-30T19:17:00Z,65.00,37.00
2026-04-30T19:45:00Z,65.00,37.00
2026-04-30T19:56:00Z,65.00,36.00
2026-04-30T20:07:00Z,65.00,36.00
2026-04-30T20:09:00Z,65.00,37.00
2026-04-30T20:12:00Z,65.00,37.00
2026-04-30T20:14:00Z,65.00,37.00
2026-04-30T20:17:00Z,65.00,37.00
2026-04-30T20:28:00Z,65.00,37.00
2026-04-30T20:35:00Z,65.00,37.00
2026-04-30T21:06:00Z,65.00,36.00
2026-04-30T21:07:00Z,65.00,36.00
2026-04-30T21:20:00Z,65.00,38.00
2026-04-30T21:23:00Z,65.00,38.00
2026-04-30T21:30:00Z,65.00,37.00
2026-04-30T21:39:00Z,65.00,37.00
2026-04-30T21:51:00Z,65.00,37.00
2026-04-30T22:10:00Z,65.00,37.00
2026-04-30T22:11:00Z,65.00,37.00
2026-04-30T22:12:00Z,65.00,37.42
2026-04-30T22:18:00Z,64.00,38.00
2026-04-30T22:21:00Z,64.00,38.00
2026-04-30T22:22:00Z,64.00,38.00
2026-04-30T22:24:00Z,64.00,38.00
2026-04-30T22:32:00Z,63.00,38.00
2026-04-30T22:45:00Z,64.00,38.00
2026-04-30T22:50:00Z,64.00,38.00
2026-04-30T22:52:00Z,64.00,38.00
2026-04-30T22:54:00Z,64.00,38.00
2026-04-30T22:56:00Z,64.00,38.00
2026-04-30T22:57:00Z,64.00,38.00
2026-04-30T22:59:00Z,64.00,38.00
2026-04-30T23:07:00Z,64.00,38.00
2026-04-30T23:08:00Z,64.00,38.00
2026-04-30T23:10:00Z,63.00,38.00
2026-04-30T23:16:00Z,63.00,38.00
2026-04-30T23:18:00Z,63.00,38.00
2026-04-30T23:21:00Z,63.00,38.00
2026-04-30T23:23:00Z,63.00,38.00
2026-04-30T23:25:00Z,63.00,38.00
