# event_ticker=KXATPMATCH-26JAN08VANBUB
# final_score=6-3 6-3
# match_winner=Alexander Bublik
# fav_player=Alexander Bublik
# dog_player=Botic Van de Zandschulp
# kalshi_date=2026-01-08
timestamp,Alexander Bublik,Botic Van de Zandschulp
2026-01-07T22:48:00Z,65.00,
2026-01-08T01:08:00Z,65.00,
2026-01-08T02:19:00Z,65.00,
2026-01-08T02:46:00Z,65.00,
2026-01-08T02:52:00Z,65.00,
2026-01-08T02:59:00Z,65.00,
2026-01-08T03:07:00Z,65.00,36.00
2026-01-08T03:27:00Z,65.00,36.00
2026-01-08T03:43:00Z,65.00,36.00
2026-01-08T03:49:00Z,65.00,36.00
2026-01-08T03:53:00Z,65.00,36.00
2026-01-08T03:59:00Z,65.00,36.00
2026-01-08T04:01:00Z,65.00,36.00
2026-01-08T04:02:00Z,65.00,36.00
2026-01-08T04:07:00Z,65.00,36.00
2026-01-08T04:09:00Z,65.00,36.00
2026-01-08T04:14:00Z,65.00,36.00
2026-01-08T04:25:00Z,65.00,36.00
2026-01-08T04:26:00Z,65.00,36.00
2026-01-08T04:28:00Z,65.00,36.00
2026-01-08T04:34:00Z,65.00,36.00
2026-01-08T04:35:00Z,65.00,36.80
2026-01-08T04:36:00Z,65.00,36.80
2026-01-08T04:54:00Z,65.00,36.80
2026-01-08T05:19:00Z,65.00,37.00
2026-01-08T05:21:00Z,65.00,37.00
2026-01-08T05:27:00Z,65.00,37.00
2026-01-08T05:32:00Z,65.00,37.00
2026-01-08T05:36:00Z,65.00,37.00
2026-01-08T05:55:00Z,65.00,37.00
2026-01-08T06:01:00Z,65.00,37.00
2026-01-08T06:02:00Z,65.00,37.00
2026-01-08T06:04:00Z,65.00,35.00
2026-01-08T06:07:00Z,66.00,35.00
2026-01-08T06:11:00Z,66.00,36.00
2026-01-08T06:19:00Z,66.00,36.00
2026-01-08T06:20:00Z,66.00,36.00
2026-01-08T06:27:00Z,66.00,36.00
2026-01-08T06:30:00Z,66.00,36.00
2026-01-08T06:31:00Z,66.00,36.00
2026-01-08T06:32:00Z,66.00,36.00
2026-01-08T06:41:00Z,66.00,36.00
2026-01-08T06:50:00Z,66.00,36.00
2026-01-08T06:59:00Z,66.00,36.00
2026-01-08T07:00:00Z,66.00,36.00
2026-01-08T07:04:00Z,66.00,36.00
2026-01-08T07:06:00Z,66.00,36.00
2026-01-08T07:08:00Z,66.00,36.00
2026-01-08T07:09:00Z,66.00,36.00
2026-01-08T07:10:00Z,66.00,36.00
2026-01-08T07:11:00Z,66.00,36.00
2026-01-08T07:13:00Z,66.00,36.00
2026-01-08T07:18:00Z,66.00,36.00
2026-01-08T07:21:00Z,66.00,36.00
2026-01-08T07:25:00Z,66.00,36.00
2026-01-08T07:28:00Z,65.00,36.00
2026-01-08T07:31:00Z,66.00,36.00
2026-01-08T07:32:00Z,66.00,35.00
2026-01-08T07:33:00Z,66.00,35.00
2026-01-08T07:40:00Z,66.00,35.00
2026-01-08T07:43:00Z,65.00,35.00
2026-01-08T07:45:00Z,65.00,36.00
2026-01-08T07:47:00Z,65.00,36.00
2026-01-08T07:50:00Z,65.00,36.00
2026-01-08T07:52:00Z,65.00,36.00
2026-01-08T07:57:00Z,65.00,36.00
2026-01-08T07:58:00Z,65.00,36.00
2026-01-08T10:01:00Z,65.00,36.00
2026-01-08T10:02:00Z,66.00,35.00
2026-01-08T10:03:00Z,66.00,36.00
2026-01-08T10:04:00Z,66.00,36.00
2026-01-08T10:05:00Z,66.00,36.00
2026-01-08T10:06:00Z,66.00,36.00
2026-01-08T10:07:00Z,66.00,36.00
2026-01-08T10:08:00Z,66.00,36.00
2026-01-08T10:09:00Z,67.78,36.00
2026-01-08T10:10:00Z,67.52,34.01
2026-01-08T10:11:00Z,69.00,34.00
2026-01-08T10:12:00Z,69.00,34.96
2026-01-08T10:14:00Z,64.11,37.00
2026-01-08T10:15:00Z,62.00,41.00
2026-01-08T10:16:00Z,65.00,38.96
2026-01-08T10:17:00Z,66.00,37.00
2026-01-08T10:18:00Z,66.00,35.97
2026-01-08T10:19:00Z,69.48,29.99
2026-01-08T10:20:00Z,67.48,30.00
2026-01-08T10:21:00Z,65.25,38.45
2026-01-08T10:22:00Z,68.02,38.45
2026-01-08T10:23:00Z,67.13,37.81
2026-01-08T10:24:00Z,67.00,37.81
2026-01-08T10:25:00Z,67.00,37.81
2026-01-08T10:26:00Z,71.93,37.81
2026-01-08T10:27:00Z,72.41,30.00
2026-01-08T10:28:00Z,64.97,36.77
2026-01-08T10:29:00Z,60.09,38.47
2026-01-08T10:30:00Z,56.45,45.09
2026-01-08T10:31:00Z,53.04,42.12
2026-01-08T10:32:00Z,59.57,41.03
2026-01-08T10:33:00Z,63.57,37.96
2026-01-08T10:34:00Z,65.00,37.00
2026-01-08T10:35:00Z,65.98,35.19
2026-01-08T10:36:00Z,64.00,36.97
2026-01-08T10:37:00Z,64.06,38.34
2026-01-08T10:38:00Z,64.06,39.00
2026-01-08T10:39:00Z,65.91,37.00
2026-01-08T10:40:00Z,66.00,36.82
2026-01-08T10:41:00Z,69.19,31.36
2026-01-08T10:42:00Z,77.35,20.17
2026-01-08T10:43:00Z,84.00,15.73
2026-01-08T10:44:00Z,84.55,16.00
2026-01-08T10:45:00Z,84.74,15.61
2026-01-08T10:46:00Z,83.31,16.98
2026-01-08T10:47:00Z,85.00,17.00
2026-01-08T10:48:00Z,84.59,17.00
2026-01-08T10:49:00Z,84.00,18.00
2026-01-08T10:50:00Z,85.00,17.00
2026-01-08T10:51:00Z,84.92,17.02
2026-01-08T10:52:00Z,84.01,16.44
2026-01-08T10:53:00Z,87.48,11.47
2026-01-08T10:54:00Z,88.71,11.25
2026-01-08T10:55:00Z,90.00,10.71
2026-01-08T10:56:00Z,91.75,6.95
2026-01-08T10:57:00Z,95.19,4.68
2026-01-08T10:58:00Z,96.63,4.00
2026-01-08T10:59:00Z,96.83,3.98
2026-01-08T11:00:00Z,96.01,4.06
2026-01-08T11:01:00Z,96.01,3.40
2026-01-08T11:02:00Z,96.00,2.95
2026-01-08T11:03:00Z,96.00,3.57
2026-01-08T11:04:00Z,96.14,4.93
2026-01-08T11:05:00Z,96.02,4.00
2026-01-08T11:06:00Z,95.62,3.81
2026-01-08T11:07:00Z,93.07,6.98
2026-01-08T11:08:00Z,96.00,4.29
2026-01-08T11:09:00Z,96.00,3.28
2026-01-08T11:10:00Z,96.06,3.94
2026-01-08T11:11:00Z,97.00,5.17
2026-01-08T11:12:00Z,97.00,4.00
2026-01-08T11:13:00Z,97.00,3.47
2026-01-08T11:14:00Z,95.00,5.65
2026-01-08T11:15:00Z,94.22,6.22
2026-01-08T11:16:00Z,98.00,3.31
2026-01-08T11:17:00Z,98.99,2.75
2026-01-08T11:18:00Z,98.99,3.00
2026-01-08T11:19:00Z,98.99,1.00
2026-01-08T11:20:00Z,99.00,1.00
2026-01-08T11:22:00Z,99.00,1.00
