# event_ticker=KXATPCHALLENGERMATCH-26APR29ALKJUB
# final_score=6-1 6-4
# match_winner=Mert Alkaya
# fav_player=Mert Alkaya
# dog_player=Paul Jubb
# kalshi_date=2026-04-29
timestamp,Mert Alkaya,Paul Jubb
2026-04-29T06:06:00Z,,55.00
2026-04-29T10:18:00Z,,55.00
2026-04-29T10:53:00Z,,55.00
2026-04-29T12:19:00Z,,55.00
2026-04-29T12:23:00Z,,55.00
2026-04-29T12:31:00Z,,55.00
2026-04-29T12:38:00Z,,55.00
2026-04-29T13:48:00Z,46.00,55.00
2026-04-29T14:49:00Z,45.00,55.00
2026-04-29T14:52:00Z,46.00,55.00
2026-04-29T14:59:00Z,46.00,55.00
2026-04-29T15:00:00Z,46.00,55.00
2026-04-29T15:33:00Z,46.00,55.00
2026-04-29T15:44:00Z,46.00,55.00
2026-04-29T16:08:00Z,46.00,55.00
2026-04-29T16:12:00Z,46.00,55.00
2026-04-29T16:17:00Z,46.00,55.00
2026-04-29T16:18:00Z,46.00,55.00
2026-04-29T16:19:00Z,46.00,55.00
2026-04-29T16:23:00Z,46.00,55.00
2026-04-29T16:28:00Z,46.00,55.00
2026-04-29T16:33:00Z,46.00,55.00
2026-04-29T16:35:00Z,46.00,55.00
2026-04-29T16:36:00Z,46.00,55.00
2026-04-29T16:39:00Z,46.00,55.00
2026-04-29T16:41:00Z,46.00,55.00
2026-04-29T16:44:00Z,46.00,55.00
2026-04-29T16:46:00Z,46.00,55.00
2026-04-29T16:48:00Z,46.00,55.00
2026-04-29T16:51:00Z,46.00,55.00
2026-04-29T16:53:00Z,46.00,55.00
2026-04-29T16:55:00Z,46.00,55.00
2026-04-29T16:57:00Z,46.00,55.00
2026-04-29T16:58:00Z,46.00,55.00
2026-04-29T17:00:00Z,46.00,55.00
2026-04-29T17:05:00Z,46.00,55.00
2026-04-29T17:06:00Z,46.00,55.00
2026-04-29T17:07:00Z,46.00,55.00
2026-04-29T17:11:00Z,46.00,55.00
2026-04-29T17:21:00Z,46.00,55.00
2026-04-29T17:22:00Z,46.00,55.00
2026-04-29T17:28:00Z,46.00,55.00
2026-04-29T17:30:00Z,46.00,55.00
2026-04-29T17:31:00Z,46.00,54.00
2026-04-29T17:34:00Z,46.00,54.75
2026-04-29T17:36:00Z,46.00,54.00
2026-04-29T17:37:00Z,46.00,54.87
2026-04-29T17:38:00Z,46.00,54.65
2026-04-29T17:39:00Z,46.00,54.44
2026-04-29T17:40:00Z,48.90,54.84
2026-04-29T17:41:00Z,48.90,54.59
2026-04-29T17:42:00Z,48.73,54.76
2026-04-29T17:43:00Z,49.02,56.29
2026-04-29T17:44:00Z,46.45,57.71
2026-04-29T17:45:00Z,46.63,54.52
