# event_ticker=KXATPCHALLENGERMATCH-26APR23ONCBOU
# final_score=6-2 6-4
# match_winner=Gauthier Onclin
# fav_player=Gauthier Onclin
# dog_player=Cesar Bouchelaghem
# kalshi_date=2026-04-23
timestamp,Gauthier Onclin,Cesar Bouchelaghem
2026-04-23T06:41:00Z,,17.00
2026-04-23T13:59:00Z,84.00,17.00
2026-04-23T14:20:00Z,84.00,17.00
2026-04-23T15:27:00Z,85.00,17.00
2026-04-23T15:30:00Z,85.00,17.00
2026-04-23T15:31:00Z,85.00,17.00
2026-04-23T15:36:00Z,84.00,17.00
2026-04-23T15:40:00Z,84.00,16.00
2026-04-23T15:53:00Z,84.00,17.00
2026-04-23T16:03:00Z,83.00,17.00
2026-04-23T16:04:00Z,84.00,17.00
2026-04-23T16:05:00Z,84.00,17.00
2026-04-23T16:23:00Z,84.00,17.37
2026-04-23T16:24:00Z,84.00,18.00
2026-04-23T16:26:00Z,84.00,17.52
2026-04-23T16:29:00Z,84.00,18.00
2026-04-23T16:31:00Z,84.00,18.00
2026-04-23T16:37:00Z,84.73,18.00
2026-04-23T16:38:00Z,85.00,18.00
2026-04-23T16:40:00Z,85.00,18.00
2026-04-23T16:42:00Z,85.00,17.00
2026-04-23T16:44:00Z,85.00,17.00
2026-04-23T16:45:00Z,83.29,16.00
2026-04-23T16:46:00Z,84.00,16.86
2026-04-23T16:47:00Z,83.24,16.00
2026-04-23T16:48:00Z,83.24,17.39
2026-04-23T16:49:00Z,83.24,18.00
2026-04-23T16:50:00Z,81.68,20.89
2026-04-23T16:51:00Z,80.25,19.42
2026-04-23T16:52:00Z,82.26,18.00
2026-04-23T16:53:00Z,83.00,17.00
2026-04-23T16:54:00Z,84.56,16.00
2026-04-23T16:55:00Z,89.12,11.61
2026-04-23T16:56:00Z,89.12,10.00
2026-04-23T16:57:00Z,91.00,10.00
2026-04-23T16:59:00Z,91.00,9.00
2026-04-23T17:00:00Z,89.00,9.69
2026-04-23T17:01:00Z,90.00,10.00
2026-04-23T17:02:00Z,87.07,11.31
2026-04-23T17:03:00Z,88.42,11.11
2026-04-23T17:04:00Z,90.00,10.00
2026-04-23T17:06:00Z,90.00,10.00
2026-04-23T17:07:00Z,90.00,11.00
2026-04-23T17:10:00Z,91.00,9.83
2026-04-23T17:14:00Z,93.00,9.83
2026-04-23T17:15:00Z,93.00,8.99
2026-04-23T17:16:00Z,92.40,6.00
2026-04-23T17:18:00Z,94.00,6.00
2026-04-23T17:19:00Z,94.00,6.00
2026-04-23T17:20:00Z,94.09,6.00
2026-04-23T17:21:00Z,95.00,5.32
2026-04-23T17:22:00Z,95.00,5.32
2026-04-23T17:23:00Z,94.00,5.00
2026-04-23T17:24:00Z,93.00,6.96
2026-04-23T17:25:00Z,93.00,7.00
2026-04-23T17:26:00Z,94.75,4.18
2026-04-23T17:27:00Z,96.00,5.90
2026-04-23T17:28:00Z,96.00,5.00
2026-04-23T17:29:00Z,94.00,6.00
2026-04-23T17:30:00Z,94.00,6.00
2026-04-23T17:31:00Z,95.00,6.00
2026-04-23T17:32:00Z,94.85,7.06
2026-04-23T17:33:00Z,93.00,8.00
2026-04-23T17:34:00Z,93.00,7.00
2026-04-23T17:35:00Z,93.00,6.81
2026-04-23T17:36:00Z,95.00,5.00
2026-04-23T17:37:00Z,96.00,3.77
2026-04-23T17:38:00Z,97.59,3.00
2026-04-23T17:39:00Z,97.59,3.00
2026-04-23T17:40:00Z,98.00,2.00
2026-04-23T17:41:00Z,98.00,2.00
2026-04-23T17:42:00Z,99.00,2.00
2026-04-23T17:43:00Z,99.00,2.00
2026-04-23T17:44:00Z,99.00,1.19
2026-04-23T17:45:00Z,99.00,1.00
2026-04-23T17:47:00Z,99.00,1.00
2026-04-23T17:48:00Z,99.00,1.00
2026-04-23T17:58:00Z,99.00,1.00
2026-04-23T17:59:00Z,99.00,1.00
2026-04-23T18:00:00Z,99.00,1.00
2026-04-23T18:01:00Z,99.00,1.00
2026-04-23T18:02:00Z,99.00,1.00
2026-04-23T18:04:00Z,99.00,1.00
