# event_ticker=KXATPCHALLENGERMATCH-26MAR31HEIBOS
# final_score=6-1 6-3
# match_winner=Gustavo Heide
# fav_player=Gustavo Heide
# dog_player=Pedro Boscardin Dias
# kalshi_date=2026-03-31
timestamp,Gustavo Heide,Pedro Boscardin Dias
2026-03-31T09:20:00Z,,33.91
2026-03-31T09:21:00Z,70.00,33.91
2026-03-31T11:07:00Z,71.00,33.91
2026-03-31T14:51:00Z,69.00,33.91
2026-03-31T15:03:00Z,71.00,33.91
2026-03-31T15:13:00Z,71.00,31.00
2026-03-31T16:41:00Z,71.00,31.00
2026-03-31T17:01:00Z,71.00,31.00
2026-03-31T17:10:00Z,70.00,31.00
2026-03-31T17:15:00Z,70.00,31.00
2026-03-31T17:22:00Z,71.00,31.00
2026-03-31T17:48:00Z,71.00,31.00
2026-03-31T17:59:00Z,71.89,31.00
2026-03-31T18:28:00Z,71.89,31.00
2026-03-31T18:46:00Z,71.89,32.10
2026-03-31T18:57:00Z,71.89,32.00
2026-03-31T19:02:00Z,71.89,32.00
2026-03-31T19:13:00Z,70.00,32.00
2026-03-31T19:18:00Z,71.00,32.00
2026-03-31T19:23:00Z,71.00,32.00
2026-03-31T19:28:00Z,70.36,32.00
2026-03-31T19:41:00Z,70.36,31.00
2026-03-31T19:52:00Z,70.36,31.00
2026-03-31T19:56:00Z,70.36,31.15
2026-03-31T19:57:00Z,70.36,31.00
2026-03-31T20:00:00Z,70.36,31.00
2026-03-31T20:01:00Z,71.00,30.99
2026-03-31T20:02:00Z,71.00,30.00
2026-03-31T20:04:00Z,71.00,30.61
2026-03-31T20:07:00Z,75.00,25.07
2026-03-31T20:08:00Z,75.00,27.00
2026-03-31T20:09:00Z,69.00,29.06
2026-03-31T20:10:00Z,68.94,29.06
2026-03-31T20:12:00Z,68.00,33.00
2026-03-31T20:13:00Z,64.19,35.85
2026-03-31T20:14:00Z,70.00,31.00
2026-03-31T20:15:00Z,69.98,31.16
2026-03-31T20:16:00Z,71.00,31.86
2026-03-31T20:18:00Z,70.00,31.86
2026-03-31T20:20:00Z,71.16,31.94
2026-03-31T20:22:00Z,68.00,33.00
2026-03-31T20:23:00Z,68.97,34.62
2026-03-31T20:24:00Z,70.00,34.62
2026-03-31T20:25:00Z,71.25,34.62
2026-03-31T20:26:00Z,71.25,30.00
2026-03-31T20:27:00Z,73.88,31.51
2026-03-31T20:28:00Z,77.52,22.00
2026-03-31T20:29:00Z,77.52,16.00
2026-03-31T20:30:00Z,85.00,15.00
2026-03-31T20:31:00Z,85.00,14.00
2026-03-31T20:32:00Z,87.00,11.00
2026-03-31T20:33:00Z,89.00,11.00
2026-03-31T20:34:00Z,89.00,11.00
2026-03-31T20:35:00Z,89.00,11.00
2026-03-31T20:36:00Z,89.00,8.08
2026-03-31T20:37:00Z,92.50,7.97
2026-03-31T20:38:00Z,93.00,8.40
2026-03-31T20:39:00Z,93.00,7.13
2026-03-31T20:40:00Z,93.57,6.10
2026-03-31T20:41:00Z,94.01,6.03
2026-03-31T20:42:00Z,93.00,7.00
2026-03-31T20:43:00Z,93.00,7.00
2026-03-31T20:44:00Z,93.00,7.00
2026-03-31T20:45:00Z,94.00,7.00
2026-03-31T20:46:00Z,94.00,7.00
2026-03-31T20:47:00Z,93.75,7.35
2026-03-31T20:48:00Z,92.90,8.58
2026-03-31T20:49:00Z,92.90,10.54
2026-03-31T20:50:00Z,90.00,10.52
2026-03-31T20:51:00Z,89.00,11.77
2026-03-31T20:52:00Z,90.00,10.00
2026-03-31T20:53:00Z,89.42,10.18
2026-03-31T20:54:00Z,91.01,9.88
2026-03-31T20:55:00Z,92.19,8.10
2026-03-31T20:56:00Z,91.62,6.63
2026-03-31T20:57:00Z,94.00,7.78
2026-03-31T20:58:00Z,92.00,9.14
2026-03-31T20:59:00Z,88.14,11.60
2026-03-31T21:00:00Z,89.00,12.00
2026-03-31T21:01:00Z,88.54,11.06
2026-03-31T21:02:00Z,90.00,10.10
2026-03-31T21:03:00Z,91.00,9.63
2026-03-31T21:04:00Z,91.00,9.69
2026-03-31T21:05:00Z,90.99,11.00
2026-03-31T21:06:00Z,90.00,11.80
2026-03-31T21:07:00Z,90.00,13.22
2026-03-31T21:08:00Z,88.00,13.01
2026-03-31T21:09:00Z,86.54,13.46
2026-03-31T21:10:00Z,87.00,13.98
2026-03-31T21:11:00Z,88.45,12.00
2026-03-31T21:12:00Z,90.00,10.99
2026-03-31T21:13:00Z,91.96,10.23
2026-03-31T21:14:00Z,94.99,6.77
2026-03-31T21:15:00Z,92.81,6.35
2026-03-31T21:16:00Z,96.53,3.67
2026-03-31T21:17:00Z,97.85,3.00
2026-03-31T21:18:00Z,98.00,1.99
2026-03-31T21:19:00Z,99.00,1.00
2026-03-31T21:20:00Z,99.00,1.00
2026-03-31T21:21:00Z,99.00,1.00
2026-03-31T21:22:00Z,99.00,1.00
2026-03-31T21:23:00Z,99.00,1.00
2026-03-31T21:24:00Z,99.00,1.00
2026-03-31T21:25:00Z,99.00,1.00
2026-03-31T21:27:00Z,99.00,1.00
