# event_ticker=KXATPCHALLENGERMATCH-26APR13RONSAK
# final_score=6-4 1-6 6-3
# score_resolution=4-6 6-1 3-6
# match_winner=Pedro Sakamoto
# fav_player=Franco Roncadelli
# dog_player=Pedro Sakamoto
# kalshi_date=2026-04-13
timestamp,Franco Roncadelli,Pedro Sakamoto
2026-04-13T08:25:00Z,75.00,
2026-04-13T08:32:00Z,75.00,37.00
2026-04-13T08:44:00Z,75.00,38.00
2026-04-13T08:45:00Z,75.00,37.00
2026-04-13T08:51:00Z,65.00,37.00
2026-04-13T10:30:00Z,65.00,35.00
2026-04-13T10:31:00Z,65.00,35.00
2026-04-13T10:32:00Z,65.00,35.00
2026-04-13T13:44:00Z,65.00,35.00
2026-04-13T16:40:00Z,66.00,35.00
2026-04-13T17:35:00Z,66.00,35.00
2026-04-13T17:42:00Z,66.00,34.00
2026-04-13T17:56:00Z,67.00,34.00
2026-04-13T19:11:00Z,67.00,34.00
2026-04-13T19:21:00Z,67.00,34.00
2026-04-13T19:33:00Z,67.00,34.00
2026-04-13T19:36:00Z,67.00,34.00
2026-04-13T19:46:00Z,67.00,34.00
2026-04-13T19:47:00Z,67.00,35.00
2026-04-13T19:48:00Z,67.00,35.00
2026-04-13T19:50:00Z,67.00,35.00
2026-04-13T19:53:00Z,67.00,35.00
2026-04-13T19:55:00Z,67.00,35.00
2026-04-13T19:57:00Z,67.00,35.00
2026-04-13T19:58:00Z,67.00,35.00
2026-04-13T19:59:00Z,67.00,35.00
2026-04-13T20:00:00Z,67.00,35.00
2026-04-13T20:01:00Z,67.00,35.60
2026-04-13T20:03:00Z,67.00,35.60
2026-04-13T20:04:00Z,67.00,36.18
2026-04-13T20:05:00Z,67.00,35.53
2026-04-13T20:06:00Z,66.23,35.42
2026-04-13T20:07:00Z,67.00,35.52
2026-04-13T20:08:00Z,67.00,35.42
2026-04-13T20:09:00Z,67.00,35.79
2026-04-13T20:10:00Z,68.39,34.06
2026-04-13T20:11:00Z,70.50,31.04
2026-04-13T20:12:00Z,68.17,34.83
2026-04-13T20:13:00Z,70.71,31.00
2026-04-13T20:14:00Z,70.02,31.00
2026-04-13T20:15:00Z,73.48,28.27
2026-04-13T20:16:00Z,74.47,29.00
2026-04-13T20:17:00Z,74.13,28.27
2026-04-13T20:18:00Z,73.84,28.27
2026-04-13T20:19:00Z,70.20,31.23
2026-04-13T20:20:00Z,66.90,34.44
2026-04-13T20:21:00Z,69.38,34.13
2026-04-13T20:22:00Z,69.14,32.91
