# event_ticker=KXATPCHALLENGERMATCH-26MAR12WONDZU
# final_score=3-6 6-4 6-2
# match_winner=Coleman Wong
# fav_player=Coleman Wong
# dog_player=Damir Dzumhur
# kalshi_date=2026-03-12
timestamp,Coleman Wong,Damir Dzumhur
2026-03-12T10:40:00Z,71.00,
2026-03-12T10:52:00Z,71.00,33.00
2026-03-12T11:14:00Z,71.00,33.00
2026-03-12T12:00:00Z,71.00,33.00
2026-03-12T12:09:00Z,71.00,33.00
2026-03-12T12:50:00Z,71.00,33.00
2026-03-12T13:01:00Z,71.00,34.00
2026-03-12T13:09:00Z,71.00,34.00
2026-03-12T13:11:00Z,69.00,34.00
2026-03-12T13:26:00Z,69.00,34.00
2026-03-12T13:35:00Z,70.00,34.00
2026-03-12T13:56:00Z,70.00,34.00
2026-03-12T14:12:00Z,70.00,34.05
2026-03-12T14:56:00Z,62.00,34.05
2026-03-12T16:06:00Z,63.00,34.05
2026-03-12T16:17:00Z,63.00,39.07
2026-03-12T16:51:00Z,63.00,38.00
2026-03-12T16:55:00Z,63.00,38.00
2026-03-12T17:17:00Z,63.00,39.00
2026-03-12T17:18:00Z,62.00,39.00
2026-03-12T17:27:00Z,62.00,39.00
2026-03-12T17:30:00Z,62.00,39.00
2026-03-12T17:57:00Z,62.14,39.00
2026-03-12T18:21:00Z,63.00,39.00
2026-03-12T18:35:00Z,63.00,39.00
2026-03-12T18:50:00Z,63.00,39.00
2026-03-12T18:51:00Z,63.00,39.00
2026-03-12T18:53:00Z,63.00,39.00
2026-03-12T19:04:00Z,63.00,39.00
2026-03-12T19:05:00Z,63.00,39.00
2026-03-12T19:07:00Z,63.00,39.00
2026-03-12T19:08:00Z,63.00,39.00
2026-03-12T19:09:00Z,61.00,39.00
2026-03-12T19:10:00Z,63.00,38.00
2026-03-12T19:11:00Z,63.00,36.00
2026-03-12T19:12:00Z,65.66,35.06
2026-03-12T19:13:00Z,65.66,34.07
2026-03-12T19:14:00Z,67.00,32.37
2026-03-12T19:15:00Z,64.00,36.44
2026-03-12T19:16:00Z,64.97,36.44
2026-03-12T19:17:00Z,64.97,34.00
2026-03-12T19:18:00Z,66.00,34.00
2026-03-12T19:19:00Z,65.00,36.96
2026-03-12T19:20:00Z,65.00,36.96
2026-03-12T19:21:00Z,65.00,37.00
2026-03-12T19:22:00Z,65.00,40.00
2026-03-12T19:23:00Z,61.00,36.17
2026-03-12T19:24:00Z,62.00,37.00
2026-03-12T19:25:00Z,62.00,36.00
2026-03-12T19:26:00Z,65.00,36.00
2026-03-12T19:27:00Z,65.93,35.05
2026-03-12T19:28:00Z,71.02,32.02
2026-03-12T19:29:00Z,77.17,22.42
2026-03-12T19:30:00Z,69.10,29.00
