# event_ticker=KXATPCHALLENGERMATCH-26MAY13DENBLA
# final_score=6-4 6-4
# match_winner=Dali Blanch
# fav_player=Dali Blanch
# dog_player=Guy Den Ouden
# kalshi_date=2026-05-13
timestamp,Guy Den Ouden,Dali Blanch
2026-05-13T00:16:00Z,,38.00
2026-05-13T00:51:00Z,,38.00
2026-05-13T01:04:00Z,64.00,38.00
2026-05-13T02:30:00Z,64.00,37.00
2026-05-13T02:54:00Z,65.00,37.00
2026-05-13T03:13:00Z,65.00,37.86
2026-05-13T03:38:00Z,65.00,38.00
2026-05-13T03:52:00Z,65.00,38.00
2026-05-13T04:10:00Z,65.00,38.00
2026-05-13T04:13:00Z,63.00,38.00
2026-05-13T04:29:00Z,63.00,38.00
2026-05-13T04:55:00Z,63.00,38.00
2026-05-13T05:16:00Z,63.00,39.00
2026-05-13T05:36:00Z,63.00,39.00
2026-05-13T06:49:00Z,63.00,39.00
2026-05-13T07:05:00Z,63.00,39.00
2026-05-13T07:38:00Z,63.00,39.00
2026-05-13T09:17:00Z,63.00,39.00
2026-05-13T09:31:00Z,62.00,39.00
2026-05-13T09:48:00Z,62.00,38.00
2026-05-13T10:02:00Z,62.00,39.00
2026-05-13T10:31:00Z,63.00,39.00
2026-05-13T10:35:00Z,63.00,39.00
2026-05-13T10:38:00Z,64.00,39.00
2026-05-13T10:39:00Z,65.00,39.00
2026-05-13T10:40:00Z,60.62,44.15
2026-05-13T10:41:00Z,52.17,48.24
2026-05-13T10:42:00Z,57.00,45.00
2026-05-13T10:44:00Z,57.00,34.08
2026-05-13T10:45:00Z,57.00,33.00
2026-05-13T10:46:00Z,68.52,32.20
2026-05-13T10:47:00Z,64.79,35.56
2026-05-13T10:48:00Z,61.40,42.63
2026-05-13T10:49:00Z,53.29,47.76
2026-05-13T10:50:00Z,53.00,50.14
2026-05-13T10:51:00Z,53.00,49.93
2026-05-13T10:52:00Z,53.00,45.00
2026-05-13T10:53:00Z,60.46,42.26
2026-05-13T10:54:00Z,63.67,34.52
2026-05-13T10:55:00Z,66.00,33.00
2026-05-13T10:56:00Z,66.00,36.22
2026-05-13T10:57:00Z,65.71,36.22
2026-05-13T10:58:00Z,68.00,36.22
2026-05-13T10:59:00Z,71.00,36.22
2026-05-13T11:00:00Z,67.00,33.90
2026-05-13T11:01:00Z,67.00,35.03
2026-05-13T11:02:00Z,61.00,37.00
2026-05-13T11:03:00Z,58.00,44.25
2026-05-13T11:04:00Z,59.09,37.52
2026-05-13T11:05:00Z,59.09,34.00
2026-05-13T11:06:00Z,61.67,38.00
2026-05-13T11:07:00Z,59.98,43.81
2026-05-13T11:08:00Z,56.83,43.60
2026-05-13T11:09:00Z,54.00,47.00
2026-05-13T11:41:00Z,48.00,55.40
2026-05-13T11:42:00Z,59.12,14.49
2026-05-13T11:43:00Z,42.77,49.00
2026-05-13T11:44:00Z,42.77,50.00
2026-05-13T11:45:00Z,49.50,24.00
2026-05-13T11:47:00Z,80.35,44.00
2026-05-13T11:49:00Z,61.00,44.00
2026-05-13T11:51:00Z,53.53,57.89
2026-05-13T11:52:00Z,51.56,57.89
2026-05-13T11:53:00Z,50.31,51.83
2026-05-13T11:54:00Z,55.14,52.22
2026-05-13T11:55:00Z,55.56,48.99
2026-05-13T11:56:00Z,56.70,49.00
2026-05-13T11:57:00Z,55.73,47.00
2026-05-13T11:58:00Z,51.41,49.93
2026-05-13T11:59:00Z,51.64,51.20
2026-05-13T12:00:00Z,43.55,56.89
2026-05-13T12:01:00Z,50.83,50.19
2026-05-13T12:02:00Z,52.70,51.45
2026-05-13T12:03:00Z,45.28,54.35
2026-05-13T12:04:00Z,50.06,53.67
2026-05-13T12:05:00Z,52.13,52.71
2026-05-13T12:06:00Z,51.46,55.33
2026-05-13T12:07:00Z,52.52,51.63
2026-05-13T12:08:00Z,48.60,55.29
2026-05-13T12:09:00Z,51.48,49.29
2026-05-13T12:10:00Z,53.19,46.87
2026-05-13T12:11:00Z,53.37,47.70
2026-05-13T12:12:00Z,51.90,51.66
2026-05-13T12:13:00Z,50.46,52.99
2026-05-13T12:14:00Z,51.29,53.55
2026-05-13T12:15:00Z,47.40,55.60
2026-05-13T12:16:00Z,49.04,53.94
2026-05-13T12:17:00Z,48.81,52.24
2026-05-13T12:18:00Z,51.46,55.40
2026-05-13T12:19:00Z,46.72,57.01
2026-05-13T12:20:00Z,38.37,65.60
2026-05-13T12:21:00Z,38.82,66.38
2026-05-13T12:22:00Z,38.48,64.72
2026-05-13T12:23:00Z,41.97,63.36
2026-05-13T12:24:00Z,36.77,64.86
2026-05-13T12:25:00Z,36.64,65.57
2026-05-13T12:26:00Z,43.38,66.24
2026-05-13T12:27:00Z,32.58,67.67
2026-05-13T12:28:00Z,30.04,74.38
2026-05-13T12:29:00Z,10.60,82.43
2026-05-13T12:30:00Z,13.28,85.28
2026-05-13T12:31:00Z,9.40,92.39
2026-05-13T12:32:00Z,9.37,92.25
2026-05-13T12:33:00Z,9.67,91.43
2026-05-13T12:34:00Z,13.15,88.64
2026-05-13T12:35:00Z,8.92,91.48
2026-05-13T12:36:00Z,9.95,91.85
2026-05-13T12:37:00Z,13.38,86.98
2026-05-13T12:38:00Z,1.43,98.52
2026-05-13T12:39:00Z,1.00,99.00
2026-05-13T12:40:00Z,1.00,99.00
