# event_ticker=KXATPCHALLENGERMATCH-26JUN01GIUTOP
# final_score=2-6 6-2 6-4
# score_resolution=6-2 2-6 4-6
# match_winner=Marko Topo
# fav_player=Lorenzo Giustino
# dog_player=Marko ToPo
# kalshi_date=2026-06-01
timestamp,Lorenzo Giustino,Marko ToPo
2026-06-01T06:02:00Z,50.79,
2026-06-01T10:52:00Z,50.79,52.00
2026-06-01T12:33:00Z,50.00,52.00
2026-06-01T12:41:00Z,50.00,51.00
2026-06-01T12:42:00Z,50.00,50.00
2026-06-01T13:10:00Z,50.00,50.00
2026-06-01T13:47:00Z,50.00,51.00
2026-06-01T13:57:00Z,50.00,51.00
2026-06-01T14:13:00Z,50.00,51.00
2026-06-01T14:46:00Z,49.00,51.00
2026-06-01T14:48:00Z,50.00,51.00
2026-06-01T15:21:00Z,49.00,52.00
2026-06-01T15:22:00Z,49.00,52.00
2026-06-01T15:39:00Z,49.00,52.00
2026-06-01T16:07:00Z,49.00,52.00
2026-06-01T16:10:00Z,49.00,52.00
2026-06-01T16:17:00Z,49.00,52.00
2026-06-01T16:20:00Z,49.00,52.00
2026-06-01T16:24:00Z,49.00,52.00
2026-06-01T16:29:00Z,50.32,52.00
2026-06-01T16:31:00Z,51.00,52.77
2026-06-01T16:33:00Z,51.00,52.77
2026-06-01T16:34:00Z,51.00,52.06
2026-06-01T16:35:00Z,51.00,53.00
2026-06-01T16:36:00Z,50.00,51.00
2026-06-01T16:37:00Z,54.77,47.93
2026-06-01T16:38:00Z,57.00,45.00
2026-06-01T16:39:00Z,62.34,37.04
2026-06-01T16:40:00Z,66.43,34.00
2026-06-01T16:41:00Z,64.00,35.97
2026-06-01T16:42:00Z,66.81,35.13
2026-06-01T16:43:00Z,64.86,35.78
2026-06-01T16:44:00Z,64.22,36.31
2026-06-01T16:45:00Z,63.47,39.63
2026-06-01T16:46:00Z,62.47,38.72
2026-06-01T16:47:00Z,63.37,36.37
2026-06-01T16:48:00Z,65.00,34.00
2026-06-01T16:49:00Z,67.94,31.99
2026-06-01T16:50:00Z,67.94,32.00
2026-06-01T16:51:00Z,67.88,33.05
2026-06-01T16:52:00Z,66.00,35.98
2026-06-01T16:53:00Z,65.00,35.96
2026-06-01T16:54:00Z,66.30,34.05
2026-06-01T16:55:00Z,67.59,33.00
2026-06-01T16:56:00Z,68.00,33.00
2026-06-01T16:57:00Z,68.98,31.03
2026-06-01T16:58:00Z,70.00,31.00
2026-06-01T16:59:00Z,69.88,30.01
2026-06-01T17:00:00Z,67.65,32.65
2026-06-01T17:01:00Z,69.48,32.30
2026-06-01T17:02:00Z,69.73,30.04
2026-06-01T17:03:00Z,70.60,30.00
2026-06-01T17:04:00Z,71.00,30.00
2026-06-01T17:05:00Z,70.00,30.00
2026-06-01T17:06:00Z,71.30,28.64
2026-06-01T17:07:00Z,74.42,25.37
2026-06-01T17:08:00Z,76.00,25.00
2026-06-01T17:09:00Z,76.00,24.00
2026-06-01T17:10:00Z,76.96,23.80
2026-06-01T17:11:00Z,79.84,23.80
2026-06-01T17:12:00Z,81.88,20.36
2026-06-01T17:13:00Z,81.92,17.75
2026-06-01T17:14:00Z,84.49,16.00
2026-06-01T17:15:00Z,86.02,12.92
2026-06-01T17:16:00Z,80.17,19.27
2026-06-01T17:17:00Z,77.47,22.72
