# event_ticker=KXATPCHALLENGERMATCH-26MAR13SAIROC
# final_score=7-6(2) 3-6 6-3
# score_resolution=6-7 6-3 3-6
# match_winner=Henrique Rocha
# fav_player=Nikolas Sanchez Izquierdo
# dog_player=Henrique Rocha
# kalshi_date=2026-03-13
timestamp,Nikolas Sanchez Izquierdo,Henrique Rocha
2026-03-13T04:45:00Z,,70.78
2026-03-13T05:10:00Z,,73.00
2026-03-13T05:24:00Z,29.00,73.00
2026-03-13T05:33:00Z,29.00,72.00
2026-03-13T05:34:00Z,29.00,72.00
2026-03-13T05:41:00Z,29.00,72.00
2026-03-13T05:50:00Z,29.00,72.00
2026-03-13T05:56:00Z,29.00,72.00
2026-03-13T06:06:00Z,29.00,72.00
2026-03-13T06:20:00Z,29.00,73.00
2026-03-13T06:27:00Z,29.00,73.00
2026-03-13T06:29:00Z,29.00,73.00
2026-03-13T06:31:00Z,29.00,73.00
2026-03-13T06:36:00Z,29.00,73.00
2026-03-13T06:37:00Z,29.00,73.00
2026-03-13T06:55:00Z,26.00,73.00
2026-03-13T06:58:00Z,26.00,73.00
2026-03-13T07:05:00Z,26.00,74.60
2026-03-13T07:50:00Z,27.00,74.60
2026-03-13T08:03:00Z,27.00,74.00
2026-03-13T08:36:00Z,27.00,74.00
2026-03-13T08:58:00Z,26.00,74.00
2026-03-13T09:17:00Z,26.00,75.00
2026-03-13T09:57:00Z,26.00,75.00
2026-03-13T10:09:00Z,24.00,75.00
2026-03-13T10:10:00Z,24.00,75.00
2026-03-13T10:14:00Z,24.00,75.00
2026-03-13T10:17:00Z,24.00,75.00
2026-03-13T10:57:00Z,24.00,75.00
2026-03-13T11:12:00Z,25.00,75.00
2026-03-13T11:19:00Z,25.00,74.00
2026-03-13T11:23:00Z,25.00,74.00
2026-03-13T11:25:00Z,25.00,74.00
2026-03-13T11:31:00Z,25.00,74.00
2026-03-13T11:35:00Z,25.00,74.00
2026-03-13T11:45:00Z,26.91,74.00
2026-03-13T11:52:00Z,26.91,73.00
2026-03-13T12:01:00Z,26.91,73.00
2026-03-13T12:07:00Z,26.91,74.00
2026-03-13T12:08:00Z,26.91,74.00
2026-03-13T12:09:00Z,26.91,74.00
2026-03-13T12:10:00Z,26.91,74.00
2026-03-13T12:11:00Z,26.91,74.00
2026-03-13T12:15:00Z,28.00,74.00
2026-03-13T12:23:00Z,28.00,74.00
2026-03-13T12:30:00Z,28.00,74.00
2026-03-13T12:35:00Z,28.00,74.00
2026-03-13T12:36:00Z,28.00,74.00
2026-03-13T12:51:00Z,28.00,74.00
2026-03-13T12:52:00Z,28.00,74.00
2026-03-13T12:54:00Z,28.00,74.00
2026-03-13T13:01:00Z,28.00,74.00
