# event_ticker=KXATPMATCH-25JUL25MEDMOU
# final_score=1-6 6-4 6-4
# score_resolution=6-1 4-6 4-6
# match_winner=Corentin Moutet
# fav_player=Daniil Medvedev
# dog_player=Corentin Moutet
# kalshi_date=2025-07-25
timestamp,Daniil Medvedev,Corentin Moutet
2025-07-25T12:29:00Z,79.00,
2025-07-25T12:30:00Z,79.01,
2025-07-25T12:35:00Z,79.00,
2025-07-25T13:06:00Z,79.00,
2025-07-25T13:21:00Z,79.12,
2025-07-25T13:50:00Z,79.00,
2025-07-25T13:56:00Z,79.00,
2025-07-25T13:58:00Z,79.00,
2025-07-25T14:10:00Z,80.00,
2025-07-25T14:16:00Z,80.00,
2025-07-25T14:20:00Z,80.00,22.00
2025-07-25T14:25:00Z,79.00,22.00
2025-07-25T14:26:00Z,80.00,22.00
2025-07-25T14:31:00Z,80.00,22.00
2025-07-25T14:39:00Z,80.00,22.00
2025-07-25T14:52:00Z,80.00,22.45
2025-07-25T15:02:00Z,79.00,22.45
2025-07-25T15:06:00Z,80.00,22.45
2025-07-25T15:08:00Z,78.00,22.45
2025-07-25T15:10:00Z,78.00,23.00
2025-07-25T15:24:00Z,78.20,23.00
2025-07-25T15:28:00Z,80.00,23.00
2025-07-25T15:31:00Z,80.00,23.00
2025-07-25T15:32:00Z,80.00,22.79
2025-07-25T15:34:00Z,80.00,21.00
2025-07-25T16:03:00Z,80.00,20.00
2025-07-25T16:05:00Z,80.00,20.00
2025-07-25T16:11:00Z,80.00,21.00
2025-07-25T16:15:00Z,80.00,21.00
2025-07-25T16:17:00Z,80.00,21.00
2025-07-25T16:23:00Z,79.51,21.00
2025-07-25T16:28:00Z,79.51,22.00
2025-07-25T16:31:00Z,80.00,22.00
2025-07-25T16:36:00Z,80.00,22.00
2025-07-25T16:39:00Z,80.00,22.00
2025-07-25T16:42:00Z,79.50,22.00
2025-07-25T16:43:00Z,80.00,22.00
2025-07-25T16:53:00Z,80.00,22.00
2025-07-25T16:54:00Z,80.00,22.00
2025-07-25T16:56:00Z,80.00,21.00
2025-07-25T16:58:00Z,80.00,21.00
2025-07-25T16:59:00Z,80.00,21.00
2025-07-25T17:01:00Z,80.00,21.00
2025-07-25T17:04:00Z,79.00,21.00
2025-07-25T17:06:00Z,79.00,21.00
2025-07-25T17:12:00Z,79.00,22.00
2025-07-25T17:18:00Z,79.75,22.00
2025-07-25T17:22:00Z,80.00,22.00
2025-07-25T17:23:00Z,80.00,22.00
2025-07-25T17:24:00Z,80.00,22.30
2025-07-25T17:25:00Z,79.00,22.30
2025-07-25T17:29:00Z,79.00,22.30
2025-07-25T17:30:00Z,80.00,22.30
2025-07-25T17:32:00Z,79.00,22.30
2025-07-25T17:33:00Z,80.00,22.30
2025-07-25T17:34:00Z,80.00,22.00
2025-07-25T17:36:00Z,80.00,22.00
2025-07-25T17:37:00Z,80.00,22.00
2025-07-25T17:39:00Z,80.28,21.00
2025-07-25T17:40:00Z,81.00,22.00
2025-07-25T17:42:00Z,81.00,21.00
2025-07-25T17:45:00Z,81.00,21.00
2025-07-25T17:46:00Z,81.00,21.00
2025-07-25T17:47:00Z,80.00,21.00
2025-07-25T17:49:00Z,81.00,21.00
2025-07-25T17:50:00Z,81.00,21.00
2025-07-25T17:51:00Z,81.00,21.00
2025-07-25T17:52:00Z,81.00,21.00
2025-07-25T17:54:00Z,81.00,21.00
2025-07-25T17:58:00Z,81.00,21.00
2025-07-25T17:59:00Z,81.00,21.00
2025-07-25T18:04:00Z,81.00,20.52
2025-07-25T18:05:00Z,81.00,21.00
