# event_ticker=KXATPCHALLENGERMATCH-26MAY18SINLEO
# final_score=5-7 6-3 6-2
# score_resolution=7-5 3-6 2-6
# match_winner=Mitsuki Wei Kang Leong
# fav_player=Karan (IND) Singh
# dog_player=Mitsuki Wei Kang Leong
# kalshi_date=2026-05-18
timestamp,Karan (IND) Singh,Mitsuki Wei Kang Leong
2026-05-18T17:20:00Z,58.49,45.30
2026-05-18T17:21:00Z,57.82,48.82
2026-05-18T17:22:00Z,57.48,46.00
2026-05-18T17:23:00Z,55.80,46.00
2026-05-18T17:25:00Z,56.00,44.80
2026-05-18T17:26:00Z,58.00,44.80
2026-05-18T17:27:00Z,58.00,44.80
2026-05-18T17:29:00Z,58.24,44.80
2026-05-18T17:30:00Z,58.24,46.00
2026-05-18T17:31:00Z,58.24,44.00
2026-05-18T17:32:00Z,49.00,48.07
2026-05-18T17:33:00Z,56.08,48.07
2026-05-18T17:34:00Z,54.00,48.07
2026-05-18T17:35:00Z,54.00,57.03
2026-05-18T17:37:00Z,45.75,55.00
2026-05-18T17:38:00Z,45.75,53.00
2026-05-18T17:39:00Z,48.51,53.00
2026-05-18T17:40:00Z,54.00,53.00
2026-05-18T17:41:00Z,54.52,53.00
2026-05-18T17:43:00Z,55.00,54.80
2026-05-18T17:44:00Z,48.00,54.00
2026-05-18T17:45:00Z,48.00,46.00
2026-05-18T17:46:00Z,47.47,46.00
2026-05-18T17:47:00Z,55.20,46.00
2026-05-18T17:48:00Z,55.60,45.03
2026-05-18T17:49:00Z,55.60,54.98
2026-05-18T17:50:00Z,55.00,47.00
2026-05-18T17:51:00Z,55.00,52.53
2026-05-18T17:52:00Z,47.62,52.53
2026-05-18T17:53:00Z,47.25,48.50
2026-05-18T17:56:00Z,55.53,38.16
2026-05-18T17:57:00Z,55.53,50.57
2026-05-18T17:58:00Z,48.24,50.57
2026-05-18T18:00:00Z,48.11,50.00
2026-05-18T18:01:00Z,47.56,51.30
2026-05-18T18:02:00Z,51.49,51.30
2026-05-18T18:03:00Z,45.11,52.10
2026-05-18T18:06:00Z,45.11,47.83
2026-05-18T18:07:00Z,45.11,52.42
2026-05-18T18:09:00Z,55.61,52.42
2026-05-18T18:10:00Z,55.61,52.55
2026-05-18T18:11:00Z,51.00,52.66
2026-05-18T18:14:00Z,53.24,52.66
2026-05-18T18:15:00Z,48.53,52.66
2026-05-18T18:16:00Z,48.53,50.00
2026-05-18T18:18:00Z,48.53,42.91
2026-05-18T18:19:00Z,52.00,47.23
2026-05-18T18:20:00Z,53.00,47.23
2026-05-18T18:24:00Z,53.00,49.90
2026-05-18T18:25:00Z,57.21,50.00
2026-05-18T18:26:00Z,57.21,46.67
2026-05-18T18:28:00Z,58.11,49.27
2026-05-18T18:30:00Z,48.98,50.72
2026-05-18T18:31:00Z,51.00,53.89
2026-05-18T18:35:00Z,51.00,47.00
2026-05-18T18:36:00Z,51.00,37.75
2026-05-18T18:37:00Z,53.00,37.75
2026-05-18T18:38:00Z,54.51,46.00
2026-05-18T18:39:00Z,57.00,45.00
2026-05-18T18:40:00Z,50.72,45.00
2026-05-18T18:41:00Z,57.92,41.82
2026-05-18T18:42:00Z,49.63,48.00
2026-05-18T18:43:00Z,49.00,48.00
2026-05-18T18:45:00Z,50.00,48.00
2026-05-18T18:46:00Z,48.09,48.00
2026-05-18T18:47:00Z,48.09,49.45
2026-05-18T18:49:00Z,46.76,51.00
2026-05-18T18:50:00Z,47.00,51.00
2026-05-18T18:53:00Z,52.81,51.00
2026-05-18T18:55:00Z,56.73,39.38
2026-05-18T18:56:00Z,56.73,50.00
2026-05-18T18:57:00Z,56.73,39.80
2026-05-18T18:58:00Z,56.73,42.59
2026-05-18T19:00:00Z,57.61,48.00
2026-05-18T19:01:00Z,57.61,42.00
2026-05-18T19:02:00Z,53.00,41.00
2026-05-18T19:04:00Z,53.00,42.44
2026-05-18T19:05:00Z,56.75,38.42
2026-05-18T19:06:00Z,58.00,40.00
2026-05-18T19:08:00Z,58.00,40.00
2026-05-18T19:09:00Z,58.45,40.00
2026-05-18T19:10:00Z,52.26,45.85
2026-05-18T19:11:00Z,50.91,48.61
2026-05-18T19:12:00Z,50.00,48.00
2026-05-18T19:13:00Z,61.06,43.63
2026-05-18T19:14:00Z,61.06,47.00
2026-05-18T19:15:00Z,58.21,47.00
2026-05-18T19:16:00Z,58.21,47.00
2026-05-18T19:18:00Z,52.00,51.60
2026-05-18T19:19:00Z,49.00,52.20
2026-05-18T19:22:00Z,50.13,52.20
2026-05-18T19:23:00Z,58.40,52.20
2026-05-18T19:26:00Z,58.40,47.50
2026-05-18T19:28:00Z,53.16,43.42
2026-05-18T19:29:00Z,55.95,48.75
2026-05-18T19:31:00Z,60.00,48.75
2026-05-18T19:32:00Z,54.25,48.75
2026-05-18T19:34:00Z,59.49,48.75
2026-05-18T19:35:00Z,48.53,48.85
2026-05-18T19:36:00Z,65.81,52.78
2026-05-18T19:37:00Z,65.81,52.00
2026-05-18T19:38:00Z,59.51,42.00
2026-05-18T19:39:00Z,59.51,49.00
2026-05-18T19:40:00Z,57.00,49.00
