# event_ticker=KXATPMATCH-26JUN08HURFUC
# final_score=3-6 7-6(5) 7-6(4)
# score_resolution=6-3 6-7 6-7
# match_winner=Marton Fucsovics
# fav_player=Hubert Hurkacz
# dog_player=Marton Fucsovics
# kalshi_date=2026-06-08
timestamp,Hubert Hurkacz,Marton Fucsovics
2026-06-09T23:51:00Z,82.00,
2026-06-09T23:52:00Z,79.63,18.00
2026-06-09T23:53:00Z,79.63,20.00
2026-06-09T23:54:00Z,82.14,20.00
2026-06-09T23:55:00Z,82.14,18.00
2026-06-09T23:56:00Z,79.25,18.00
2026-06-09T23:58:00Z,79.25,20.00
2026-06-09T23:59:00Z,81.09,20.00
2026-06-10T00:00:00Z,80.17,18.00
2026-06-10T00:01:00Z,80.17,18.00
2026-06-10T00:06:00Z,82.00,20.00
2026-06-10T00:07:00Z,82.00,20.00
2026-06-10T00:08:00Z,79.00,18.00
2026-06-10T00:09:00Z,82.00,18.00
2026-06-10T00:10:00Z,82.00,20.00
2026-06-10T00:12:00Z,82.00,19.40
2026-06-10T00:13:00Z,82.00,20.00
2026-06-10T00:14:00Z,82.00,20.00
2026-06-10T00:17:00Z,82.00,20.00
2026-06-10T00:18:00Z,81.00,20.00
2026-06-10T00:19:00Z,81.00,20.00
2026-06-10T00:21:00Z,79.00,20.00
2026-06-10T00:22:00Z,79.00,18.00
2026-06-10T00:23:00Z,81.00,18.00
2026-06-10T00:24:00Z,81.00,18.00
2026-06-10T00:25:00Z,81.00,20.00
2026-06-10T00:26:00Z,81.00,20.00
2026-06-10T00:27:00Z,81.00,20.00
2026-06-10T00:29:00Z,81.00,18.00
2026-06-10T00:30:00Z,81.00,20.00
2026-06-10T00:31:00Z,80.01,20.00
2026-06-10T00:33:00Z,80.01,19.00
2026-06-10T00:34:00Z,80.01,20.00
2026-06-10T00:35:00Z,80.01,20.00
2026-06-10T00:36:00Z,81.00,20.00
2026-06-10T00:37:00Z,81.00,19.00
2026-06-10T00:38:00Z,81.00,19.51
2026-06-10T00:39:00Z,81.00,19.96
2026-06-10T00:40:00Z,82.00,18.00
2026-06-10T00:41:00Z,82.00,19.00
2026-06-10T00:43:00Z,81.00,19.00
2026-06-10T00:44:00Z,81.00,18.02
2026-06-10T00:46:00Z,82.00,18.02
2026-06-10T00:47:00Z,82.00,18.00
2026-06-10T00:48:00Z,82.00,18.00
2026-06-10T00:52:00Z,82.00,19.00
2026-06-10T00:53:00Z,82.00,18.00
2026-06-10T00:56:00Z,82.00,19.00
2026-06-10T00:59:00Z,82.00,18.24
2026-06-10T01:00:00Z,82.00,18.00
2026-06-10T01:01:00Z,82.00,18.00
2026-06-10T01:02:00Z,82.00,19.00
2026-06-10T01:03:00Z,81.37,18.10
2026-06-10T01:04:00Z,81.37,18.00
2026-06-10T01:05:00Z,81.37,19.00
2026-06-10T01:06:00Z,81.37,18.11
2026-06-10T01:09:00Z,81.37,19.00
2026-06-10T01:10:00Z,81.37,19.00
2026-06-10T01:11:00Z,81.37,18.00
2026-06-10T01:12:00Z,81.37,19.92
2026-06-10T01:16:00Z,82.00,19.92
2026-06-10T01:18:00Z,82.00,19.92
2026-06-10T01:19:00Z,82.00,19.00
2026-06-10T01:20:00Z,82.00,18.00
2026-06-10T01:21:00Z,81.08,18.07
2026-06-10T01:22:00Z,81.08,19.00
2026-06-10T01:23:00Z,82.00,19.00
