# event_ticker=KXATPCHALLENGERMATCH-26MAR30BROUCH
# final_score=7-6(3) 6-1
# score_resolution=7-6 6-1
# match_winner=Liam Broady
# fav_player=Liam Broady
# dog_player=Kaichi Uchida
# kalshi_date=2026-03-30
timestamp,Liam Broady,Kaichi Uchida
2026-03-29T20:56:00Z,76.00,
2026-03-29T22:10:00Z,76.00,28.00
2026-03-29T22:21:00Z,76.00,28.00
2026-03-29T22:22:00Z,75.00,28.00
2026-03-29T22:23:00Z,72.00,28.00
2026-03-29T23:28:00Z,75.00,28.00
2026-03-29T23:41:00Z,74.00,28.00
2026-03-29T23:43:00Z,74.00,25.00
2026-03-30T00:05:00Z,74.00,25.00
2026-03-30T00:06:00Z,75.00,25.00
2026-03-30T00:12:00Z,75.00,28.00
2026-03-30T00:55:00Z,75.00,28.00
2026-03-30T01:14:00Z,75.00,28.00
2026-03-30T01:19:00Z,75.00,28.00
2026-03-30T01:37:00Z,76.00,28.00
2026-03-30T01:40:00Z,76.00,28.00
2026-03-30T01:56:00Z,76.00,28.00
2026-03-30T02:00:00Z,75.00,27.00
2026-03-30T02:02:00Z,76.00,27.00
2026-03-30T02:05:00Z,76.00,27.00
2026-03-30T02:07:00Z,76.00,27.00
2026-03-30T02:11:00Z,76.00,27.00
2026-03-30T02:12:00Z,76.00,27.00
2026-03-30T02:20:00Z,76.00,27.00
2026-03-30T02:32:00Z,76.00,27.00
2026-03-30T02:38:00Z,76.00,27.00
2026-03-30T02:49:00Z,76.00,27.00
2026-03-30T02:51:00Z,76.00,27.00
2026-03-30T03:03:00Z,76.00,27.00
2026-03-30T03:05:00Z,75.00,27.00
2026-03-30T03:11:00Z,75.00,27.00
2026-03-30T03:14:00Z,75.00,27.00
2026-03-30T03:16:00Z,75.00,27.00
2026-03-30T03:19:00Z,75.00,27.00
2026-03-30T03:25:00Z,75.00,27.00
2026-03-30T03:31:00Z,75.00,27.00
2026-03-30T03:40:00Z,75.00,27.00
2026-03-30T03:46:00Z,75.00,27.00
2026-03-30T03:49:00Z,75.00,27.00
2026-03-30T03:52:00Z,75.00,27.00
2026-03-30T04:06:00Z,75.00,27.00
2026-03-30T04:23:00Z,75.00,27.00
2026-03-30T04:27:00Z,75.00,27.00
2026-03-30T04:35:00Z,75.00,27.00
2026-03-30T04:37:00Z,75.00,27.00
2026-03-30T04:38:00Z,75.00,26.99
2026-03-30T04:40:00Z,74.80,26.99
2026-03-30T04:41:00Z,74.80,27.69
2026-03-30T04:43:00Z,74.80,27.00
2026-03-30T04:46:00Z,74.80,27.72
2026-03-30T04:49:00Z,74.80,28.00
2026-03-30T04:50:00Z,74.80,28.00
2026-03-30T04:52:00Z,74.54,28.00
2026-03-30T04:55:00Z,75.00,28.00
2026-03-30T04:56:00Z,73.00,28.00
2026-03-30T04:57:00Z,73.00,27.00
2026-03-30T04:59:00Z,75.00,27.00
2026-03-30T05:02:00Z,75.00,27.00
2026-03-30T05:04:00Z,75.00,27.00
2026-03-30T05:05:00Z,74.84,27.00
