# event_ticker=KXATPMATCH-25SEP20MCDBAS
# final_score=6-2 7-6(4)
# score_resolution=2-6 6-7
# match_winner=Nikoloz Basilashvili
# fav_player=Mackenzie McDonald
# dog_player=Nikoloz Basilashvili
# kalshi_date=2025-09-20
timestamp,Mackenzie McDonald,Nikoloz Basilashvili
2025-09-19T20:04:00Z,61.00,
2025-09-19T20:42:00Z,61.00,
2025-09-19T21:14:00Z,61.00,
2025-09-19T22:40:00Z,61.00,
2025-09-20T00:00:00Z,63.00,
2025-09-20T00:07:00Z,63.00,
2025-09-20T00:35:00Z,63.00,
2025-09-20T01:36:00Z,63.00,
2025-09-20T01:50:00Z,63.00,39.00
2025-09-20T01:51:00Z,63.00,39.00
2025-09-20T02:05:00Z,63.00,39.00
2025-09-20T02:11:00Z,63.00,39.00
2025-09-20T03:04:00Z,63.00,38.00
2025-09-20T03:07:00Z,63.00,38.00
2025-09-20T03:10:00Z,63.00,38.00
2025-09-20T03:15:00Z,63.00,38.00
2025-09-20T03:37:00Z,63.00,38.00
2025-09-20T03:43:00Z,63.00,38.00
2025-09-20T03:44:00Z,63.00,38.00
2025-09-20T03:49:00Z,63.00,38.00
2025-09-20T03:59:00Z,62.00,38.00
2025-09-20T04:00:00Z,62.00,38.00
2025-09-20T04:01:00Z,62.00,38.00
2025-09-20T04:03:00Z,62.00,38.00
2025-09-20T04:10:00Z,62.96,38.00
2025-09-20T04:16:00Z,63.00,38.00
2025-09-20T04:22:00Z,63.00,38.00
2025-09-20T04:25:00Z,63.00,38.00
2025-09-20T04:26:00Z,63.00,38.00
2025-09-20T04:27:00Z,63.06,38.00
2025-09-20T04:28:00Z,64.00,38.00
2025-09-20T04:30:00Z,64.00,38.00
2025-09-20T04:31:00Z,64.00,38.00
2025-09-20T04:34:00Z,64.00,38.00
2025-09-20T04:35:00Z,64.00,38.00
2025-09-20T04:36:00Z,64.00,38.00
2025-09-20T04:37:00Z,64.00,38.00
2025-09-20T04:38:00Z,64.00,38.00
2025-09-20T04:40:00Z,64.00,38.00
2025-09-20T04:41:00Z,64.00,38.00
2025-09-20T04:42:00Z,62.00,38.00
2025-09-20T04:43:00Z,62.00,38.00
2025-09-20T04:44:00Z,62.00,38.00
2025-09-20T04:46:00Z,62.00,38.00
2025-09-20T04:48:00Z,62.00,39.00
2025-09-20T04:49:00Z,62.00,39.00
2025-09-20T04:50:00Z,62.00,39.00
2025-09-20T04:53:00Z,62.00,39.00
2025-09-20T04:54:00Z,62.00,39.00
2025-09-20T04:55:00Z,62.00,39.00
2025-09-20T04:56:00Z,62.00,39.00
2025-09-20T04:57:00Z,62.00,39.00
2025-09-20T04:58:00Z,62.00,39.00
2025-09-20T05:00:00Z,62.00,39.00
2025-09-20T05:01:00Z,62.00,39.00
2025-09-20T05:02:00Z,62.00,39.00
2025-09-20T05:04:00Z,72.00,39.00
2025-09-20T05:05:00Z,72.25,39.00
2025-09-20T05:06:00Z,77.28,25.00
2025-09-20T05:07:00Z,74.00,30.00
2025-09-20T05:08:00Z,74.52,30.00
2025-09-20T05:10:00Z,61.66,39.58
2025-09-20T05:11:00Z,63.43,39.85
2025-09-20T05:12:00Z,53.04,53.62
2025-09-20T05:13:00Z,75.23,54.18
2025-09-20T05:14:00Z,54.92,54.28
2025-09-20T05:15:00Z,46.00,58.62
2025-09-20T05:16:00Z,75.14,58.62
