# event_ticker=KXATPCHALLENGERMATCH-26FEB13SIMBAR
# final_score=7-6(5) 4-6 7-5
# score_resolution=7-6 4-6 7-5
# match_winner=Ilia Simakin
# fav_player=Ilia Simakin
# dog_player=Petr Bar Biryukov
# kalshi_date=2026-02-13
timestamp,Ilia Simakin,Petr Bar Biryukov
2026-02-12T22:13:00Z,,35.00
2026-02-12T22:14:00Z,65.00,35.00
2026-02-12T22:15:00Z,65.00,35.00
2026-02-12T22:33:00Z,66.00,35.00
2026-02-12T22:51:00Z,66.00,34.00
2026-02-12T22:53:00Z,64.00,36.00
2026-02-12T22:54:00Z,64.00,36.00
2026-02-12T23:08:00Z,66.00,36.00
2026-02-13T00:08:00Z,66.00,36.00
2026-02-13T00:30:00Z,66.00,35.00
2026-02-13T01:46:00Z,66.00,35.00
2026-02-13T02:37:00Z,66.00,35.00
2026-02-13T03:11:00Z,66.00,35.00
2026-02-13T03:20:00Z,66.00,35.00
2026-02-13T03:25:00Z,66.00,35.00
2026-02-13T03:46:00Z,66.00,35.00
2026-02-13T04:12:00Z,66.00,35.00
2026-02-13T04:28:00Z,66.00,35.00
2026-02-13T04:31:00Z,66.00,35.00
2026-02-13T04:33:00Z,66.00,35.00
2026-02-13T04:42:00Z,66.00,34.00
2026-02-13T04:47:00Z,66.00,34.00
2026-02-13T04:59:00Z,66.00,35.00
2026-02-13T05:17:00Z,66.00,35.00
2026-02-13T05:19:00Z,66.45,35.00
2026-02-13T05:31:00Z,66.00,35.00
2026-02-13T05:34:00Z,67.97,35.00
2026-02-13T05:37:00Z,68.00,35.00
2026-02-13T05:43:00Z,68.00,34.95
2026-02-13T05:44:00Z,67.00,34.95
2026-02-13T05:50:00Z,67.00,34.00
2026-02-13T05:52:00Z,67.00,34.00
2026-02-13T05:53:00Z,68.00,34.00
2026-02-13T05:58:00Z,69.00,34.00
2026-02-13T05:59:00Z,69.00,34.00
2026-02-13T06:01:00Z,69.00,34.00
2026-02-13T06:05:00Z,68.29,34.00
2026-02-13T06:16:00Z,69.00,34.00
2026-02-13T06:24:00Z,70.00,34.00
2026-02-13T06:27:00Z,70.00,34.00
2026-02-13T06:42:00Z,70.00,34.00
2026-02-13T06:43:00Z,70.00,34.00
2026-02-13T06:45:00Z,70.00,34.00
2026-02-13T06:56:00Z,70.00,34.00
2026-02-13T07:05:00Z,70.00,34.00
2026-02-13T07:06:00Z,70.00,32.43
2026-02-13T07:11:00Z,70.00,32.43
2026-02-13T07:13:00Z,70.00,32.43
2026-02-13T07:21:00Z,70.00,32.43
2026-02-13T07:28:00Z,70.00,32.43
2026-02-13T07:30:00Z,70.00,32.43
2026-02-13T07:31:00Z,70.00,32.43
2026-02-13T07:36:00Z,70.00,32.43
2026-02-13T07:39:00Z,70.00,32.43
2026-02-13T07:47:00Z,70.00,32.64
2026-02-13T07:52:00Z,70.00,33.00
2026-02-13T07:53:00Z,70.00,33.00
2026-02-13T07:55:00Z,70.00,33.00
2026-02-13T07:56:00Z,70.00,33.00
2026-02-13T07:57:00Z,70.00,33.00
2026-02-13T08:00:00Z,70.09,32.83
2026-02-13T08:02:00Z,70.00,33.00
2026-02-13T08:05:00Z,70.00,33.00
2026-02-13T08:06:00Z,70.00,33.00
2026-02-13T08:07:00Z,70.00,33.00
2026-02-13T08:09:00Z,70.00,33.00
2026-02-13T08:10:00Z,70.00,33.00
2026-02-13T08:13:00Z,70.00,33.00
2026-02-13T08:17:00Z,70.00,33.00
2026-02-13T08:22:00Z,70.00,32.57
2026-02-13T08:30:00Z,70.26,32.57
2026-02-13T08:34:00Z,70.00,32.57
2026-02-13T08:35:00Z,70.00,32.96
2026-02-13T08:37:00Z,70.00,32.96
2026-02-13T08:39:00Z,70.80,32.96
2026-02-13T08:40:00Z,70.00,32.96
2026-02-13T08:42:00Z,70.00,32.93
2026-02-13T08:43:00Z,70.00,33.00
2026-02-13T08:44:00Z,70.22,33.17
2026-02-13T08:45:00Z,70.00,33.00
2026-02-13T08:46:00Z,71.97,32.89
2026-02-13T08:47:00Z,69.14,34.76
2026-02-13T08:48:00Z,63.89,39.44
2026-02-13T08:49:00Z,52.52,49.34
2026-02-13T08:50:00Z,55.33,46.18
2026-02-13T08:51:00Z,51.57,49.23
2026-02-13T08:52:00Z,55.91,51.94
2026-02-13T08:53:00Z,55.04,52.03
2026-02-13T08:54:00Z,56.15,43.20
2026-02-13T08:55:00Z,55.69,46.90
2026-02-13T08:56:00Z,50.94,48.49
