# event_ticker=KXATPCHALLENGERMATCH-26MAR15KOTROM
# final_score=6-2 7-5
# score_resolution=2-6 5-7
# match_winner=Pavel Kotov
# fav_player=Filippo Romano
# dog_player=Pavel Kotov
# kalshi_date=2026-03-15
timestamp,Filippo Romano,Pavel Kotov
2026-03-15T03:08:00Z,22.00,
2026-03-15T03:17:00Z,22.00,81.00
2026-03-15T04:01:00Z,22.00,80.00
2026-03-15T04:10:00Z,22.00,80.00
2026-03-15T04:25:00Z,22.00,80.00
2026-03-15T04:32:00Z,23.00,80.00
2026-03-15T04:42:00Z,23.00,79.00
2026-03-15T04:50:00Z,23.00,79.00
2026-03-15T04:59:00Z,23.00,79.00
2026-03-15T05:06:00Z,23.00,79.00
2026-03-15T05:12:00Z,23.00,79.00
2026-03-15T05:13:00Z,23.00,79.00
2026-03-15T05:26:00Z,23.00,79.00
2026-03-15T05:28:00Z,23.00,79.00
2026-03-15T05:32:00Z,23.00,79.91
2026-03-15T05:37:00Z,23.00,79.91
2026-03-15T05:41:00Z,23.00,79.00
2026-03-15T05:52:00Z,23.00,79.00
2026-03-15T05:55:00Z,23.00,77.00
2026-03-15T05:56:00Z,23.00,78.00
2026-03-15T06:03:00Z,23.00,78.00
2026-03-15T06:11:00Z,23.00,78.00
2026-03-15T06:16:00Z,23.00,78.00
2026-03-15T06:19:00Z,23.00,78.00
2026-03-15T06:25:00Z,23.00,78.00
2026-03-15T06:32:00Z,23.00,78.00
2026-03-15T06:35:00Z,23.00,78.00
2026-03-15T06:39:00Z,23.00,78.00
2026-03-15T06:43:00Z,23.00,77.00
2026-03-15T06:47:00Z,23.00,78.00
2026-03-15T06:59:00Z,23.00,78.00
2026-03-15T07:02:00Z,23.00,78.00
2026-03-15T07:03:00Z,21.00,78.00
2026-03-15T07:09:00Z,23.00,78.00
2026-03-15T07:10:00Z,23.00,78.00
2026-03-15T07:11:00Z,23.00,78.00
2026-03-15T07:15:00Z,23.00,78.00
2026-03-15T07:27:00Z,24.00,78.00
2026-03-15T07:32:00Z,24.00,78.01
2026-03-15T07:44:00Z,24.00,78.01
2026-03-15T07:47:00Z,24.00,78.01
2026-03-15T07:52:00Z,24.00,78.01
2026-03-15T07:56:00Z,23.00,78.01
