# event_ticker=KXATPMATCH-25AUG08MEDKOV
# final_score=6-2 6-3
# score_resolution=2-6 3-6
# match_winner=Hamad Medjedovic
# fav_player=Aleksandar Kovacevic
# dog_player=Hamad Medjedovic
# kalshi_date=2025-08-08
timestamp,Aleksandar Kovacevic,Hamad Medjedovic
2025-08-08T12:32:00Z,53.00,
2025-08-08T12:59:00Z,53.00,50.00
2025-08-08T13:35:00Z,53.00,50.00
2025-08-08T14:34:00Z,53.00,50.00
2025-08-08T15:37:00Z,53.00,50.00
2025-08-08T16:26:00Z,52.00,50.00
2025-08-08T17:14:00Z,51.00,50.00
2025-08-08T18:40:00Z,51.00,50.00
2025-08-08T18:52:00Z,51.00,50.00
2025-08-08T19:02:00Z,51.00,50.00
2025-08-08T19:03:00Z,51.00,50.00
2025-08-08T19:16:00Z,51.00,50.98
2025-08-08T19:18:00Z,51.00,51.00
2025-08-08T19:22:00Z,51.00,50.00
2025-08-08T19:32:00Z,51.00,49.00
2025-08-08T19:37:00Z,51.00,49.00
2025-08-08T19:38:00Z,51.00,49.00
2025-08-08T19:59:00Z,51.00,49.00
2025-08-08T20:05:00Z,49.29,50.00
2025-08-08T20:20:00Z,49.29,51.00
2025-08-08T20:31:00Z,49.29,50.79
2025-08-08T20:40:00Z,49.29,51.00
2025-08-08T20:43:00Z,50.00,51.00
2025-08-08T20:45:00Z,50.40,51.00
2025-08-08T20:46:00Z,52.00,51.00
2025-08-08T20:48:00Z,52.00,51.00
2025-08-08T20:54:00Z,52.35,51.00
2025-08-08T20:56:00Z,52.50,51.00
2025-08-08T20:58:00Z,53.00,50.01
2025-08-08T20:59:00Z,53.00,49.00
2025-08-08T21:01:00Z,55.00,48.00
2025-08-08T21:02:00Z,55.34,48.00
2025-08-08T21:03:00Z,54.00,49.00
2025-08-08T21:04:00Z,52.00,50.00
2025-08-08T21:05:00Z,48.91,52.17
2025-08-08T21:06:00Z,45.88,56.33
2025-08-08T21:07:00Z,45.88,57.71
2025-08-08T21:08:00Z,35.00,64.00
2025-08-08T21:10:00Z,35.00,69.79
2025-08-08T21:11:00Z,27.78,73.00
2025-08-08T21:12:00Z,27.67,73.00
2025-08-08T21:13:00Z,24.00,76.30
2025-08-08T21:14:00Z,24.00,79.21
2025-08-08T21:16:00Z,20.00,82.09
2025-08-08T21:17:00Z,16.94,80.05
2025-08-08T21:18:00Z,16.94,84.00
2025-08-08T21:19:00Z,19.47,83.00
2025-08-08T21:20:00Z,20.00,83.00
2025-08-08T21:22:00Z,22.00,83.00
2025-08-08T21:23:00Z,22.00,79.72
2025-08-08T21:24:00Z,19.93,82.00
2025-08-08T21:25:00Z,18.00,82.00
2025-08-08T21:26:00Z,19.00,83.32
2025-08-08T21:27:00Z,21.90,80.58
2025-08-08T21:29:00Z,21.00,81.00
2025-08-08T21:30:00Z,23.00,81.00
2025-08-08T21:31:00Z,23.00,80.00
2025-08-08T21:32:00Z,23.00,81.87
2025-08-08T21:33:00Z,19.93,82.00
2025-08-08T21:34:00Z,11.25,82.84
2025-08-08T21:35:00Z,21.44,80.00
2025-08-08T21:36:00Z,23.70,80.00
2025-08-08T21:37:00Z,27.02,80.00
2025-08-08T21:38:00Z,21.40,76.00
2025-08-08T21:39:00Z,18.00,76.00
2025-08-08T21:41:00Z,24.00,77.00
2025-08-08T21:42:00Z,15.47,81.35
2025-08-08T21:43:00Z,10.97,87.06
2025-08-08T21:44:00Z,10.97,93.00
2025-08-08T21:45:00Z,10.97,92.85
2025-08-08T21:46:00Z,6.43,94.00
2025-08-08T21:47:00Z,4.00,95.29
2025-08-08T21:48:00Z,6.00,95.56
2025-08-08T21:49:00Z,4.68,95.56
2025-08-08T21:50:00Z,4.51,97.00
2025-08-08T21:51:00Z,5.00,97.00
2025-08-08T21:52:00Z,5.04,97.00
2025-08-08T21:54:00Z,6.00,97.00
2025-08-08T21:55:00Z,8.07,95.46
2025-08-08T21:56:00Z,6.41,95.00
2025-08-08T21:57:00Z,3.45,95.00
2025-08-08T21:58:00Z,4.00,98.00
2025-08-08T21:59:00Z,4.00,98.00
2025-08-08T22:00:00Z,1.00,97.85
2025-08-08T22:01:00Z,1.00,99.00
2025-08-08T22:03:00Z,1.00,99.00
2025-08-08T22:06:00Z,1.00,99.00
