# event_ticker=KXATPMATCH-25OCT22DEMIS
# final_score=6-4 6-4
# match_winner=Alex de Minaur
# fav_player=Alex de Minaur
# dog_player=Filip Misolic
# kalshi_date=2025-10-22
timestamp,Alex de Minaur,Filip Misolic
2025-10-22T08:37:00Z,,8.00
2025-10-22T08:38:00Z,94.00,8.00
2025-10-22T08:45:00Z,94.00,6.00
2025-10-22T09:05:00Z,94.00,8.00
2025-10-22T09:38:00Z,94.00,8.00
2025-10-22T09:44:00Z,92.00,8.00
2025-10-22T10:10:00Z,92.00,8.00
2025-10-22T10:31:00Z,92.00,8.00
2025-10-22T10:33:00Z,92.00,8.00
2025-10-22T10:37:00Z,92.00,8.00
2025-10-22T10:47:00Z,93.00,8.00
2025-10-22T11:20:00Z,93.00,8.00
2025-10-22T11:41:00Z,93.00,8.00
2025-10-22T12:02:00Z,93.00,8.00
2025-10-22T12:07:00Z,93.00,8.00
2025-10-22T12:32:00Z,93.00,8.00
2025-10-22T12:59:00Z,93.00,8.00
2025-10-22T13:06:00Z,93.00,8.00
2025-10-22T13:07:00Z,93.00,8.00
2025-10-22T13:22:00Z,93.00,8.00
2025-10-22T13:31:00Z,93.00,8.00
2025-10-22T13:37:00Z,93.00,8.00
2025-10-22T13:39:00Z,93.00,8.00
2025-10-22T13:44:00Z,93.00,8.00
2025-10-22T13:51:00Z,93.00,8.00
2025-10-22T14:07:00Z,93.00,8.00
2025-10-22T14:16:00Z,93.00,8.00
2025-10-22T14:23:00Z,93.00,8.00
2025-10-22T14:31:00Z,93.00,8.00
2025-10-22T14:33:00Z,93.00,8.00
2025-10-22T14:45:00Z,93.00,8.00
2025-10-22T14:46:00Z,93.00,8.00
2025-10-22T14:49:00Z,93.00,8.00
2025-10-22T14:51:00Z,93.00,8.00
2025-10-22T14:53:00Z,93.00,8.00
2025-10-22T15:04:00Z,93.00,8.00
2025-10-22T15:08:00Z,93.00,7.96
2025-10-22T15:13:00Z,93.00,8.00
2025-10-22T15:14:00Z,93.00,8.00
2025-10-22T15:16:00Z,93.00,8.00
2025-10-22T15:20:00Z,93.00,8.00
2025-10-22T15:21:00Z,93.00,8.00
2025-10-22T15:24:00Z,93.00,8.00
2025-10-22T15:30:00Z,93.00,8.00
2025-10-22T15:32:00Z,93.00,8.00
2025-10-22T15:36:00Z,93.00,8.00
2025-10-22T15:42:00Z,93.00,8.00
2025-10-22T15:43:00Z,93.00,8.00
2025-10-22T15:48:00Z,93.00,8.00
2025-10-22T15:49:00Z,93.00,8.00
2025-10-22T15:50:00Z,93.00,8.00
2025-10-22T15:51:00Z,93.00,8.00
2025-10-22T15:52:00Z,93.00,8.00
2025-10-22T15:57:00Z,93.00,8.00
2025-10-22T16:00:00Z,93.00,8.00
2025-10-22T16:01:00Z,93.00,8.00
2025-10-22T16:04:00Z,93.00,8.00
2025-10-22T16:05:00Z,93.00,8.00
2025-10-22T16:06:00Z,93.00,8.00
2025-10-22T16:07:00Z,93.00,8.00
2025-10-22T16:08:00Z,93.00,8.00
2025-10-22T16:10:00Z,93.00,8.00
2025-10-22T16:18:00Z,93.00,8.00
2025-10-22T16:19:00Z,93.00,8.00
2025-10-22T16:20:00Z,93.00,8.00
2025-10-22T16:32:00Z,93.00,8.00
2025-10-22T16:35:00Z,93.00,8.00
