# event_ticker=KXATPMATCH-25OCT04NAKMAJ
# final_score=6-4 6-0
# score_resolution=4-6 0-6
# match_winner=Kamil Majchrzak
# fav_player=Brandon Nakashima
# dog_player=Kamil Majchrzak
# kalshi_date=2025-10-04
timestamp,Brandon Nakashima,Kamil Majchrzak
2025-10-03T18:53:00Z,68.00,
2025-10-03T19:12:00Z,66.00,
2025-10-03T19:14:00Z,66.00,34.33
2025-10-03T19:31:00Z,67.00,34.33
2025-10-03T19:42:00Z,67.00,34.33
2025-10-03T19:48:00Z,66.00,34.33
2025-10-03T20:10:00Z,66.00,34.00
2025-10-03T20:16:00Z,66.00,34.00
2025-10-03T20:17:00Z,66.00,34.00
2025-10-03T20:41:00Z,66.00,34.00
2025-10-03T20:53:00Z,66.00,34.00
2025-10-03T20:55:00Z,66.00,34.00
2025-10-03T21:02:00Z,66.00,36.00
2025-10-03T21:19:00Z,65.00,36.00
2025-10-03T21:32:00Z,65.00,36.00
2025-10-03T21:36:00Z,65.00,36.00
2025-10-03T21:42:00Z,65.00,36.00
2025-10-03T21:46:00Z,65.00,36.00
2025-10-03T21:47:00Z,65.00,36.00
2025-10-03T21:49:00Z,65.00,36.00
2025-10-03T22:04:00Z,65.00,36.00
2025-10-03T22:08:00Z,65.00,36.00
2025-10-03T22:09:00Z,65.00,36.00
2025-10-03T22:12:00Z,65.00,36.00
2025-10-03T22:13:00Z,65.00,36.00
2025-10-03T22:16:00Z,65.00,36.00
2025-10-03T22:17:00Z,65.00,36.00
2025-10-03T22:19:00Z,65.00,36.00
2025-10-03T22:25:00Z,64.00,36.00
2025-10-03T22:30:00Z,65.00,36.00
2025-10-03T22:40:00Z,65.00,36.00
2025-10-03T23:03:00Z,65.00,36.00
2025-10-03T23:14:00Z,65.00,36.00
2025-10-03T23:19:00Z,65.00,36.00
2025-10-03T23:25:00Z,65.00,36.00
2025-10-03T23:39:00Z,65.00,36.00
2025-10-03T23:52:00Z,65.00,36.00
2025-10-03T23:54:00Z,65.00,36.00
2025-10-04T00:02:00Z,65.00,36.00
