# event_ticker=KXATPCHALLENGERMATCH-26JUN04ARDLEG
# final_score=6-1 6-0
# score_resolution=1-6 0-6
# match_winner=Timo Legout
# fav_player=Landon Ardila
# dog_player=Timo Legout
# kalshi_date=2026-06-04
timestamp,Landon Ardila,Timo Legout
2026-06-04T09:36:00Z,,67.00
2026-06-04T10:32:00Z,,67.00
2026-06-04T10:34:00Z,,65.00
2026-06-04T10:48:00Z,36.00,65.00
2026-06-04T11:20:00Z,39.00,65.00
2026-06-04T11:31:00Z,39.00,65.00
2026-06-04T11:36:00Z,39.00,62.00
2026-06-04T11:39:00Z,37.00,62.00
2026-06-04T11:48:00Z,37.00,61.00
2026-06-04T11:56:00Z,39.00,61.00
2026-06-04T12:12:00Z,36.00,64.00
2026-06-04T12:18:00Z,36.00,64.00
2026-06-04T12:34:00Z,36.00,64.00
2026-06-04T12:41:00Z,38.00,61.00
2026-06-04T12:48:00Z,38.00,63.00
2026-06-04T13:06:00Z,38.00,63.00
2026-06-04T13:14:00Z,37.00,63.00
2026-06-04T13:19:00Z,37.00,62.00
2026-06-04T13:37:00Z,38.00,62.00
2026-06-04T13:40:00Z,38.00,63.00
2026-06-04T13:44:00Z,38.00,63.00
2026-06-04T13:54:00Z,36.00,63.00
2026-06-04T13:55:00Z,36.00,62.00
2026-06-04T13:59:00Z,37.00,62.00
2026-06-04T14:12:00Z,37.00,62.00
2026-06-04T14:46:00Z,37.00,63.00
2026-06-04T15:01:00Z,37.00,64.00
2026-06-04T15:05:00Z,38.00,64.00
2026-06-04T15:29:00Z,38.00,63.00
2026-06-04T15:51:00Z,38.00,63.00
2026-06-04T16:07:00Z,37.00,63.00
2026-06-04T16:32:00Z,36.00,63.00
2026-06-04T16:33:00Z,36.00,62.00
2026-06-04T16:56:00Z,36.00,63.00
2026-06-04T17:03:00Z,37.00,63.00
2026-06-04T17:12:00Z,37.00,63.00
2026-06-04T17:39:00Z,37.00,63.00
2026-06-04T17:43:00Z,37.00,63.00
2026-06-04T17:44:00Z,37.00,63.00
2026-06-04T17:52:00Z,37.00,65.00
2026-06-04T17:56:00Z,37.00,65.00
2026-06-04T18:00:00Z,35.00,65.00
