# event_ticker=KXATPMATCH-25JUL27SMITIE
# final_score=6-4 7-5
# score_resolution=4-6 5-7
# match_winner=Learner Tien
# fav_player=Colton Smith
# dog_player=Learner Tien
# kalshi_date=2025-07-27
timestamp,Colton Smith,Learner Tien
2025-07-27T17:49:00Z,,66.00
2025-07-27T17:56:00Z,,65.00
2025-07-27T17:59:00Z,,65.00
2025-07-27T18:00:00Z,,66.00
2025-07-27T18:47:00Z,50.00,66.00
2025-07-27T19:00:00Z,50.00,93.00
2025-07-27T19:06:00Z,47.00,61.00
2025-07-27T19:14:00Z,29.00,61.00
2025-07-27T19:19:00Z,29.00,88.00
2025-07-27T19:26:00Z,29.00,88.00
2025-07-27T19:27:00Z,17.00,87.00
2025-07-27T19:29:00Z,17.00,88.65
2025-07-27T19:30:00Z,17.00,92.00
2025-07-27T19:32:00Z,13.43,92.00
2025-07-27T19:33:00Z,18.00,92.00
2025-07-27T19:36:00Z,18.00,92.00
2025-07-27T19:37:00Z,17.00,91.00
2025-07-27T19:38:00Z,18.00,91.00
2025-07-27T19:40:00Z,18.00,91.00
2025-07-27T19:41:00Z,18.00,91.00
2025-07-27T19:42:00Z,18.00,93.00
2025-07-27T19:45:00Z,18.00,83.73
2025-07-27T19:46:00Z,18.00,84.00
2025-07-27T19:48:00Z,18.00,94.00
2025-07-27T19:50:00Z,13.00,94.00
2025-07-27T19:52:00Z,13.00,94.00
2025-07-27T19:59:00Z,22.00,94.00
2025-07-27T20:00:00Z,22.00,95.29
2025-07-27T20:01:00Z,22.00,90.21
2025-07-27T20:02:00Z,30.60,89.94
2025-07-27T20:03:00Z,30.60,91.00
2025-07-27T20:04:00Z,30.60,92.92
2025-07-27T20:06:00Z,6.00,94.51
2025-07-27T20:07:00Z,6.00,94.51
2025-07-27T20:08:00Z,6.00,94.90
2025-07-27T20:10:00Z,14.03,94.90
2025-07-27T20:13:00Z,14.03,94.00
2025-07-27T20:14:00Z,3.70,94.00
2025-07-27T20:15:00Z,3.70,95.00
2025-07-27T20:16:00Z,3.70,96.00
2025-07-27T20:17:00Z,1.00,99.00
