# event_ticker=KXATPCHALLENGERMATCH-26MAR19TRASQU
# final_score=6-3 6-2
# match_winner=Stefano Travaglia
# fav_player=Stefano Travaglia
# dog_player=Henri Squire
# kalshi_date=2026-03-19
timestamp,Stefano Travaglia,Henri Squire
2026-03-19T00:27:00Z,58.00,
2026-03-19T01:11:00Z,58.00,43.00
2026-03-19T03:05:00Z,59.00,43.00
2026-03-19T03:08:00Z,59.00,43.00
2026-03-19T03:12:00Z,59.00,43.00
2026-03-19T03:42:00Z,59.00,43.00
2026-03-19T03:51:00Z,60.00,43.00
2026-03-19T04:00:00Z,59.00,43.00
2026-03-19T04:05:00Z,59.00,43.00
2026-03-19T04:07:00Z,60.00,43.00
2026-03-19T04:14:00Z,60.00,43.00
2026-03-19T04:21:00Z,60.00,42.00
2026-03-19T04:24:00Z,60.00,42.00
2026-03-19T04:25:00Z,60.00,42.00
2026-03-19T04:27:00Z,60.00,42.00
2026-03-19T04:29:00Z,60.00,42.00
2026-03-19T04:33:00Z,60.00,42.00
2026-03-19T04:34:00Z,60.00,42.00
2026-03-19T04:35:00Z,60.00,43.08
2026-03-19T04:39:00Z,60.00,43.00
2026-03-19T04:40:00Z,58.00,43.00
2026-03-19T04:41:00Z,58.00,43.00
2026-03-19T04:45:00Z,58.00,43.00
2026-03-19T04:53:00Z,58.00,43.00
2026-03-19T04:54:00Z,58.00,43.00
2026-03-19T04:56:00Z,58.00,42.00
2026-03-19T05:00:00Z,59.00,42.00
2026-03-19T05:04:00Z,59.00,42.00
2026-03-19T05:05:00Z,59.00,42.00
2026-03-19T05:11:00Z,59.00,42.00
2026-03-19T05:12:00Z,59.00,42.00
2026-03-19T05:13:00Z,59.00,42.00
2026-03-19T05:14:00Z,59.10,42.00
2026-03-19T05:20:00Z,59.00,42.00
2026-03-19T05:22:00Z,59.65,42.00
2026-03-19T05:24:00Z,60.00,42.00
2026-03-19T05:25:00Z,60.00,42.00
2026-03-19T05:26:00Z,60.00,42.00
2026-03-19T05:27:00Z,60.00,43.00
2026-03-19T05:29:00Z,60.00,43.00
2026-03-19T05:30:00Z,60.00,43.00
2026-03-19T05:32:00Z,60.00,43.00
2026-03-19T05:34:00Z,60.00,43.00
2026-03-19T05:37:00Z,60.00,40.00
2026-03-19T05:39:00Z,60.00,43.00
2026-03-19T05:42:00Z,60.00,43.00
2026-03-19T05:47:00Z,60.00,42.14
2026-03-19T05:48:00Z,60.00,43.00
2026-03-19T05:57:00Z,60.00,43.00
2026-03-19T05:59:00Z,60.00,43.00
2026-03-19T06:03:00Z,60.00,43.00
2026-03-19T06:04:00Z,60.00,43.00
2026-03-19T06:06:00Z,60.00,43.00
2026-03-19T06:08:00Z,60.00,42.00
2026-03-19T06:13:00Z,59.00,42.00
2026-03-19T06:15:00Z,59.00,42.00
2026-03-19T06:19:00Z,60.00,42.00
2026-03-19T06:23:00Z,59.00,42.00
2026-03-19T06:30:00Z,59.00,42.00
2026-03-19T06:31:00Z,59.00,42.00
2026-03-19T06:34:00Z,60.00,42.00
2026-03-19T06:35:00Z,60.00,42.00
2026-03-19T06:36:00Z,60.17,42.00
2026-03-19T06:39:00Z,60.00,42.00
2026-03-19T06:43:00Z,60.00,42.00
2026-03-19T06:49:00Z,60.00,42.00
