# event_ticker=KXATPMATCH-25OCT04SHAOCO
# final_score=6-3 6-2
# score_resolution=3-6 2-6
# match_winner=Denis Shapovalov
# fav_player=Christopher O'Connell
# dog_player=Denis Shapovalov
# kalshi_date=2025-10-04
timestamp,Christopher O'Connell,Denis Shapovalov
2025-10-03T20:04:00Z,35.00,
2025-10-03T20:08:00Z,35.00,68.00
2025-10-03T20:11:00Z,34.00,68.00
2025-10-03T20:22:00Z,34.00,66.00
2025-10-03T20:24:00Z,33.00,66.00
2025-10-03T21:31:00Z,33.00,68.50
2025-10-03T22:43:00Z,32.00,68.50
2025-10-03T23:26:00Z,32.00,68.00
2025-10-03T23:36:00Z,33.00,68.00
2025-10-04T00:13:00Z,33.00,70.00
2025-10-04T00:38:00Z,33.00,71.00
2025-10-04T00:51:00Z,31.00,71.00
2025-10-04T01:08:00Z,31.00,71.00
2025-10-04T02:39:00Z,31.00,71.00
2025-10-04T02:41:00Z,31.00,71.00
2025-10-04T03:01:00Z,31.00,71.00
2025-10-04T03:09:00Z,31.00,71.00
2025-10-04T03:12:00Z,30.00,71.00
2025-10-04T03:20:00Z,30.00,71.00
2025-10-04T04:08:00Z,30.00,71.00
2025-10-04T04:18:00Z,30.00,71.00
2025-10-04T04:19:00Z,30.89,71.00
2025-10-04T04:22:00Z,30.89,70.00
2025-10-04T04:37:00Z,30.89,70.00
2025-10-04T04:42:00Z,30.89,70.00
2025-10-04T04:44:00Z,32.00,70.00
2025-10-04T04:52:00Z,32.00,70.00
2025-10-04T04:56:00Z,32.00,70.00
2025-10-04T05:03:00Z,32.00,70.00
2025-10-04T05:04:00Z,32.00,70.00
2025-10-04T05:09:00Z,32.00,70.00
2025-10-04T05:12:00Z,32.00,70.00
2025-10-04T05:22:00Z,32.00,70.00
2025-10-04T05:23:00Z,32.00,70.00
2025-10-04T05:26:00Z,32.00,70.00
2025-10-04T05:27:00Z,32.00,70.00
2025-10-04T05:28:00Z,30.21,70.00
2025-10-04T05:29:00Z,32.00,70.00
2025-10-04T05:33:00Z,32.00,70.00
2025-10-04T05:35:00Z,32.00,70.00
2025-10-04T05:37:00Z,32.00,70.00
2025-10-04T05:38:00Z,32.00,70.00
2025-10-04T05:40:00Z,32.00,70.00
2025-10-04T05:48:00Z,33.00,70.00
2025-10-04T05:49:00Z,33.00,70.00
2025-10-04T05:50:00Z,33.00,70.00
2025-10-04T05:55:00Z,33.00,70.00
2025-10-04T05:58:00Z,31.00,70.00
2025-10-04T06:02:00Z,31.00,70.00
2025-10-04T06:05:00Z,33.00,70.00
2025-10-04T06:11:00Z,33.00,70.00
2025-10-04T06:14:00Z,33.00,70.00
2025-10-04T06:16:00Z,33.00,70.00
2025-10-04T06:17:00Z,33.00,70.00
2025-10-04T06:19:00Z,33.00,70.00
2025-10-04T06:21:00Z,34.00,70.15
2025-10-04T06:22:00Z,33.38,70.00
2025-10-04T06:23:00Z,33.38,70.00
2025-10-04T06:24:00Z,33.38,71.00
2025-10-04T06:26:00Z,31.04,69.00
2025-10-04T06:28:00Z,36.00,67.00
2025-10-04T06:29:00Z,37.00,64.00
2025-10-04T06:30:00Z,34.00,64.00
2025-10-04T06:31:00Z,40.42,66.26
2025-10-04T06:32:00Z,36.18,67.38
2025-10-04T06:33:00Z,30.85,75.44
2025-10-04T06:34:00Z,30.85,70.28
2025-10-04T06:35:00Z,30.31,70.00
2025-10-04T06:36:00Z,28.49,76.30
2025-10-04T06:37:00Z,25.00,81.47
2025-10-04T06:38:00Z,16.00,85.44
2025-10-04T06:39:00Z,15.01,86.00
2025-10-04T06:40:00Z,15.00,85.91
2025-10-04T06:41:00Z,15.10,86.42
2025-10-04T06:42:00Z,15.49,85.48
2025-10-04T06:43:00Z,17.41,84.00
2025-10-04T06:44:00Z,17.41,85.87
2025-10-04T06:45:00Z,13.00,87.35
2025-10-04T06:46:00Z,19.00,86.00
2025-10-04T06:47:00Z,20.70,83.00
2025-10-04T06:48:00Z,15.00,83.54
2025-10-04T06:49:00Z,26.35,86.00
2025-10-04T06:50:00Z,31.00,86.00
2025-10-04T06:51:00Z,30.45,66.83
2025-10-04T06:52:00Z,30.45,76.92
2025-10-04T06:53:00Z,30.45,83.85
2025-10-04T06:54:00Z,21.71,77.00
2025-10-04T06:55:00Z,21.71,86.00
2025-10-04T06:56:00Z,21.71,84.57
2025-10-04T06:57:00Z,21.71,84.01
2025-10-04T06:58:00Z,24.00,80.26
2025-10-04T06:59:00Z,20.27,76.09
2025-10-04T07:00:00Z,20.27,75.67
2025-10-04T07:01:00Z,20.27,85.95
2025-10-04T07:02:00Z,15.00,83.00
2025-10-04T07:03:00Z,15.00,86.01
2025-10-04T07:04:00Z,12.67,85.13
2025-10-04T07:05:00Z,12.67,91.23
2025-10-04T07:06:00Z,11.16,92.00
2025-10-04T07:07:00Z,14.24,86.11
2025-10-04T07:08:00Z,14.24,86.00
2025-10-04T07:09:00Z,14.24,88.00
2025-10-04T07:10:00Z,14.24,88.33
2025-10-04T07:11:00Z,11.57,89.23
2025-10-04T07:12:00Z,8.24,93.60
2025-10-04T07:13:00Z,9.85,94.74
2025-10-04T07:14:00Z,4.57,95.08
2025-10-04T07:15:00Z,4.15,95.48
2025-10-04T07:16:00Z,4.00,96.00
2025-10-04T07:17:00Z,4.00,95.00
2025-10-04T07:18:00Z,3.02,97.00
2025-10-04T07:19:00Z,3.44,98.00
2025-10-04T07:20:00Z,4.00,96.00
2025-10-04T07:21:00Z,3.80,98.00
2025-10-04T07:22:00Z,4.00,98.00
2025-10-04T07:23:00Z,4.00,96.00
2025-10-04T07:24:00Z,4.00,97.93
