# event_ticker=KXATPCHALLENGERMATCH-26MAR24JUSFER
# final_score=7-6(5) 6-4
# score_resolution=6-7 4-6
# match_winner=Guido Ivan Justo
# fav_player=Bruno Fernandez
# dog_player=Guido Ivan Justo
# kalshi_date=2026-03-24
timestamp,Bruno Fernandez,Guido Ivan Justo
2026-03-24T07:43:00Z,,71.00
2026-03-24T07:55:00Z,31.00,71.00
2026-03-24T08:01:00Z,31.00,71.00
2026-03-24T08:22:00Z,31.00,71.00
2026-03-24T10:04:00Z,31.00,71.00
2026-03-24T10:11:00Z,27.00,71.00
2026-03-24T10:12:00Z,27.00,74.48
2026-03-24T10:32:00Z,27.00,77.00
2026-03-24T10:46:00Z,27.00,78.00
2026-03-24T11:02:00Z,24.00,78.00
2026-03-24T11:11:00Z,23.00,78.00
2026-03-24T12:17:00Z,24.00,78.00
2026-03-24T12:37:00Z,24.00,78.00
2026-03-24T13:22:00Z,23.00,79.00
2026-03-24T14:01:00Z,24.00,79.00
2026-03-24T14:26:00Z,23.00,79.00
2026-03-24T14:27:00Z,21.00,79.00
2026-03-24T14:36:00Z,21.00,79.00
2026-03-24T14:44:00Z,22.00,79.00
2026-03-24T14:51:00Z,22.00,79.00
2026-03-24T15:01:00Z,22.00,79.00
2026-03-24T15:12:00Z,22.00,79.00
2026-03-24T15:20:00Z,22.00,79.00
2026-03-24T15:30:00Z,22.00,79.00
2026-03-24T15:48:00Z,22.00,78.00
2026-03-24T15:52:00Z,22.00,78.00
2026-03-24T15:54:00Z,22.00,79.00
2026-03-24T15:59:00Z,22.00,79.00
2026-03-24T16:01:00Z,22.00,79.00
2026-03-24T16:02:00Z,22.00,79.00
2026-03-24T16:19:00Z,21.00,79.00
2026-03-24T16:23:00Z,21.00,80.00
2026-03-24T16:26:00Z,21.00,79.00
2026-03-24T16:39:00Z,21.00,79.00
2026-03-24T16:47:00Z,21.00,80.00
2026-03-24T16:48:00Z,21.04,80.00
2026-03-24T16:49:00Z,22.88,80.00
2026-03-24T16:57:00Z,22.99,80.00
2026-03-24T16:58:00Z,23.65,79.00
2026-03-24T16:59:00Z,23.72,80.00
2026-03-24T17:00:00Z,23.72,80.00
2026-03-24T17:02:00Z,23.37,80.00
2026-03-24T17:03:00Z,23.37,79.00
2026-03-24T17:05:00Z,22.68,77.02
2026-03-24T17:06:00Z,25.00,77.02
2026-03-24T17:07:00Z,21.43,83.00
2026-03-24T17:08:00Z,13.13,83.00
2026-03-24T17:09:00Z,12.10,87.33
2026-03-24T17:10:00Z,15.89,87.33
2026-03-24T17:11:00Z,15.00,83.55
2026-03-24T17:12:00Z,19.69,82.31
2026-03-24T17:13:00Z,21.00,80.00
2026-03-24T17:15:00Z,22.39,78.98
2026-03-24T17:17:00Z,16.03,85.00
2026-03-24T17:18:00Z,12.95,85.00
2026-03-24T17:19:00Z,12.95,89.00
2026-03-24T17:20:00Z,12.04,88.49
2026-03-24T17:21:00Z,12.31,88.02
2026-03-24T17:22:00Z,11.00,90.00
2026-03-24T17:23:00Z,9.14,91.00
2026-03-24T17:24:00Z,8.18,91.12
2026-03-24T17:25:00Z,12.19,89.16
2026-03-24T17:26:00Z,14.64,83.91
2026-03-24T17:27:00Z,17.43,81.36
2026-03-24T17:28:00Z,20.20,80.98
2026-03-24T17:29:00Z,18.74,85.70
2026-03-24T17:30:00Z,14.00,80.25
2026-03-24T17:31:00Z,17.47,80.64
2026-03-24T17:32:00Z,21.92,80.00
2026-03-24T17:33:00Z,22.00,80.00
2026-03-24T17:34:00Z,22.33,78.14
2026-03-24T17:35:00Z,21.78,78.14
2026-03-24T17:36:00Z,12.05,88.00
2026-03-24T17:37:00Z,12.00,91.00
2026-03-24T17:38:00Z,15.31,84.81
2026-03-24T17:39:00Z,17.66,81.22
2026-03-24T17:40:00Z,22.00,80.00
2026-03-24T17:41:00Z,21.41,76.74
2026-03-24T17:42:00Z,25.76,73.07
2026-03-24T17:43:00Z,30.40,72.00
2026-03-24T17:44:00Z,27.67,72.88
2026-03-24T17:45:00Z,28.57,73.24
2026-03-24T17:46:00Z,29.83,69.99
2026-03-24T17:47:00Z,32.56,69.99
2026-03-24T17:48:00Z,23.00,77.00
2026-03-24T17:49:00Z,22.38,77.30
2026-03-24T17:50:00Z,26.71,71.29
2026-03-24T17:51:00Z,29.44,73.00
2026-03-24T17:52:00Z,31.00,70.62
2026-03-24T17:53:00Z,41.64,62.83
2026-03-24T17:54:00Z,37.16,64.50
2026-03-24T17:55:00Z,31.31,70.28
2026-03-24T17:56:00Z,31.65,72.90
2026-03-24T17:57:00Z,39.99,62.00
2026-03-24T17:58:00Z,53.98,50.76
2026-03-24T17:59:00Z,42.48,60.50
2026-03-24T18:00:00Z,28.25,73.07
2026-03-24T18:01:00Z,15.07,86.32
2026-03-24T18:02:00Z,11.86,87.00
2026-03-24T18:03:00Z,12.82,87.00
