# event_ticker=KXATPMATCH-25JUL16ZAHBUR
# final_score=4-6 6-4 6-1
# score_resolution=6-4 4-6 1-6
# match_winner=Roman Andres Burruchaga
# fav_player=Patrick Zahraj
# dog_player=Roman Andres Burruchaga
# kalshi_date=2025-07-16
timestamp,Patrick Zahraj,Roman Andres Burruchaga
2025-07-15T23:52:00Z,24.00,
2025-07-16T01:01:00Z,24.00,82.17
2025-07-16T01:55:00Z,24.00,80.00
2025-07-16T03:12:00Z,24.00,80.00
2025-07-16T04:38:00Z,22.00,80.00
2025-07-16T04:49:00Z,24.00,80.00
2025-07-16T05:05:00Z,24.00,80.00
2025-07-16T05:47:00Z,24.00,80.00
2025-07-16T05:57:00Z,23.00,80.00
2025-07-16T06:07:00Z,23.00,80.00
2025-07-16T06:34:00Z,23.00,81.00
2025-07-16T12:03:00Z,39.70,81.00
2025-07-16T12:04:00Z,49.00,81.00
2025-07-16T12:05:00Z,49.00,72.30
2025-07-16T12:06:00Z,28.42,72.30
2025-07-16T12:07:00Z,34.74,72.30
2025-07-16T12:09:00Z,29.00,72.30
2025-07-16T12:10:00Z,29.00,73.00
2025-07-16T12:11:00Z,29.00,73.00
2025-07-16T12:12:00Z,27.00,73.00
2025-07-16T12:13:00Z,37.00,73.00
2025-07-16T12:14:00Z,34.00,73.00
2025-07-16T12:15:00Z,7.00,73.00
2025-07-16T12:22:00Z,7.00,83.00
2025-07-16T12:25:00Z,33.30,83.00
2025-07-16T12:26:00Z,32.00,83.00
2025-07-16T12:28:00Z,32.00,75.00
2025-07-16T12:29:00Z,37.20,63.00
2025-07-16T12:31:00Z,37.20,56.00
2025-07-16T12:33:00Z,33.00,70.00
2025-07-16T12:36:00Z,33.00,77.00
2025-07-16T12:37:00Z,29.00,77.00
2025-07-16T12:38:00Z,29.00,78.00
2025-07-16T12:40:00Z,18.27,84.00
2025-07-16T12:41:00Z,16.00,85.00
2025-07-16T12:42:00Z,24.72,85.00
2025-07-16T12:43:00Z,24.54,81.00
2025-07-16T12:44:00Z,22.00,81.00
2025-07-16T12:45:00Z,25.00,81.00
2025-07-16T12:46:00Z,25.72,76.00
2025-07-16T12:48:00Z,29.00,76.00
2025-07-16T12:49:00Z,29.00,84.00
2025-07-16T12:50:00Z,18.32,84.00
2025-07-16T12:51:00Z,15.96,84.87
2025-07-16T12:52:00Z,10.17,84.87
2025-07-16T12:53:00Z,10.17,88.25
2025-07-16T12:54:00Z,20.44,88.25
2025-07-16T12:55:00Z,20.44,92.58
2025-07-16T12:56:00Z,7.79,93.53
2025-07-16T12:57:00Z,7.00,94.00
2025-07-16T12:58:00Z,3.74,95.00
2025-07-16T12:59:00Z,3.00,95.00
2025-07-16T13:00:00Z,2.94,97.94
2025-07-16T13:01:00Z,2.00,97.94
2025-07-16T13:02:00Z,1.00,97.94
2025-07-16T13:05:00Z,1.00,99.00
2025-07-16T13:09:00Z,1.00,99.00
