# event_ticker=KXATPMATCH-25OCT14HIJSKA
# final_score=7-6(3) 2-6 6-3
# score_resolution=7-6 2-6 6-3
# match_winner=Rinky Hijikata
# fav_player=Rinky Hijikata
# dog_player=Timofey Skatov
# kalshi_date=2025-10-14
timestamp,Rinky Hijikata,Timofey Skatov
2025-10-14T10:15:00Z,71.71,29.18
2025-10-14T10:16:00Z,68.12,32.26
2025-10-14T10:17:00Z,81.00,22.00
2025-10-14T10:18:00Z,81.00,19.52
2025-10-14T10:19:00Z,83.64,15.93
2025-10-14T10:20:00Z,89.00,12.75
2025-10-14T10:21:00Z,90.88,13.98
2025-10-14T10:22:00Z,85.80,13.00
2025-10-14T10:23:00Z,89.93,17.00
2025-10-14T10:24:00Z,90.26,17.00
2025-10-14T10:25:00Z,87.25,14.00
2025-10-14T10:26:00Z,86.10,13.00
2025-10-14T10:27:00Z,94.15,11.00
2025-10-14T10:28:00Z,86.17,14.72
2025-10-14T10:29:00Z,76.03,27.70
2025-10-14T10:30:00Z,61.53,27.70
2025-10-14T10:31:00Z,61.53,36.41
2025-10-14T10:32:00Z,65.50,41.00
2025-10-14T10:33:00Z,66.99,41.00
2025-10-14T10:34:00Z,67.00,36.72
2025-10-14T10:35:00Z,62.00,43.00
2025-10-14T10:36:00Z,52.07,48.00
2025-10-14T10:37:00Z,60.00,49.00
2025-10-14T10:38:00Z,64.04,43.00
2025-10-14T10:39:00Z,64.04,63.97
2025-10-14T10:40:00Z,65.20,35.05
2025-10-14T10:41:00Z,74.32,35.05
2025-10-14T10:42:00Z,77.78,35.05
2025-10-14T10:43:00Z,94.00,16.00
2025-10-14T10:44:00Z,96.48,5.00
2025-10-14T10:45:00Z,98.00,1.97
2025-10-14T10:46:00Z,98.00,1.00
2025-10-14T10:47:00Z,85.25,1.00
2025-10-14T10:49:00Z,85.25,1.00
