# event_ticker=KXATPMATCH-25OCT15BONROY
# final_score=7-6(3) 4-6 6-1
# score_resolution=7-6 4-6 6-1
# match_winner=Benjamin Bonzi
# fav_player=Benjamin Bonzi
# dog_player=Valentin Royer
# kalshi_date=2025-10-15
timestamp,Benjamin Bonzi,Valentin Royer
2025-10-15T02:02:00Z,,48.00
2025-10-15T02:32:00Z,,46.99
2025-10-15T03:04:00Z,54.00,46.99
2025-10-15T03:12:00Z,54.00,46.99
2025-10-15T03:43:00Z,54.00,47.00
2025-10-15T03:45:00Z,54.00,47.00
2025-10-15T03:58:00Z,54.00,47.00
2025-10-15T04:03:00Z,54.00,47.00
2025-10-15T04:06:00Z,54.00,47.00
2025-10-15T04:12:00Z,54.00,47.00
2025-10-15T04:47:00Z,54.00,47.00
2025-10-15T04:50:00Z,54.00,47.00
2025-10-15T05:04:00Z,54.00,47.00
2025-10-15T05:12:00Z,54.00,47.00
2025-10-15T05:19:00Z,55.00,47.00
2025-10-15T05:30:00Z,55.00,46.00
2025-10-15T05:31:00Z,55.00,46.00
2025-10-15T05:37:00Z,54.00,46.00
2025-10-15T05:48:00Z,54.00,45.00
2025-10-15T05:51:00Z,56.00,45.00
2025-10-15T05:52:00Z,56.00,47.00
2025-10-15T05:53:00Z,52.94,47.00
2025-10-15T05:58:00Z,51.21,47.07
2025-10-15T06:07:00Z,52.00,47.07
2025-10-15T06:12:00Z,50.00,50.00
2025-10-15T06:13:00Z,50.00,50.00
2025-10-15T06:15:00Z,51.00,50.00
2025-10-15T06:18:00Z,51.00,50.00
2025-10-15T06:39:00Z,52.00,50.00
2025-10-15T06:40:00Z,52.00,50.00
2025-10-15T07:07:00Z,52.00,49.00
2025-10-15T07:10:00Z,52.00,49.00
2025-10-15T07:12:00Z,51.00,49.00
2025-10-15T07:13:00Z,51.00,50.00
2025-10-15T07:16:00Z,52.00,50.00
2025-10-15T07:19:00Z,53.00,50.00
2025-10-15T07:20:00Z,53.00,50.00
2025-10-15T07:48:00Z,53.00,50.00
2025-10-15T07:54:00Z,53.00,50.00
2025-10-15T08:12:00Z,52.00,50.00
2025-10-15T08:17:00Z,51.28,49.00
2025-10-15T08:20:00Z,51.00,49.00
2025-10-15T08:43:00Z,51.00,49.00
2025-10-15T08:49:00Z,51.00,49.00
2025-10-15T09:07:00Z,52.00,49.00
2025-10-15T09:12:00Z,51.00,49.00
2025-10-15T09:40:00Z,52.00,49.00
2025-10-15T09:41:00Z,52.00,49.00
2025-10-15T09:44:00Z,52.00,49.00
2025-10-15T09:52:00Z,52.00,49.00
2025-10-15T09:54:00Z,51.20,49.00
2025-10-15T09:59:00Z,53.00,49.00
2025-10-15T10:04:00Z,53.00,48.00
2025-10-15T10:14:00Z,53.00,48.00
