# event_ticker=KXATPCHALLENGERMATCH-26APR10TRABEL
# final_score=7-6(5) 7-6(5)
# score_resolution=6-7 6-7
# match_winner=Mattia Bellucci
# fav_player=Stefano Travaglia
# dog_player=Mattia Bellucci
# kalshi_date=2026-04-10
timestamp,Stefano Travaglia,Mattia Bellucci
2026-04-10T01:16:00Z,,62.00
2026-04-10T01:32:00Z,40.00,62.00
2026-04-10T02:01:00Z,40.00,62.00
2026-04-10T02:53:00Z,40.00,62.00
2026-04-10T03:00:00Z,40.00,62.00
2026-04-10T03:04:00Z,39.00,62.00
2026-04-10T03:16:00Z,39.00,62.00
2026-04-10T04:09:00Z,39.00,62.00
2026-04-10T04:21:00Z,39.00,62.00
2026-04-10T04:35:00Z,39.00,62.00
2026-04-10T04:48:00Z,39.00,62.00
2026-04-10T05:02:00Z,41.00,62.00
2026-04-10T05:12:00Z,41.00,61.00
2026-04-10T05:24:00Z,40.00,61.00
2026-04-10T05:25:00Z,40.00,61.00
2026-04-10T05:42:00Z,40.00,61.00
2026-04-10T05:56:00Z,40.00,61.00
2026-04-10T06:05:00Z,40.00,61.00
2026-04-10T06:30:00Z,40.00,61.00
2026-04-10T06:50:00Z,40.00,61.00
2026-04-10T06:54:00Z,41.00,61.00
2026-04-10T06:55:00Z,41.00,61.00
2026-04-10T07:35:00Z,41.00,61.00
2026-04-10T07:46:00Z,41.00,61.00
2026-04-10T07:47:00Z,41.00,61.00
2026-04-10T08:21:00Z,41.00,61.00
2026-04-10T08:33:00Z,41.00,61.00
2026-04-10T08:35:00Z,41.00,61.00
2026-04-10T08:47:00Z,41.00,61.00
2026-04-10T10:00:00Z,41.00,61.00
2026-04-10T10:04:00Z,41.00,61.00
2026-04-10T10:06:00Z,41.00,61.00
2026-04-10T10:07:00Z,41.00,61.00
2026-04-10T10:09:00Z,41.00,61.00
2026-04-10T10:10:00Z,41.00,61.00
2026-04-10T10:12:00Z,41.00,61.00
2026-04-10T10:20:00Z,41.00,61.00
2026-04-10T10:27:00Z,41.00,61.00
2026-04-10T10:29:00Z,41.00,61.00
2026-04-10T10:36:00Z,41.00,61.00
2026-04-10T10:37:00Z,41.00,61.00
2026-04-10T10:47:00Z,41.00,61.00
2026-04-10T10:51:00Z,40.00,61.00
2026-04-10T11:00:00Z,40.00,61.00
