# event_ticker=KXATPCHALLENGERMATCH-26APR23HAMSTE
# final_score=6-0 6-4
# match_winner=Hamish Stewart
# fav_player=Hamish Stewart
# dog_player=Samir Hamza Reguig
# kalshi_date=2026-04-23
timestamp,Samir Hamza Reguig,Hamish Stewart
2026-04-23T06:43:00Z,17.79,
2026-04-23T09:01:00Z,16.00,
2026-04-23T10:25:00Z,12.00,
2026-04-23T10:28:00Z,14.00,
2026-04-23T11:02:00Z,14.00,
2026-04-23T11:29:00Z,14.00,
2026-04-23T12:51:00Z,14.00,88.00
2026-04-23T12:55:00Z,14.00,88.00
2026-04-23T13:17:00Z,14.00,89.00
2026-04-23T14:44:00Z,13.00,89.00
2026-04-23T15:23:00Z,13.00,89.00
2026-04-23T15:30:00Z,13.00,89.00
2026-04-23T15:31:00Z,13.00,89.00
2026-04-23T16:12:00Z,13.00,89.00
2026-04-23T16:50:00Z,13.00,88.00
2026-04-23T16:56:00Z,13.00,88.00
2026-04-23T17:11:00Z,13.00,87.00
2026-04-23T17:32:00Z,13.00,88.00
2026-04-23T17:38:00Z,13.00,89.00
2026-04-23T17:56:00Z,13.00,89.00
2026-04-23T18:02:00Z,13.00,89.00
2026-04-23T18:07:00Z,13.97,89.00
2026-04-23T18:12:00Z,13.00,89.00
2026-04-23T18:16:00Z,12.03,89.02
2026-04-23T18:17:00Z,12.00,90.00
2026-04-23T18:18:00Z,12.00,90.00
2026-04-23T18:19:00Z,12.00,90.00
2026-04-23T18:20:00Z,12.00,90.00
2026-04-23T18:21:00Z,12.00,90.00
2026-04-23T18:22:00Z,12.12,90.02
2026-04-23T18:23:00Z,8.99,91.00
2026-04-23T18:24:00Z,8.97,93.00
2026-04-23T18:25:00Z,5.28,94.93
2026-04-23T18:26:00Z,5.02,96.00
2026-04-23T18:27:00Z,6.21,95.00
2026-04-23T18:28:00Z,5.00,95.00
2026-04-23T18:29:00Z,5.00,96.00
2026-04-23T18:30:00Z,3.87,96.00
2026-04-23T18:31:00Z,4.00,96.00
2026-04-23T18:33:00Z,4.00,97.00
2026-04-23T18:34:00Z,4.00,97.00
2026-04-23T18:35:00Z,4.00,97.00
2026-04-23T18:36:00Z,4.00,97.00
2026-04-23T18:37:00Z,4.00,97.00
2026-04-23T18:38:00Z,3.00,97.29
2026-04-23T18:39:00Z,2.19,97.29
2026-04-23T18:41:00Z,2.73,98.00
2026-04-23T18:42:00Z,2.73,98.00
2026-04-23T18:43:00Z,2.98,98.00
2026-04-23T18:44:00Z,2.19,98.00
2026-04-23T18:45:00Z,1.97,98.00
2026-04-23T18:46:00Z,1.00,99.00
2026-04-23T18:47:00Z,2.00,99.00
2026-04-23T18:48:00Z,1.03,99.00
2026-04-23T18:49:00Z,1.00,99.00
2026-04-23T18:50:00Z,1.00,99.00
2026-04-23T18:51:00Z,1.00,99.00
2026-04-23T18:52:00Z,1.00,99.00
2026-04-23T18:53:00Z,1.00,99.00
2026-04-23T18:54:00Z,1.10,99.00
2026-04-23T18:55:00Z,1.00,99.00
2026-04-23T18:56:00Z,1.00,99.00
2026-04-23T18:57:00Z,1.04,98.09
2026-04-23T18:58:00Z,1.90,98.00
2026-04-23T18:59:00Z,2.93,97.26
2026-04-23T19:00:00Z,4.38,96.07
2026-04-23T19:01:00Z,6.59,94.27
2026-04-23T19:02:00Z,7.02,93.37
2026-04-23T19:03:00Z,7.60,92.42
2026-04-23T19:04:00Z,9.00,90.54
2026-04-23T19:05:00Z,6.24,93.39
2026-04-23T19:06:00Z,7.49,93.00
2026-04-23T19:07:00Z,5.33,94.54
2026-04-23T19:08:00Z,9.54,94.76
2026-04-23T19:09:00Z,6.91,93.43
2026-04-23T19:10:00Z,4.12,96.94
2026-04-23T19:11:00Z,3.21,97.39
2026-04-23T19:12:00Z,2.50,98.00
2026-04-23T19:13:00Z,2.98,97.55
2026-04-23T19:14:00Z,2.49,98.00
2026-04-23T19:15:00Z,2.89,98.51
2026-04-23T19:16:00Z,3.63,97.20
2026-04-23T19:17:00Z,4.68,96.02
2026-04-23T19:18:00Z,5.39,95.32
2026-04-23T19:19:00Z,6.38,94.89
2026-04-23T19:20:00Z,10.63,89.55
2026-04-23T19:21:00Z,7.72,94.01
2026-04-23T19:22:00Z,3.98,95.63
2026-04-23T19:23:00Z,4.36,96.00
2026-04-23T19:24:00Z,4.62,96.44
2026-04-23T19:25:00Z,3.37,96.88
2026-04-23T19:26:00Z,2.54,96.02
2026-04-23T19:27:00Z,3.59,96.13
2026-04-23T19:28:00Z,3.94,96.58
2026-04-23T19:29:00Z,1.99,98.19
2026-04-23T19:30:00Z,1.00,99.00
2026-04-23T19:31:00Z,1.00,99.00
2026-04-23T19:33:00Z,1.00,99.00
2026-04-23T19:34:00Z,2.25,97.69
2026-04-23T19:35:00Z,3.43,97.00
2026-04-23T19:36:00Z,4.49,96.18
2026-04-23T19:37:00Z,5.67,95.55
2026-04-23T19:38:00Z,4.41,96.70
2026-04-23T19:39:00Z,1.74,98.34
2026-04-23T19:40:00Z,3.52,97.58
2026-04-23T19:41:00Z,3.62,97.18
2026-04-23T19:42:00Z,2.53,98.78
2026-04-23T19:44:00Z,2.53,99.00
