# event_ticker=KXATPCHALLENGERMATCH-26MAY15SMIIVA
# final_score=6-4 6-4
# score_resolution=4-6 4-6
# match_winner=Keegan Smith
# fav_player=Ilya Ivashka
# dog_player=Keegan Smith
# kalshi_date=2026-05-15
timestamp,Keegan Smith,Ilya Ivashka
2026-05-14T22:19:00Z,,55.00
2026-05-14T23:05:00Z,47.00,55.00
2026-05-14T23:20:00Z,47.00,55.00
2026-05-14T23:23:00Z,47.00,55.00
2026-05-15T00:18:00Z,47.00,55.00
2026-05-15T00:32:00Z,47.00,54.00
2026-05-15T00:48:00Z,47.00,54.00
2026-05-15T01:38:00Z,47.00,54.00
2026-05-15T01:48:00Z,48.00,54.00
2026-05-15T01:51:00Z,48.00,54.00
2026-05-15T02:07:00Z,48.00,54.00
2026-05-15T02:09:00Z,48.00,54.00
2026-05-15T02:16:00Z,48.00,54.00
2026-05-15T02:17:00Z,48.00,54.00
2026-05-15T02:28:00Z,48.00,54.00
2026-05-15T02:33:00Z,48.00,54.00
2026-05-15T02:35:00Z,48.00,54.00
2026-05-15T02:36:00Z,48.00,54.00
2026-05-15T02:38:00Z,48.00,54.00
2026-05-15T02:54:00Z,48.00,54.00
2026-05-15T02:57:00Z,48.00,54.00
2026-05-15T03:00:00Z,48.00,55.00
2026-05-15T03:02:00Z,48.00,55.00
2026-05-15T03:04:00Z,48.00,55.00
2026-05-15T03:06:00Z,48.00,55.00
2026-05-15T03:10:00Z,47.00,55.00
2026-05-15T03:12:00Z,47.00,54.00
2026-05-15T03:33:00Z,47.00,54.00
2026-05-15T03:48:00Z,47.00,54.91
2026-05-15T03:51:00Z,47.00,55.00
2026-05-15T03:55:00Z,48.00,55.00
2026-05-15T03:56:00Z,48.00,55.00
2026-05-15T04:07:00Z,48.00,55.00
2026-05-15T04:10:00Z,47.99,55.00
2026-05-15T04:13:00Z,47.99,54.00
2026-05-15T04:18:00Z,48.00,54.00
2026-05-15T04:21:00Z,48.00,54.00
2026-05-15T04:24:00Z,48.00,54.00
2026-05-15T04:25:00Z,48.00,54.00
2026-05-15T04:27:00Z,48.00,54.00
2026-05-15T04:29:00Z,48.00,54.00
2026-05-15T04:30:00Z,48.00,54.00
2026-05-15T04:31:00Z,48.00,54.00
2026-05-15T04:34:00Z,48.00,54.00
