# event_ticker=KXATPCHALLENGERMATCH-26FEB24BARFER
# final_score=6-3 6-4
# match_winner=Frederico Ferreira Silva
# fav_player=Frederico Ferreira Silva
# dog_player=Petr Bar Biryukov
# kalshi_date=2026-02-24
timestamp,Frederico Ferreira Silva,Petr Bar Biryukov
2026-02-23T19:09:00Z,,35.83
2026-02-23T21:58:00Z,67.00,35.83
2026-02-23T22:25:00Z,67.00,35.83
2026-02-23T23:44:00Z,67.00,35.83
2026-02-24T00:06:00Z,67.00,35.83
2026-02-24T00:37:00Z,67.00,35.83
2026-02-24T01:15:00Z,67.00,35.83
2026-02-24T01:34:00Z,67.00,36.00
2026-02-24T01:52:00Z,67.00,33.00
2026-02-24T02:51:00Z,67.00,33.00
2026-02-24T03:17:00Z,67.00,33.00
2026-02-24T03:18:00Z,67.00,33.00
2026-02-24T03:31:00Z,67.00,33.00
2026-02-24T03:33:00Z,67.00,36.00
2026-02-24T03:44:00Z,67.00,36.00
2026-02-24T03:55:00Z,67.00,36.00
2026-02-24T04:06:00Z,67.00,36.00
2026-02-24T04:24:00Z,67.00,36.00
2026-02-24T04:28:00Z,67.00,36.00
2026-02-24T04:31:00Z,67.00,36.00
2026-02-24T04:35:00Z,67.00,36.00
2026-02-24T04:36:00Z,67.00,33.00
2026-02-24T04:48:00Z,67.00,36.00
2026-02-24T04:50:00Z,67.00,36.00
2026-02-24T04:51:00Z,67.00,36.00
2026-02-24T04:54:00Z,67.00,36.00
2026-02-24T04:55:00Z,67.00,36.00
2026-02-24T04:58:00Z,67.00,36.00
2026-02-24T04:59:00Z,67.00,36.00
2026-02-24T05:01:00Z,67.00,37.00
2026-02-24T05:02:00Z,67.54,35.00
2026-02-24T05:04:00Z,67.00,35.00
2026-02-24T05:05:00Z,67.92,35.00
2026-02-24T05:06:00Z,67.92,35.00
2026-02-24T05:07:00Z,68.00,35.00
2026-02-24T05:08:00Z,67.80,35.00
2026-02-24T05:09:00Z,67.80,33.50
2026-02-24T05:10:00Z,67.80,35.00
2026-02-24T05:11:00Z,68.00,35.00
2026-02-24T05:12:00Z,68.00,35.00
2026-02-24T05:14:00Z,68.00,35.00
2026-02-24T05:15:00Z,68.00,35.00
2026-02-24T05:16:00Z,68.00,35.00
2026-02-24T05:17:00Z,68.00,35.00
2026-02-24T05:18:00Z,68.00,35.00
2026-02-24T05:19:00Z,68.00,35.00
2026-02-24T05:20:00Z,68.00,35.00
2026-02-24T05:21:00Z,68.00,35.00
2026-02-24T05:22:00Z,68.00,35.00
2026-02-24T05:23:00Z,68.00,35.00
2026-02-24T05:24:00Z,68.00,35.00
2026-02-24T05:26:00Z,68.00,35.00
2026-02-24T05:27:00Z,68.00,35.00
2026-02-24T05:28:00Z,68.00,35.00
2026-02-24T05:29:00Z,68.00,35.00
2026-02-24T05:32:00Z,68.00,34.00
2026-02-24T05:33:00Z,68.00,34.00
2026-02-24T05:34:00Z,68.00,34.00
2026-02-24T05:35:00Z,68.00,35.00
2026-02-24T05:36:00Z,68.00,35.00
2026-02-24T05:37:00Z,68.55,35.00
2026-02-24T05:38:00Z,68.88,35.00
2026-02-24T05:39:00Z,68.00,35.00
2026-02-24T05:40:00Z,69.72,35.00
2026-02-24T05:41:00Z,70.50,32.41
2026-02-24T05:42:00Z,70.51,31.01
2026-02-24T05:43:00Z,72.75,31.88
2026-02-24T05:44:00Z,70.80,32.00
2026-02-24T05:45:00Z,70.00,33.68
2026-02-24T05:46:00Z,70.00,33.98
2026-02-24T05:47:00Z,70.00,33.16
2026-02-24T05:48:00Z,70.28,33.87
2026-02-24T05:49:00Z,70.85,33.00
2026-02-24T05:50:00Z,69.22,33.19
2026-02-24T05:51:00Z,69.28,34.35
2026-02-24T05:52:00Z,66.11,38.32
2026-02-24T05:53:00Z,64.27,43.03
2026-02-24T05:54:00Z,62.12,44.37
2026-02-24T05:55:00Z,62.96,39.77
2026-02-24T05:56:00Z,63.26,44.42
2026-02-24T05:57:00Z,61.17,46.59
2026-02-24T05:58:00Z,65.76,36.70
2026-02-24T05:59:00Z,67.39,35.75
2026-02-24T06:00:00Z,68.22,33.44
2026-02-24T06:01:00Z,66.58,35.41
2026-02-24T06:02:00Z,64.10,37.29
2026-02-24T06:03:00Z,67.44,35.93
2026-02-24T06:04:00Z,64.29,37.63
2026-02-24T06:05:00Z,66.00,35.93
2026-02-24T06:06:00Z,63.97,38.12
2026-02-24T06:07:00Z,64.09,36.65
2026-02-24T06:08:00Z,65.16,36.54
2026-02-24T06:09:00Z,73.17,29.26
2026-02-24T06:10:00Z,79.99,21.68
2026-02-24T06:11:00Z,81.29,23.78
2026-02-24T06:12:00Z,82.76,17.51
2026-02-24T06:13:00Z,85.24,15.74
2026-02-24T06:14:00Z,84.03,18.93
2026-02-24T06:15:00Z,84.16,15.36
2026-02-24T06:16:00Z,83.40,15.43
2026-02-24T06:17:00Z,85.22,14.17
2026-02-24T06:18:00Z,84.55,16.12
2026-02-24T06:19:00Z,83.48,17.47
2026-02-24T06:20:00Z,83.09,17.47
2026-02-24T06:21:00Z,83.93,15.01
2026-02-24T06:22:00Z,85.75,14.67
2026-02-24T06:23:00Z,85.70,14.79
2026-02-24T06:24:00Z,86.65,14.78
2026-02-24T06:25:00Z,86.97,14.73
2026-02-24T06:26:00Z,87.68,14.65
2026-02-24T06:27:00Z,85.92,15.68
2026-02-24T06:28:00Z,84.86,16.00
2026-02-24T06:29:00Z,85.85,14.30
2026-02-24T06:30:00Z,87.99,12.30
