# event_ticker=KXATPMATCH-26JAN11MACDUC
# final_score=6-3 6-3
# score_resolution=3-6 3-6
# match_winner=Tomas Machac
# fav_player=James Duckworth
# dog_player=Tomas Machac
# kalshi_date=2026-01-11
timestamp,James Duckworth,Tomas Machac
2026-01-12T15:09:00Z,39.00,
2026-01-12T15:11:00Z,39.00,62.00
2026-01-12T15:16:00Z,39.00,62.00
2026-01-12T15:33:00Z,39.00,63.00
2026-01-12T16:06:00Z,39.00,62.00
2026-01-12T16:13:00Z,39.00,62.00
2026-01-12T16:23:00Z,39.00,62.00
2026-01-12T16:26:00Z,39.00,62.69
2026-01-12T16:41:00Z,41.00,62.69
2026-01-12T16:52:00Z,41.00,61.00
2026-01-12T16:54:00Z,41.00,62.00
2026-01-12T17:04:00Z,41.00,62.00
2026-01-12T17:08:00Z,41.00,62.00
2026-01-12T17:10:00Z,41.00,62.00
2026-01-12T17:11:00Z,41.00,62.00
2026-01-12T17:15:00Z,41.00,61.00
2026-01-12T17:16:00Z,41.00,62.00
2026-01-12T18:08:00Z,41.00,62.00
2026-01-12T18:20:00Z,41.00,62.00
2026-01-12T18:31:00Z,41.00,61.00
2026-01-12T18:39:00Z,41.00,61.00
2026-01-12T18:51:00Z,40.00,61.00
2026-01-12T18:54:00Z,40.00,61.00
2026-01-12T19:07:00Z,40.00,61.00
2026-01-12T19:15:00Z,41.00,61.00
2026-01-12T19:17:00Z,41.00,61.00
2026-01-12T19:18:00Z,41.00,61.00
2026-01-12T19:26:00Z,41.00,61.00
2026-01-12T19:27:00Z,40.00,61.00
2026-01-12T19:28:00Z,41.00,61.00
2026-01-12T19:35:00Z,41.00,61.00
2026-01-12T19:42:00Z,41.00,60.00
2026-01-12T19:43:00Z,41.00,60.00
2026-01-12T19:46:00Z,41.00,60.00
2026-01-12T19:51:00Z,42.00,60.00
2026-01-12T19:55:00Z,42.00,60.00
2026-01-12T20:05:00Z,42.00,60.00
2026-01-12T20:11:00Z,42.00,60.00
2026-01-12T20:23:00Z,42.00,60.00
2026-01-12T21:04:00Z,42.00,60.00
2026-01-12T21:21:00Z,42.00,60.00
2026-01-12T21:33:00Z,42.00,59.00
2026-01-12T21:57:00Z,42.00,59.00
2026-01-12T21:58:00Z,42.00,60.00
2026-01-12T22:06:00Z,42.00,59.00
2026-01-12T22:11:00Z,42.00,60.00
2026-01-12T22:16:00Z,42.00,60.00
