# event_ticker=KXATPCHALLENGERMATCH-26APR07HEIREI
# final_score=6-2 6-1
# match_winner=Gustavo Heide
# fav_player=Gustavo Heide
# dog_player=Joao Lucas Reis Da Silva
# kalshi_date=2026-04-07
timestamp,Gustavo Heide,Joao Lucas Reis Da Silva
2026-04-07T09:39:00Z,74.00,
2026-04-07T09:44:00Z,76.74,
2026-04-07T13:35:00Z,75.00,
2026-04-07T14:49:00Z,75.00,
2026-04-07T15:13:00Z,75.00,25.00
2026-04-07T15:17:00Z,77.00,25.00
2026-04-07T15:49:00Z,77.00,25.00
2026-04-07T15:51:00Z,78.00,25.00
2026-04-07T15:57:00Z,78.00,25.00
2026-04-07T16:13:00Z,78.00,25.00
2026-04-07T16:49:00Z,78.00,25.00
2026-04-07T16:58:00Z,78.00,25.00
2026-04-07T17:02:00Z,78.00,25.00
2026-04-07T17:36:00Z,78.00,22.00
2026-04-07T17:39:00Z,78.00,22.00
2026-04-07T17:40:00Z,78.00,25.00
2026-04-07T17:41:00Z,78.00,25.00
2026-04-07T17:43:00Z,78.00,25.00
2026-04-07T17:47:00Z,78.00,25.27
2026-04-07T17:48:00Z,77.00,25.27
2026-04-07T17:58:00Z,76.00,25.27
2026-04-07T17:59:00Z,76.00,24.00
2026-04-07T18:18:00Z,78.69,24.00
2026-04-07T18:20:00Z,78.69,24.24
2026-04-07T18:31:00Z,78.00,24.24
2026-04-07T18:42:00Z,78.00,24.00
2026-04-07T18:45:00Z,78.67,24.00
2026-04-07T18:46:00Z,78.00,24.00
2026-04-07T18:50:00Z,79.00,24.00
2026-04-07T18:51:00Z,79.00,24.00
2026-04-07T18:57:00Z,79.00,23.88
2026-04-07T19:01:00Z,79.00,23.88
2026-04-07T19:04:00Z,79.00,23.88
2026-04-07T19:10:00Z,79.00,23.88
2026-04-07T19:13:00Z,79.00,23.88
2026-04-07T19:15:00Z,79.00,23.00
2026-04-07T19:17:00Z,79.00,23.61
2026-04-07T19:18:00Z,79.00,23.00
2026-04-07T19:20:00Z,79.00,23.00
2026-04-07T19:22:00Z,79.00,23.00
2026-04-07T19:24:00Z,79.00,23.00
2026-04-07T19:26:00Z,79.00,23.00
2026-04-07T19:27:00Z,79.00,23.00
2026-04-07T19:28:00Z,78.01,23.00
2026-04-07T19:29:00Z,73.78,25.32
2026-04-07T19:30:00Z,74.00,25.63
2026-04-07T19:31:00Z,72.00,28.00
2026-04-07T19:32:00Z,72.47,26.88
2026-04-07T19:33:00Z,72.47,30.41
2026-04-07T19:34:00Z,74.00,26.13
2026-04-07T19:35:00Z,74.00,24.52
2026-04-07T19:36:00Z,77.19,22.17
2026-04-07T19:37:00Z,76.28,24.84
2026-04-07T19:38:00Z,79.75,19.47
2026-04-07T19:39:00Z,80.00,22.00
2026-04-07T19:40:00Z,80.00,22.00
2026-04-07T19:41:00Z,80.68,17.99
2026-04-07T19:42:00Z,84.00,14.85
2026-04-07T19:43:00Z,84.00,14.79
2026-04-07T19:44:00Z,86.00,14.23
2026-04-07T19:45:00Z,89.00,12.96
2026-04-07T19:46:00Z,89.35,10.13
2026-04-07T19:47:00Z,90.00,9.29
2026-04-07T19:48:00Z,91.00,9.41
2026-04-07T19:49:00Z,90.00,9.24
2026-04-07T19:50:00Z,88.79,11.82
2026-04-07T19:51:00Z,89.26,10.01
2026-04-07T19:52:00Z,91.04,6.49
2026-04-07T19:53:00Z,93.00,6.90
2026-04-07T19:54:00Z,93.00,8.00
2026-04-07T19:55:00Z,93.00,8.00
2026-04-07T19:56:00Z,94.00,7.00
2026-04-07T19:57:00Z,94.00,7.00
2026-04-07T19:58:00Z,93.00,7.00
2026-04-07T19:59:00Z,93.00,7.29
2026-04-07T20:00:00Z,93.00,8.00
2026-04-07T20:01:00Z,93.00,8.00
2026-04-07T20:02:00Z,90.00,10.77
2026-04-07T20:03:00Z,90.00,11.93
2026-04-07T20:04:00Z,90.80,9.94
2026-04-07T20:05:00Z,92.00,9.94
2026-04-07T20:06:00Z,91.54,8.61
2026-04-07T20:07:00Z,91.54,10.16
2026-04-07T20:08:00Z,90.00,10.36
2026-04-07T20:09:00Z,91.00,10.20
2026-04-07T20:10:00Z,91.02,9.59
2026-04-07T20:11:00Z,91.93,9.90
2026-04-07T20:12:00Z,90.00,11.22
2026-04-07T20:13:00Z,90.00,10.11
2026-04-07T20:14:00Z,91.00,9.00
2026-04-07T20:15:00Z,92.00,9.00
2026-04-07T20:16:00Z,92.00,9.00
2026-04-07T20:17:00Z,92.00,8.97
2026-04-07T20:18:00Z,92.00,9.00
2026-04-07T20:19:00Z,90.48,10.12
2026-04-07T20:20:00Z,88.59,11.20
2026-04-07T20:21:00Z,89.91,11.54
2026-04-07T20:22:00Z,88.00,12.87
2026-04-07T20:23:00Z,89.01,11.60
2026-04-07T20:24:00Z,91.60,10.13
2026-04-07T20:25:00Z,87.02,13.95
2026-04-07T20:26:00Z,87.58,13.36
2026-04-07T20:27:00Z,86.82,13.27
2026-04-07T20:28:00Z,86.70,14.25
2026-04-07T20:29:00Z,86.68,15.46
2026-04-07T20:30:00Z,86.16,14.22
2026-04-07T20:31:00Z,86.08,14.16
2026-04-07T20:32:00Z,88.05,12.07
2026-04-07T20:33:00Z,91.01,10.48
2026-04-07T20:34:00Z,93.00,7.46
2026-04-07T20:35:00Z,93.99,7.23
2026-04-07T20:36:00Z,93.42,6.95
2026-04-07T20:37:00Z,96.00,6.00
2026-04-07T20:38:00Z,96.00,4.39
2026-04-07T20:39:00Z,96.79,3.57
2026-04-07T20:40:00Z,96.00,3.30
2026-04-07T20:41:00Z,97.00,4.96
2026-04-07T20:42:00Z,97.00,3.17
2026-04-07T20:43:00Z,98.24,2.15
2026-04-07T20:44:00Z,99.00,1.43
2026-04-07T20:45:00Z,99.00,1.12
2026-04-07T20:46:00Z,99.00,1.00
2026-04-07T20:47:00Z,99.00,1.00
2026-04-07T20:48:00Z,99.00,1.00
2026-04-07T20:49:00Z,99.00,1.00
2026-04-07T20:50:00Z,99.00,1.00
2026-04-07T20:51:00Z,99.00,1.00
2026-04-07T20:52:00Z,99.00,1.00
