# event_ticker=KXATPMATCH-26MAY17ATMETC
# final_score=6-2 7-6(4)
# score_resolution=2-6 6-7
# match_winner=Tomas Martin Etcheverry
# fav_player=Terence Atmane
# dog_player=Tomas Martin Etcheverry
# kalshi_date=2026-05-17
timestamp,Terence Atmane,Tomas Martin Etcheverry
2026-05-18T00:39:00Z,,65.00
2026-05-18T00:54:00Z,,65.00
2026-05-18T00:59:00Z,36.00,65.00
2026-05-18T01:16:00Z,36.00,65.00
2026-05-18T01:45:00Z,37.00,65.00
2026-05-18T02:02:00Z,37.00,65.00
2026-05-18T02:38:00Z,37.00,65.00
2026-05-18T02:40:00Z,37.00,65.00
2026-05-18T02:42:00Z,37.00,65.00
2026-05-18T02:45:00Z,37.00,65.00
2026-05-18T02:53:00Z,37.00,65.00
2026-05-18T02:54:00Z,37.00,65.00
2026-05-18T02:55:00Z,37.00,65.00
2026-05-18T02:59:00Z,37.00,65.00
2026-05-18T03:01:00Z,37.00,65.00
2026-05-18T03:20:00Z,37.00,65.00
2026-05-18T03:21:00Z,37.00,65.00
2026-05-18T03:24:00Z,37.00,65.00
2026-05-18T03:55:00Z,37.00,65.00
2026-05-18T03:59:00Z,37.00,65.00
2026-05-18T04:07:00Z,37.00,65.00
2026-05-18T04:17:00Z,37.00,65.00
2026-05-18T04:23:00Z,37.00,65.00
2026-05-18T04:30:00Z,37.00,65.00
2026-05-18T04:33:00Z,37.00,65.00
2026-05-18T05:08:00Z,37.00,65.00
2026-05-18T05:12:00Z,37.00,65.00
2026-05-18T05:23:00Z,37.00,65.00
2026-05-18T05:25:00Z,37.00,65.00
2026-05-18T05:26:00Z,37.00,65.00
2026-05-18T05:37:00Z,37.00,64.00
2026-05-18T05:40:00Z,37.00,65.00
2026-05-18T05:42:00Z,37.00,65.00
2026-05-18T05:48:00Z,37.00,65.00
2026-05-18T06:04:00Z,37.00,65.00
2026-05-18T06:08:00Z,37.00,65.00
2026-05-18T06:13:00Z,37.00,65.00
2026-05-18T06:27:00Z,37.00,65.00
2026-05-18T06:45:00Z,37.00,65.00
2026-05-18T06:46:00Z,36.00,65.00
2026-05-18T06:51:00Z,36.00,65.00
2026-05-18T06:55:00Z,36.00,65.53
2026-05-18T07:07:00Z,36.00,66.00
2026-05-18T07:08:00Z,36.00,66.00
2026-05-18T07:11:00Z,36.00,66.00
2026-05-18T07:25:00Z,36.00,66.00
2026-05-18T07:50:00Z,36.00,66.00
2026-05-18T07:53:00Z,36.00,66.00
2026-05-18T08:28:00Z,36.00,67.00
2026-05-18T08:34:00Z,36.00,67.00
2026-05-18T08:39:00Z,36.00,67.00
2026-05-18T08:51:00Z,33.14,67.00
2026-05-18T08:53:00Z,33.14,67.00
2026-05-18T08:56:00Z,34.00,67.00
2026-05-18T08:58:00Z,34.00,67.00
2026-05-18T09:27:00Z,34.00,67.00
2026-05-18T10:08:00Z,34.00,68.00
2026-05-18T10:12:00Z,34.00,68.00
2026-05-18T10:42:00Z,34.00,68.00
2026-05-18T10:44:00Z,34.00,68.00
2026-05-18T10:55:00Z,33.00,68.00
2026-05-18T10:58:00Z,33.00,68.00
2026-05-18T11:04:00Z,33.00,68.00
