# event_ticker=KXATPMATCH-26APR22DZUBEL
# final_score=6-2 6-4
# score_resolution=2-6 4-6
# match_winner=Damir Dzumhur
# fav_player=Mattia Bellucci
# dog_player=Damir Dzumhur
# kalshi_date=2026-04-22
timestamp,Damir Dzumhur,Mattia Bellucci
2026-04-21T23:13:00Z,,55.00
2026-04-21T23:27:00Z,,55.00
2026-04-21T23:31:00Z,47.00,55.00
2026-04-21T23:49:00Z,47.00,55.00
2026-04-22T00:06:00Z,47.00,55.00
2026-04-22T00:13:00Z,47.00,55.00
2026-04-22T00:19:00Z,47.00,55.00
2026-04-22T00:39:00Z,47.00,55.00
2026-04-22T00:45:00Z,47.00,55.00
2026-04-22T00:48:00Z,47.00,55.00
2026-04-22T01:07:00Z,47.00,55.00
2026-04-22T01:08:00Z,47.00,55.00
2026-04-22T01:17:00Z,47.00,55.00
2026-04-22T01:26:00Z,45.00,55.00
2026-04-22T01:36:00Z,47.00,55.00
2026-04-22T01:39:00Z,47.00,55.00
2026-04-22T02:01:00Z,47.00,53.00
2026-04-22T02:35:00Z,47.00,53.00
2026-04-22T02:53:00Z,47.00,53.00
2026-04-22T03:04:00Z,47.00,53.00
2026-04-22T03:17:00Z,47.00,52.00
2026-04-22T03:49:00Z,47.00,53.00
2026-04-22T03:51:00Z,47.00,53.00
2026-04-22T03:52:00Z,47.00,53.00
2026-04-22T04:01:00Z,47.00,53.00
2026-04-22T04:16:00Z,47.00,53.00
2026-04-22T04:44:00Z,47.00,53.00
2026-04-22T04:54:00Z,47.00,53.00
2026-04-22T05:02:00Z,47.00,53.00
2026-04-22T05:04:00Z,47.00,53.00
2026-04-22T05:12:00Z,48.00,53.00
2026-04-22T05:13:00Z,48.00,53.00
2026-04-22T05:16:00Z,48.00,53.00
2026-04-22T05:20:00Z,48.00,53.00
2026-04-22T05:21:00Z,48.00,53.00
2026-04-22T05:23:00Z,48.00,53.00
2026-04-22T05:26:00Z,48.00,53.00
2026-04-22T05:27:00Z,48.00,53.00
2026-04-22T05:29:00Z,48.00,53.00
2026-04-22T05:32:00Z,48.00,53.00
2026-04-22T05:34:00Z,48.00,52.00
2026-04-22T05:35:00Z,48.00,52.00
2026-04-22T05:37:00Z,48.00,53.00
2026-04-22T05:38:00Z,49.00,53.00
2026-04-22T05:41:00Z,49.00,53.00
2026-04-22T05:49:00Z,49.00,53.00
2026-04-22T05:50:00Z,49.00,53.00
2026-04-22T06:02:00Z,49.00,53.00
2026-04-22T06:03:00Z,49.00,53.00
