# event_ticker=KXATPMATCH-26APR06VACCER
# final_score=5-7 6-2 6-1
# score_resolution=7-5 2-6 1-6
# match_winner=Valentin Vacherot
# fav_player=Juan Manuel Cerundolo
# dog_player=Valentin Vacherot
# kalshi_date=2026-04-06
timestamp,Juan Manuel Cerundolo,Valentin Vacherot
2026-04-06T03:55:00Z,,66.00
2026-04-06T04:24:00Z,,66.00
2026-04-06T04:25:00Z,37.00,66.00
2026-04-06T04:26:00Z,35.00,66.00
2026-04-06T04:27:00Z,35.00,66.00
2026-04-06T04:57:00Z,35.00,66.00
2026-04-06T04:59:00Z,35.00,66.00
2026-04-06T05:00:00Z,35.00,66.00
2026-04-06T05:04:00Z,35.00,66.00
2026-04-06T05:05:00Z,36.00,66.00
2026-04-06T05:08:00Z,36.00,66.00
2026-04-06T05:13:00Z,34.00,66.00
2026-04-06T05:30:00Z,34.00,66.00
2026-04-06T05:35:00Z,36.00,66.00
2026-04-06T05:46:00Z,36.00,66.00
2026-04-06T05:52:00Z,36.00,66.00
2026-04-06T06:06:00Z,36.00,66.00
2026-04-06T06:21:00Z,36.00,66.00
2026-04-06T07:01:00Z,36.00,66.00
2026-04-06T07:22:00Z,36.00,66.00
2026-04-06T07:34:00Z,36.00,65.00
2026-04-06T08:06:00Z,36.00,65.00
2026-04-06T08:39:00Z,36.00,65.00
2026-04-06T08:45:00Z,36.00,65.00
2026-04-06T08:53:00Z,36.00,65.00
2026-04-06T08:54:00Z,36.00,65.00
2026-04-06T08:55:00Z,36.00,65.00
2026-04-06T09:01:00Z,36.00,65.00
2026-04-06T09:02:00Z,36.00,65.00
2026-04-06T09:13:00Z,36.00,65.00
2026-04-06T09:31:00Z,36.00,65.00
2026-04-06T09:33:00Z,36.00,65.00
2026-04-06T09:36:00Z,36.00,64.00
2026-04-06T09:43:00Z,36.00,65.00
2026-04-06T10:05:00Z,36.00,65.00
2026-04-06T10:13:00Z,36.00,65.00
2026-04-06T10:17:00Z,34.01,65.00
2026-04-06T10:19:00Z,35.00,65.00
2026-04-06T10:28:00Z,35.00,65.00
2026-04-06T10:37:00Z,35.00,65.00
2026-04-06T10:53:00Z,35.00,65.00
2026-04-06T10:57:00Z,35.00,65.00
2026-04-06T11:00:00Z,35.00,65.00
2026-04-06T11:02:00Z,35.00,65.00
2026-04-06T11:13:00Z,35.00,65.00
2026-04-06T11:17:00Z,35.00,65.00
2026-04-06T11:26:00Z,35.00,65.00
2026-04-06T11:39:00Z,35.00,65.00
2026-04-06T11:49:00Z,35.00,65.00
2026-04-06T11:50:00Z,35.00,65.00
2026-04-06T11:51:00Z,35.00,65.00
2026-04-06T11:52:00Z,35.00,65.00
2026-04-06T11:59:00Z,35.00,65.00
2026-04-06T12:01:00Z,35.00,65.00
2026-04-06T12:10:00Z,35.00,65.00
2026-04-06T12:18:00Z,35.00,65.00
2026-04-06T12:20:00Z,35.00,65.00
2026-04-06T12:21:00Z,35.00,65.00
2026-04-06T12:22:00Z,35.00,65.00
2026-04-06T12:25:00Z,35.00,65.00
2026-04-06T12:29:00Z,35.00,65.00
2026-04-06T12:34:00Z,35.00,65.00
2026-04-06T12:35:00Z,34.00,65.00
