# event_ticker=KXATPCHALLENGERMATCH-26APR23RONBAS
# final_score=6-4 7-6(4)
# score_resolution=4-6 6-7
# match_winner=Nishesh Basavareddy
# fav_player=Franco Roncadelli
# dog_player=Nishesh Basavareddy
# kalshi_date=2026-04-23
timestamp,Franco Roncadelli,Nishesh Basavareddy
2026-04-23T03:25:00Z,29.00,69.00
2026-04-23T03:36:00Z,29.00,71.00
2026-04-23T03:50:00Z,29.00,72.00
2026-04-23T04:23:00Z,30.00,72.00
2026-04-23T05:50:00Z,30.00,72.00
2026-04-23T05:52:00Z,28.00,71.00
2026-04-23T09:38:00Z,28.00,71.00
2026-04-23T10:22:00Z,28.00,70.00
2026-04-23T10:45:00Z,28.00,71.00
2026-04-23T10:55:00Z,28.00,72.00
2026-04-23T11:24:00Z,31.00,72.00
2026-04-23T11:39:00Z,31.00,72.00
2026-04-23T11:50:00Z,31.00,72.00
2026-04-23T11:52:00Z,31.00,72.00
2026-04-23T12:19:00Z,31.00,72.00
2026-04-23T12:58:00Z,30.00,72.00
2026-04-23T13:07:00Z,30.00,72.00
2026-04-23T13:08:00Z,30.00,72.00
2026-04-23T13:43:00Z,29.00,72.00
2026-04-23T13:44:00Z,30.00,72.00
2026-04-23T13:45:00Z,30.00,72.00
2026-04-23T14:00:00Z,30.00,72.00
2026-04-23T14:01:00Z,30.00,72.00
2026-04-23T14:07:00Z,30.00,72.00
2026-04-23T14:17:00Z,30.00,72.00
2026-04-23T14:29:00Z,30.00,72.00
2026-04-23T14:31:00Z,30.00,71.00
2026-04-23T14:35:00Z,30.00,72.00
2026-04-23T14:39:00Z,30.00,72.00
2026-04-23T14:49:00Z,30.00,71.00
2026-04-23T14:55:00Z,30.00,72.00
2026-04-23T14:58:00Z,30.00,72.00
2026-04-23T15:03:00Z,30.00,72.00
2026-04-23T15:04:00Z,30.00,72.00
2026-04-23T15:05:00Z,30.00,72.00
2026-04-23T15:06:00Z,30.00,72.00
2026-04-23T15:07:00Z,30.00,73.00
2026-04-23T15:08:00Z,30.00,72.00
2026-04-23T15:09:00Z,30.00,72.00
2026-04-23T15:10:00Z,30.00,72.95
2026-04-23T15:11:00Z,30.00,72.00
2026-04-23T15:12:00Z,30.00,72.00
2026-04-23T15:13:00Z,31.47,71.08
2026-04-23T15:14:00Z,31.64,68.00
2026-04-23T15:15:00Z,35.00,66.82
2026-04-23T15:16:00Z,35.54,62.54
2026-04-23T15:17:00Z,44.41,62.95
2026-04-23T15:18:00Z,40.00,61.68
2026-04-23T15:19:00Z,41.07,60.50
2026-04-23T15:20:00Z,48.12,57.25
2026-04-23T15:21:00Z,45.02,55.97
2026-04-23T15:22:00Z,39.53,59.55
2026-04-23T15:23:00Z,34.65,65.84
2026-04-23T15:24:00Z,35.00,66.25
2026-04-23T15:25:00Z,32.05,69.38
2026-04-23T15:26:00Z,31.00,69.02
2026-04-23T15:27:00Z,33.80,65.47
2026-04-23T15:28:00Z,34.77,66.45
2026-04-23T15:29:00Z,31.56,67.45
2026-04-23T15:30:00Z,33.51,66.00
2026-04-23T15:31:00Z,34.40,67.24
2026-04-23T15:32:00Z,35.29,65.00
2026-04-23T15:33:00Z,36.69,64.67
2026-04-23T15:34:00Z,35.00,65.63
2026-04-23T15:35:00Z,33.47,66.05
2026-04-23T15:36:00Z,32.69,68.90
2026-04-23T15:37:00Z,32.00,69.25
2026-04-23T15:38:00Z,32.36,68.73
2026-04-23T15:39:00Z,34.50,68.71
2026-04-23T15:40:00Z,30.57,73.10
2026-04-23T15:41:00Z,32.16,67.20
2026-04-23T15:42:00Z,23.96,74.70
2026-04-23T15:43:00Z,31.46,67.19
2026-04-23T15:44:00Z,36.13,65.00
2026-04-23T15:45:00Z,36.66,64.46
2026-04-23T15:46:00Z,36.74,64.75
2026-04-23T15:47:00Z,37.19,63.74
2026-04-23T15:48:00Z,37.38,63.93
2026-04-23T15:49:00Z,33.30,67.29
2026-04-23T15:50:00Z,26.78,74.00
2026-04-23T15:51:00Z,20.19,79.91
2026-04-23T15:52:00Z,21.30,78.00
2026-04-23T15:53:00Z,23.91,76.24
2026-04-23T15:54:00Z,18.41,81.47
2026-04-23T15:55:00Z,17.00,82.99
2026-04-23T15:56:00Z,20.48,80.06
2026-04-23T15:57:00Z,24.64,78.49
2026-04-23T15:58:00Z,25.46,72.26
2026-04-23T15:59:00Z,19.96,79.02
2026-04-23T16:00:00Z,24.19,80.43
2026-04-23T16:01:00Z,16.62,82.33
2026-04-23T16:02:00Z,19.87,81.29
2026-04-23T16:03:00Z,23.00,76.80
2026-04-23T16:04:00Z,21.81,76.12
2026-04-23T16:05:00Z,15.25,84.01
2026-04-23T16:06:00Z,14.00,86.03
2026-04-23T16:07:00Z,13.78,87.00
2026-04-23T16:08:00Z,14.00,87.00
2026-04-23T16:09:00Z,14.00,87.00
2026-04-23T16:10:00Z,13.59,87.04
2026-04-23T16:11:00Z,12.27,88.03
2026-04-23T16:12:00Z,13.34,88.91
2026-04-23T16:13:00Z,11.37,90.48
2026-04-23T16:14:00Z,7.93,92.77
2026-04-23T16:15:00Z,9.03,91.52
2026-04-23T16:16:00Z,9.81,90.37
2026-04-23T16:17:00Z,7.10,92.46
2026-04-23T16:18:00Z,10.14,90.18
2026-04-23T16:19:00Z,11.67,89.98
2026-04-23T16:20:00Z,13.00,88.76
2026-04-23T16:21:00Z,11.58,89.83
2026-04-23T16:22:00Z,12.32,89.23
2026-04-23T16:23:00Z,9.09,92.13
2026-04-23T16:24:00Z,8.99,91.07
2026-04-23T16:25:00Z,10.33,90.97
2026-04-23T16:26:00Z,12.82,86.49
2026-04-23T16:27:00Z,17.06,82.00
2026-04-23T16:28:00Z,21.77,80.34
2026-04-23T16:29:00Z,21.49,79.08
2026-04-23T16:30:00Z,22.00,79.00
2026-04-23T16:31:00Z,20.75,79.55
2026-04-23T16:32:00Z,19.55,80.90
2026-04-23T16:33:00Z,18.73,80.56
2026-04-23T16:34:00Z,20.68,80.12
2026-04-23T16:35:00Z,21.93,79.86
2026-04-23T16:36:00Z,20.01,81.58
2026-04-23T16:37:00Z,19.51,80.65
2026-04-23T16:38:00Z,21.15,79.89
2026-04-23T16:39:00Z,22.42,78.71
2026-04-23T16:40:00Z,23.74,78.00
2026-04-23T16:41:00Z,24.31,76.98
2026-04-23T16:42:00Z,28.83,71.65
2026-04-23T16:43:00Z,29.99,72.01
2026-04-23T16:44:00Z,25.94,76.40
2026-04-23T16:45:00Z,22.60,78.27
2026-04-23T16:46:00Z,27.33,77.75
2026-04-23T16:47:00Z,35.33,65.09
2026-04-23T16:48:00Z,33.56,68.39
2026-04-23T16:49:00Z,28.98,75.36
2026-04-23T16:50:00Z,26.24,75.57
2026-04-23T16:51:00Z,28.01,75.59
2026-04-23T16:52:00Z,22.92,77.77
2026-04-23T16:53:00Z,24.00,76.94
2026-04-23T16:54:00Z,21.68,78.12
2026-04-23T16:55:00Z,19.94,81.10
2026-04-23T16:56:00Z,19.97,81.97
2026-04-23T16:57:00Z,15.06,84.47
2026-04-23T16:58:00Z,10.18,89.87
2026-04-23T16:59:00Z,12.77,88.69
2026-04-23T17:00:00Z,17.03,84.53
2026-04-23T17:01:00Z,21.26,78.67
2026-04-23T17:02:00Z,22.96,77.99
2026-04-23T17:03:00Z,22.88,79.66
2026-04-23T17:04:00Z,20.06,81.22
2026-04-23T17:05:00Z,17.56,82.59
2026-04-23T17:06:00Z,16.47,83.67
2026-04-23T17:07:00Z,17.36,82.53
2026-04-23T17:08:00Z,20.75,79.48
2026-04-23T17:09:00Z,22.61,77.85
2026-04-23T17:10:00Z,23.00,77.98
2026-04-23T17:11:00Z,26.24,76.15
2026-04-23T17:12:00Z,24.12,77.24
2026-04-23T17:13:00Z,19.65,81.55
2026-04-23T17:14:00Z,16.05,83.84
2026-04-23T17:15:00Z,15.87,84.75
2026-04-23T17:16:00Z,9.24,92.34
2026-04-23T17:17:00Z,7.93,92.59
2026-04-23T17:18:00Z,10.99,89.08
2026-04-23T17:19:00Z,14.40,85.51
2026-04-23T17:20:00Z,20.67,80.78
2026-04-23T17:21:00Z,10.50,90.63
2026-04-23T17:22:00Z,3.57,98.30
2026-04-23T17:23:00Z,3.57,99.00
2026-04-23T17:24:00Z,3.57,99.00
2026-04-23T17:25:00Z,3.57,99.00
2026-04-23T17:26:00Z,3.57,99.00
2026-04-23T17:27:00Z,3.57,99.00
2026-04-23T17:28:00Z,3.57,99.00
