# event_ticker=KXATPCHALLENGERMATCH-26APR11WENTUL
# final_score=6-2 6-2
# score_resolution=2-6 2-6
# match_winner=Harry Wendelken
# fav_player=Li Tu
# dog_player=Harry Wendelken
# kalshi_date=2026-04-11
timestamp,Li Tu,Harry Wendelken
2026-04-10T23:12:00Z,47.00,
2026-04-10T23:14:00Z,47.00,54.00
2026-04-10T23:16:00Z,44.76,54.00
2026-04-10T23:39:00Z,44.76,56.00
2026-04-10T23:40:00Z,44.76,56.00
2026-04-10T23:41:00Z,44.76,54.00
2026-04-10T23:46:00Z,44.76,56.00
2026-04-11T00:18:00Z,44.76,56.00
2026-04-11T00:23:00Z,44.76,56.00
2026-04-11T00:27:00Z,46.00,56.00
2026-04-11T00:43:00Z,46.00,56.00
2026-04-11T00:53:00Z,46.00,54.00
2026-04-11T00:57:00Z,46.00,56.00
2026-04-11T00:58:00Z,46.00,56.00
2026-04-11T01:02:00Z,46.00,56.00
2026-04-11T01:09:00Z,46.00,56.00
2026-04-11T01:15:00Z,46.00,56.00
2026-04-11T01:23:00Z,45.00,56.00
2026-04-11T01:25:00Z,45.00,56.00
2026-04-11T01:27:00Z,45.00,54.00
2026-04-11T01:31:00Z,45.00,56.00
2026-04-11T01:32:00Z,46.00,56.00
2026-04-11T01:35:00Z,46.00,56.00
2026-04-11T01:43:00Z,46.00,56.00
2026-04-11T01:44:00Z,46.00,56.00
2026-04-11T01:55:00Z,46.00,56.00
2026-04-11T01:56:00Z,46.00,56.00
2026-04-11T02:02:00Z,46.00,55.00
2026-04-11T02:05:00Z,46.00,55.00
2026-04-11T02:06:00Z,46.00,56.00
2026-04-11T02:07:00Z,46.00,56.00
2026-04-11T02:08:00Z,46.00,56.72
2026-04-11T02:11:00Z,46.00,57.00
2026-04-11T02:12:00Z,46.00,57.83
2026-04-11T02:13:00Z,44.70,58.39
2026-04-11T02:15:00Z,45.00,58.00
2026-04-11T02:18:00Z,45.00,58.00
2026-04-11T02:19:00Z,45.00,58.00
