# event_ticker=KXATPCHALLENGERMATCH-26MAY11LAZEI
# final_score=6-3 6-4
# match_winner=Juan Manuel La Serna
# fav_player=Juan Manuel La Serna
# dog_player=Maximo Zeitune
# kalshi_date=2026-05-11
timestamp,Juan Manuel La Serna,Maximo Zeitune
2026-05-11T06:01:00Z,63.00,
2026-05-11T11:32:00Z,62.00,
2026-05-11T13:36:00Z,62.00,39.00
2026-05-11T14:06:00Z,62.00,39.00
2026-05-11T14:30:00Z,62.00,39.00
2026-05-11T14:53:00Z,62.00,39.00
2026-05-11T15:31:00Z,62.00,39.00
2026-05-11T15:38:00Z,62.00,39.00
2026-05-11T15:47:00Z,62.00,39.65
2026-05-11T15:48:00Z,62.00,40.00
2026-05-11T15:55:00Z,62.00,40.00
2026-05-11T16:06:00Z,62.00,40.96
2026-05-11T16:13:00Z,62.00,37.08
2026-05-11T16:16:00Z,63.00,37.08
2026-05-11T16:25:00Z,63.00,37.08
2026-05-11T16:28:00Z,63.00,40.00
2026-05-11T16:30:00Z,63.00,40.00
2026-05-11T16:38:00Z,63.00,40.00
2026-05-11T16:42:00Z,64.39,40.00
2026-05-11T16:44:00Z,64.39,41.94
2026-05-11T16:45:00Z,60.00,41.94
2026-05-11T16:46:00Z,61.13,38.31
2026-05-11T16:47:00Z,63.00,37.00
2026-05-11T16:48:00Z,65.09,36.00
2026-05-11T16:49:00Z,66.95,33.13
2026-05-11T16:50:00Z,67.15,36.97
2026-05-11T16:51:00Z,64.00,37.00
2026-05-11T16:52:00Z,60.00,40.00
2026-05-11T16:53:00Z,63.00,40.00
2026-05-11T16:54:00Z,65.17,38.66
2026-05-11T16:55:00Z,62.86,38.66
2026-05-11T16:56:00Z,64.00,38.66
2026-05-11T16:57:00Z,64.00,38.66
2026-05-11T16:58:00Z,61.00,39.00
2026-05-11T16:59:00Z,60.00,39.00
2026-05-11T17:00:00Z,61.00,39.00
2026-05-11T17:03:00Z,66.00,39.00
2026-05-11T17:04:00Z,72.00,30.50
2026-05-11T17:05:00Z,74.19,25.23
2026-05-11T17:06:00Z,74.00,27.90
