# event_ticker=KXATPCHALLENGERMATCH-26MAY11GUISIM
# final_score=6-2 3-4 RET
# match_winner=Josip Simundza
# fav_player=Josip Simundza
# dog_player=Alvaro Guillen Meza
# kalshi_date=2026-05-11
timestamp,Alvaro Guillen Meza,Josip Simundza
2026-05-11T05:33:00Z,,16.00
2026-05-11T05:57:00Z,88.00,16.00
2026-05-11T06:10:00Z,88.00,14.00
2026-05-11T06:12:00Z,88.00,14.00
2026-05-11T06:45:00Z,88.00,14.00
2026-05-11T13:41:00Z,88.00,14.00
2026-05-11T14:30:00Z,87.00,14.00
2026-05-11T14:59:00Z,88.00,14.00
2026-05-11T15:14:00Z,88.00,14.00
2026-05-11T15:23:00Z,86.00,14.00
2026-05-11T15:47:00Z,88.00,14.00
2026-05-11T15:49:00Z,88.00,14.00
2026-05-11T15:54:00Z,88.00,14.00
2026-05-11T15:55:00Z,88.00,14.00
2026-05-11T15:56:00Z,88.00,14.00
2026-05-11T16:00:00Z,88.00,14.22
2026-05-11T16:03:00Z,88.00,12.00
2026-05-11T16:04:00Z,90.00,10.58
2026-05-11T16:05:00Z,91.00,9.00
2026-05-11T16:06:00Z,91.65,11.00
2026-05-11T16:07:00Z,91.65,11.95
2026-05-11T16:08:00Z,86.00,14.44
2026-05-11T16:09:00Z,84.00,19.00
2026-05-11T16:10:00Z,84.00,21.01
2026-05-11T16:11:00Z,84.00,23.00
2026-05-11T16:12:00Z,84.00,21.00
2026-05-11T16:13:00Z,81.00,21.00
2026-05-11T16:14:00Z,77.00,23.00
2026-05-11T16:15:00Z,77.00,23.00
2026-05-11T16:17:00Z,75.00,24.00
2026-05-11T16:18:00Z,75.00,24.07
2026-05-11T16:19:00Z,74.00,25.70
2026-05-11T16:20:00Z,75.00,26.00
2026-05-11T16:21:00Z,71.34,28.45
2026-05-11T16:22:00Z,66.73,33.50
2026-05-11T16:23:00Z,58.53,41.99
2026-05-11T16:24:00Z,55.45,44.58
2026-05-11T16:25:00Z,55.13,47.61
2026-05-11T16:26:00Z,51.56,49.49
2026-05-11T16:27:00Z,53.38,47.31
2026-05-11T16:28:00Z,55.00,45.02
2026-05-11T16:29:00Z,56.32,43.72
2026-05-11T16:30:00Z,53.68,48.08
2026-05-11T16:31:00Z,51.00,48.43
2026-05-11T16:32:00Z,51.00,50.00
2026-05-11T16:33:00Z,49.98,51.93
2026-05-11T16:34:00Z,46.67,55.00
2026-05-11T16:35:00Z,45.54,53.00
2026-05-11T16:36:00Z,48.00,53.00
2026-05-11T16:37:00Z,44.00,53.00
2026-05-11T16:38:00Z,42.61,58.00
2026-05-11T16:39:00Z,41.00,58.18
2026-05-11T16:40:00Z,44.49,55.85
2026-05-11T16:41:00Z,45.77,56.40
2026-05-11T16:42:00Z,41.98,58.91
2026-05-11T16:43:00Z,45.59,60.46
2026-05-11T16:44:00Z,36.00,62.00
2026-05-11T16:45:00Z,36.00,64.91
2026-05-11T16:46:00Z,39.43,61.06
2026-05-11T16:47:00Z,41.00,61.00
2026-05-11T16:48:00Z,38.04,63.00
2026-05-11T16:49:00Z,37.00,64.36
2026-05-11T16:50:00Z,42.17,57.65
2026-05-11T16:51:00Z,41.35,58.84
2026-05-11T16:52:00Z,48.85,54.00
2026-05-11T16:53:00Z,55.55,47.19
2026-05-11T16:54:00Z,58.08,43.00
2026-05-11T16:55:00Z,56.65,46.00
2026-05-11T16:56:00Z,58.00,43.00
2026-05-11T16:57:00Z,56.00,43.00
2026-05-11T16:58:00Z,60.00,41.00
2026-05-11T16:59:00Z,61.00,40.02
2026-05-11T17:00:00Z,62.00,38.92
2026-05-11T17:01:00Z,65.86,35.09
2026-05-11T17:02:00Z,67.00,33.08
2026-05-11T17:03:00Z,67.07,33.00
2026-05-11T17:04:00Z,64.14,35.32
2026-05-11T17:05:00Z,59.00,35.32
2026-05-11T17:06:00Z,56.07,35.32
2026-05-11T17:07:00Z,52.89,47.38
2026-05-11T17:08:00Z,16.75,77.92
2026-05-11T17:09:00Z,16.75,99.00
2026-05-11T17:11:00Z,16.75,99.00
