# event_ticker=KXATPCHALLENGERMATCH-26JUN02KIMHEN
# final_score=6-2 6-2
# score_resolution=2-6 2-6
# match_winner=Philip Henning
# fav_player=Orel Kimhi
# dog_player=Philip Henning
# kalshi_date=2026-06-02
timestamp,Orel Kimhi,Philip Henning
2026-06-02T01:19:00Z,,81.00
2026-06-02T05:02:00Z,21.00,81.00
2026-06-02T05:34:00Z,21.00,81.00
2026-06-02T06:30:00Z,20.00,81.00
2026-06-02T07:04:00Z,20.00,80.00
2026-06-02T10:42:00Z,22.00,80.00
2026-06-02T11:09:00Z,21.00,80.00
2026-06-02T11:21:00Z,22.00,80.00
2026-06-02T11:40:00Z,22.00,81.00
2026-06-02T11:53:00Z,21.00,81.00
2026-06-02T12:09:00Z,21.00,81.00
2026-06-02T12:10:00Z,22.00,81.00
2026-06-02T12:24:00Z,22.00,81.00
2026-06-02T12:25:00Z,19.00,81.00
2026-06-02T12:27:00Z,18.00,85.00
2026-06-02T12:28:00Z,17.00,85.00
2026-06-02T12:29:00Z,16.00,85.00
2026-06-02T12:31:00Z,17.54,85.00
2026-06-02T12:32:00Z,15.00,85.00
2026-06-02T12:33:00Z,15.56,86.00
2026-06-02T12:34:00Z,15.56,86.00
2026-06-02T12:35:00Z,18.05,86.00
2026-06-02T12:36:00Z,21.50,80.22
2026-06-02T12:37:00Z,23.57,80.22
2026-06-02T12:38:00Z,28.97,72.00
2026-06-02T12:39:00Z,24.50,75.44
2026-06-02T12:40:00Z,19.39,80.55
2026-06-02T12:41:00Z,19.00,80.55
2026-06-02T12:42:00Z,17.00,83.00
2026-06-02T12:43:00Z,12.06,87.95
2026-06-02T12:44:00Z,12.03,87.95
2026-06-02T12:45:00Z,10.83,90.00
2026-06-02T12:46:00Z,10.49,90.96
2026-06-02T12:47:00Z,11.00,90.96
2026-06-02T12:50:00Z,8.13,91.00
2026-06-02T12:52:00Z,11.00,91.00
2026-06-02T12:54:00Z,12.31,89.00
2026-06-02T12:55:00Z,17.00,84.01
2026-06-02T12:56:00Z,16.74,85.39
2026-06-02T12:57:00Z,16.74,89.00
2026-06-02T12:59:00Z,8.42,89.00
2026-06-02T13:00:00Z,7.00,93.18
2026-06-02T13:01:00Z,7.20,95.00
2026-06-02T13:02:00Z,7.20,95.00
2026-06-02T13:03:00Z,12.66,94.00
2026-06-02T13:04:00Z,5.65,94.31
2026-06-02T13:05:00Z,7.00,96.00
2026-06-02T13:06:00Z,6.19,94.80
2026-06-02T13:07:00Z,5.21,94.80
2026-06-02T13:09:00Z,6.00,97.64
2026-06-02T13:10:00Z,6.00,95.45
2026-06-02T13:11:00Z,6.00,95.00
2026-06-02T13:12:00Z,6.00,95.55
2026-06-02T13:13:00Z,6.00,94.20
2026-06-02T13:14:00Z,6.92,94.00
2026-06-02T13:15:00Z,6.92,95.00
2026-06-02T13:16:00Z,6.92,95.00
2026-06-02T13:18:00Z,6.00,95.00
2026-06-02T13:19:00Z,3.83,96.59
2026-06-02T13:20:00Z,2.00,97.66
2026-06-02T13:21:00Z,2.00,98.14
2026-06-02T13:22:00Z,2.00,99.00
2026-06-02T13:23:00Z,1.00,99.00
2026-06-02T13:24:00Z,2.00,99.00
2026-06-02T13:25:00Z,2.00,98.00
2026-06-02T13:26:00Z,2.00,98.00
2026-06-02T13:27:00Z,2.00,99.00
2026-06-02T13:30:00Z,2.00,98.00
2026-06-02T13:31:00Z,2.00,99.00
2026-06-02T13:32:00Z,1.00,99.00
2026-06-02T13:33:00Z,1.33,99.00
2026-06-02T13:34:00Z,1.00,99.00
