# event_ticker=KXATPCHALLENGERMATCH-26MAY25CASPAN
# final_score=7-5 6-4
# score_resolution=5-7 4-6
# match_winner=Semen Pankin
# fav_player=Luca Castelnuovo
# dog_player=Semen Pankin
# kalshi_date=2026-05-25
timestamp,Luca Castelnuovo,Semen Pankin
2026-05-25T03:23:00Z,48.00,
2026-05-25T08:16:00Z,48.00,
2026-05-25T08:45:00Z,48.00,
2026-05-25T12:04:00Z,48.00,54.00
2026-05-25T12:23:00Z,48.00,54.00
2026-05-25T12:44:00Z,48.00,54.81
2026-05-25T13:15:00Z,48.00,55.00
2026-05-25T13:19:00Z,47.00,55.00
2026-05-25T13:40:00Z,47.00,55.00
2026-05-25T13:41:00Z,47.00,57.48
2026-05-25T13:42:00Z,42.00,57.48
2026-05-25T13:43:00Z,45.94,57.48
2026-05-25T13:44:00Z,41.00,57.48
2026-05-25T13:46:00Z,47.00,56.00
2026-05-25T13:47:00Z,47.00,57.65
2026-05-25T13:48:00Z,43.93,57.65
2026-05-25T13:49:00Z,43.93,58.81
2026-05-25T13:50:00Z,43.93,59.00
2026-05-25T13:51:00Z,43.67,58.72
2026-05-25T13:52:00Z,44.24,55.00
2026-05-25T13:53:00Z,52.08,49.47
2026-05-25T13:54:00Z,58.89,41.24
2026-05-25T13:55:00Z,51.96,47.91
2026-05-25T13:56:00Z,47.96,50.64
2026-05-25T13:57:00Z,45.00,53.73
2026-05-25T13:58:00Z,45.00,54.00
2026-05-25T13:59:00Z,47.00,54.00
2026-05-25T14:00:00Z,50.00,52.00
2026-05-25T14:01:00Z,49.00,51.12
2026-05-25T14:02:00Z,49.00,54.00
2026-05-25T14:03:00Z,46.00,54.00
2026-05-25T14:04:00Z,49.75,54.00
2026-05-25T14:05:00Z,49.75,51.00
2026-05-25T14:06:00Z,55.52,42.33
2026-05-25T14:07:00Z,57.96,42.36
2026-05-25T14:08:00Z,51.73,47.71
2026-05-25T14:09:00Z,47.00,53.00
2026-05-25T14:10:00Z,47.00,56.14
2026-05-25T14:11:00Z,45.94,56.14
2026-05-25T14:12:00Z,53.90,50.00
2026-05-25T14:13:00Z,58.50,47.00
2026-05-25T14:14:00Z,50.00,52.57
2026-05-25T14:15:00Z,47.00,53.00
2026-05-25T14:16:00Z,48.00,56.00
2026-05-25T14:17:00Z,47.00,52.20
2026-05-25T14:18:00Z,42.15,59.16
2026-05-25T14:19:00Z,28.16,73.96
2026-05-25T14:20:00Z,28.16,76.00
2026-05-25T14:21:00Z,24.00,76.00
2026-05-25T14:22:00Z,30.60,74.00
2026-05-25T14:23:00Z,28.16,72.40
2026-05-25T14:24:00Z,28.15,73.18
2026-05-25T14:25:00Z,35.54,67.85
2026-05-25T14:26:00Z,39.00,60.16
2026-05-25T14:27:00Z,41.14,59.93
2026-05-25T14:28:00Z,41.14,61.00
2026-05-25T14:29:00Z,33.79,66.00
2026-05-25T14:30:00Z,36.85,62.65
2026-05-25T14:31:00Z,37.00,62.66
2026-05-25T14:32:00Z,32.67,70.89
2026-05-25T14:33:00Z,32.20,68.25
2026-05-25T14:34:00Z,23.10,77.36
2026-05-25T14:35:00Z,21.00,79.58
2026-05-25T14:36:00Z,21.00,79.00
2026-05-25T14:37:00Z,19.00,81.00
2026-05-25T14:38:00Z,19.00,82.00
2026-05-25T14:39:00Z,20.30,80.75
2026-05-25T14:40:00Z,22.06,78.00
2026-05-25T14:41:00Z,21.58,79.11
2026-05-25T14:42:00Z,21.58,80.00
2026-05-25T14:43:00Z,20.00,80.47
2026-05-25T14:44:00Z,20.00,82.00
2026-05-25T14:45:00Z,18.48,82.29
2026-05-25T14:46:00Z,12.31,87.07
2026-05-25T14:47:00Z,15.32,83.93
2026-05-25T14:48:00Z,17.78,81.91
2026-05-25T14:49:00Z,18.18,82.18
2026-05-25T14:50:00Z,20.04,80.00
2026-05-25T14:51:00Z,20.00,80.88
2026-05-25T14:52:00Z,20.00,82.96
2026-05-25T14:53:00Z,17.00,83.00
2026-05-25T14:54:00Z,17.16,85.66
2026-05-25T14:55:00Z,14.94,85.24
2026-05-25T14:56:00Z,13.81,85.78
2026-05-25T14:57:00Z,15.91,87.74
2026-05-25T14:58:00Z,12.41,88.57
2026-05-25T14:59:00Z,10.37,90.00
2026-05-25T15:00:00Z,15.03,85.00
2026-05-25T15:01:00Z,15.84,84.11
2026-05-25T15:02:00Z,15.00,83.00
2026-05-25T15:03:00Z,15.00,84.00
2026-05-25T15:04:00Z,13.58,86.98
2026-05-25T15:05:00Z,14.00,86.98
2026-05-25T15:06:00Z,14.00,86.00
2026-05-25T15:07:00Z,10.94,88.74
2026-05-25T15:08:00Z,10.00,91.49
2026-05-25T15:09:00Z,3.19,98.59
2026-05-25T15:10:00Z,3.19,99.00
2026-05-25T15:11:00Z,3.19,99.00
2026-05-25T15:13:00Z,3.19,99.00
2026-05-25T15:14:00Z,3.19,99.00
