# event_ticker=KXATPCHALLENGERMATCH-26APR22ATLNED
# final_score=4-6 6-1 6-0
# match_winner=Andrej Nedic
# fav_player=Andrej Nedic
# dog_player=Bekhan Atlangeriev
# kalshi_date=2026-04-22
timestamp,Bekhan Atlangeriev,Andrej Nedic
2026-04-21T22:20:00Z,,88.00
2026-04-22T01:32:00Z,,85.00
2026-04-22T01:35:00Z,16.00,85.00
2026-04-22T01:50:00Z,16.00,85.00
2026-04-22T01:54:00Z,13.00,85.00
2026-04-22T02:03:00Z,13.00,85.00
2026-04-22T02:16:00Z,13.00,85.00
2026-04-22T03:20:00Z,13.00,85.00
2026-04-22T03:59:00Z,16.00,85.00
2026-04-22T04:04:00Z,16.00,85.00
2026-04-22T04:21:00Z,16.00,85.00
2026-04-22T05:16:00Z,16.00,84.00
2026-04-22T05:17:00Z,16.00,84.00
2026-04-22T05:18:00Z,16.00,84.00
2026-04-22T05:22:00Z,16.00,84.00
2026-04-22T05:23:00Z,16.00,84.00
2026-04-22T05:24:00Z,16.00,84.00
2026-04-22T05:34:00Z,16.00,85.00
2026-04-22T05:38:00Z,16.00,85.00
2026-04-22T05:40:00Z,16.00,85.00
2026-04-22T05:41:00Z,16.00,85.00
2026-04-22T05:43:00Z,16.43,85.00
2026-04-22T05:49:00Z,16.43,84.00
2026-04-22T05:55:00Z,17.00,84.00
2026-04-22T05:57:00Z,20.18,84.00
2026-04-22T06:04:00Z,20.18,81.00
2026-04-22T06:11:00Z,20.04,81.00
2026-04-22T06:14:00Z,20.00,81.00
2026-04-22T06:15:00Z,21.00,81.00
2026-04-22T06:27:00Z,20.00,82.00
2026-04-22T06:29:00Z,20.72,82.00
2026-04-22T06:30:00Z,17.00,83.78
2026-04-22T06:31:00Z,19.00,83.00
2026-04-22T06:36:00Z,22.85,83.00
2026-04-22T06:38:00Z,16.36,84.65
2026-04-22T06:41:00Z,16.63,84.87
2026-04-22T06:44:00Z,16.63,84.00
2026-04-22T06:48:00Z,21.00,84.00
2026-04-22T06:51:00Z,21.00,84.00
2026-04-22T06:54:00Z,21.00,84.36
2026-04-22T06:58:00Z,15.05,85.00
2026-04-22T06:59:00Z,18.00,85.00
2026-04-22T07:00:00Z,19.88,84.00
2026-04-22T07:03:00Z,19.88,85.00
2026-04-22T07:04:00Z,16.00,83.19
2026-04-22T07:07:00Z,14.83,83.19
2026-04-22T07:08:00Z,17.00,86.00
2026-04-22T07:09:00Z,17.00,87.00
2026-04-22T07:10:00Z,17.00,82.45
2026-04-22T07:11:00Z,15.00,85.10
2026-04-22T07:12:00Z,15.06,85.00
2026-04-22T07:13:00Z,18.00,83.00
2026-04-22T07:14:00Z,17.22,83.00
2026-04-22T07:15:00Z,16.11,85.04
2026-04-22T07:16:00Z,16.00,86.00
2026-04-22T07:17:00Z,14.66,86.00
2026-04-22T07:18:00Z,13.80,87.39
2026-04-22T07:19:00Z,19.08,83.17
2026-04-22T07:20:00Z,19.78,83.48
2026-04-22T07:21:00Z,18.28,83.81
2026-04-22T07:22:00Z,18.56,84.16
2026-04-22T07:23:00Z,19.78,78.09
2026-04-22T07:24:00Z,16.32,83.87
2026-04-22T07:25:00Z,16.01,86.09
2026-04-22T07:26:00Z,14.15,86.77
2026-04-22T07:27:00Z,14.66,82.24
2026-04-22T07:28:00Z,14.11,86.00
2026-04-22T07:30:00Z,14.29,86.00
2026-04-22T07:31:00Z,16.66,85.41
2026-04-22T07:32:00Z,17.97,84.26
2026-04-22T07:33:00Z,17.28,87.00
2026-04-22T07:34:00Z,18.39,83.48
2026-04-22T07:35:00Z,18.85,83.41
2026-04-22T07:36:00Z,20.63,82.65
2026-04-22T07:37:00Z,19.89,82.55
2026-04-22T07:38:00Z,17.67,83.00
2026-04-22T07:39:00Z,14.56,84.37
2026-04-22T07:40:00Z,15.29,85.18
2026-04-22T07:41:00Z,21.28,79.60
2026-04-22T07:42:00Z,31.03,70.32
2026-04-22T07:43:00Z,32.48,70.66
2026-04-22T07:44:00Z,31.51,70.54
2026-04-22T07:45:00Z,30.82,71.59
2026-04-22T07:46:00Z,28.75,70.18
2026-04-22T07:47:00Z,24.74,70.67
2026-04-22T07:48:00Z,23.29,75.19
2026-04-22T07:49:00Z,23.89,74.36
2026-04-22T07:50:00Z,28.69,68.66
2026-04-22T07:51:00Z,32.75,72.68
2026-04-22T07:52:00Z,30.01,75.35
2026-04-22T07:53:00Z,37.70,63.46
2026-04-22T07:54:00Z,42.75,57.40
2026-04-22T07:55:00Z,42.16,56.58
2026-04-22T07:56:00Z,43.57,55.96
2026-04-22T07:57:00Z,43.45,55.00
2026-04-22T07:58:00Z,42.85,55.52
2026-04-22T07:59:00Z,34.63,62.90
2026-04-22T08:00:00Z,29.35,72.98
2026-04-22T08:01:00Z,26.26,75.00
2026-04-22T08:02:00Z,27.46,73.04
2026-04-22T08:03:00Z,25.83,73.04
2026-04-22T08:04:00Z,25.17,73.04
2026-04-22T08:05:00Z,21.80,78.04
2026-04-22T08:06:00Z,20.56,80.00
2026-04-22T08:07:00Z,19.05,81.28
2026-04-22T08:08:00Z,17.62,82.62
2026-04-22T08:09:00Z,15.16,83.84
2026-04-22T08:10:00Z,16.09,85.77
2026-04-22T08:11:00Z,16.60,84.83
2026-04-22T08:12:00Z,16.78,83.97
2026-04-22T08:13:00Z,16.83,85.59
2026-04-22T08:14:00Z,16.98,84.95
2026-04-22T08:15:00Z,15.68,84.11
2026-04-22T08:16:00Z,16.41,83.69
2026-04-22T08:17:00Z,17.88,82.70
2026-04-22T08:18:00Z,18.08,83.56
2026-04-22T08:19:00Z,16.19,85.71
2026-04-22T08:20:00Z,15.88,84.95
2026-04-22T08:21:00Z,14.52,85.52
2026-04-22T08:22:00Z,19.93,83.53
2026-04-22T08:23:00Z,17.08,83.25
2026-04-22T08:24:00Z,20.09,81.23
2026-04-22T08:25:00Z,17.09,84.99
2026-04-22T08:26:00Z,16.58,84.55
2026-04-22T08:27:00Z,15.22,86.00
2026-04-22T08:28:00Z,14.13,87.04
2026-04-22T08:29:00Z,13.80,87.00
2026-04-22T08:30:00Z,11.85,89.40
2026-04-22T08:31:00Z,10.59,91.71
2026-04-22T08:32:00Z,9.21,92.67
2026-04-22T08:33:00Z,8.61,93.74
2026-04-22T08:34:00Z,4.28,96.36
2026-04-22T08:35:00Z,3.72,96.36
2026-04-22T08:36:00Z,3.83,96.88
2026-04-22T08:37:00Z,4.03,96.02
2026-04-22T08:38:00Z,4.72,95.20
2026-04-22T08:39:00Z,4.78,96.50
2026-04-22T08:40:00Z,3.94,96.87
2026-04-22T08:41:00Z,1.37,98.94
2026-04-22T08:42:00Z,1.00,99.00
2026-04-22T08:43:00Z,1.00,99.00
2026-04-22T08:44:00Z,1.00,99.00
2026-04-22T08:45:00Z,1.00,99.00
2026-04-22T08:46:00Z,1.00,99.00
2026-04-22T08:47:00Z,1.00,99.00
2026-04-22T08:48:00Z,1.00,99.00
2026-04-22T08:49:00Z,1.00,99.00
2026-04-22T08:50:00Z,1.00,99.00
2026-04-22T08:51:00Z,1.00,99.00
