# event_ticker=KXATPCHALLENGERMATCH-26MAY11NEUMOC
# final_score=6-2 6-2
# score_resolution=2-6 2-6
# match_winner=Lukas Neumayer
# fav_player=Shintaro Mochizuki
# dog_player=Lukas Neumayer
# kalshi_date=2026-05-11
timestamp,Lukas Neumayer,Shintaro Mochizuki
2026-05-11T03:24:00Z,76.00,24.00
2026-05-11T03:25:00Z,76.00,24.00
2026-05-11T03:47:00Z,76.00,24.00
2026-05-11T04:21:00Z,76.00,24.00
2026-05-11T04:30:00Z,78.00,24.00
2026-05-11T04:32:00Z,78.00,24.00
2026-05-11T04:37:00Z,78.00,24.00
2026-05-11T04:45:00Z,76.00,24.00
2026-05-11T05:32:00Z,78.00,24.00
2026-05-11T05:49:00Z,78.00,24.00
2026-05-11T06:14:00Z,76.00,24.00
2026-05-11T06:44:00Z,76.00,24.00
2026-05-11T07:27:00Z,78.00,24.00
2026-05-11T08:18:00Z,79.00,24.00
2026-05-11T08:26:00Z,79.00,23.00
2026-05-11T09:17:00Z,79.00,24.00
2026-05-11T09:23:00Z,78.00,24.31
2026-05-11T09:33:00Z,78.00,24.31
2026-05-11T12:39:00Z,78.00,24.00
2026-05-11T13:09:00Z,81.30,21.86
2026-05-11T13:48:00Z,81.30,21.00
2026-05-11T14:07:00Z,79.00,21.00
2026-05-11T14:16:00Z,79.00,21.00
2026-05-11T14:21:00Z,79.00,21.00
2026-05-11T14:22:00Z,79.00,21.00
2026-05-11T14:26:00Z,79.00,20.00
2026-05-11T14:28:00Z,79.00,18.75
2026-05-11T14:29:00Z,81.25,18.86
2026-05-11T14:31:00Z,79.84,20.94
2026-05-11T14:32:00Z,81.92,17.79
2026-05-11T14:33:00Z,82.98,17.00
2026-05-11T14:34:00Z,81.89,19.86
2026-05-11T14:35:00Z,83.04,14.01
2026-05-11T14:36:00Z,87.00,14.00
2026-05-11T14:37:00Z,88.00,14.00
2026-05-11T14:38:00Z,87.00,14.00
2026-05-11T14:39:00Z,87.00,14.00
2026-05-11T14:40:00Z,87.98,12.15
2026-05-11T14:41:00Z,89.00,12.05
2026-05-11T14:42:00Z,89.99,9.56
2026-05-11T14:43:00Z,89.00,11.69
2026-05-11T14:44:00Z,91.00,9.75
2026-05-11T14:45:00Z,91.00,9.67
2026-05-11T14:46:00Z,91.00,9.00
2026-05-11T14:47:00Z,91.88,9.00
2026-05-11T14:48:00Z,92.00,9.00
2026-05-11T14:49:00Z,92.00,9.00
2026-05-11T14:50:00Z,91.00,9.73
2026-05-11T14:51:00Z,91.00,10.00
2026-05-11T14:52:00Z,91.00,9.78
2026-05-11T14:53:00Z,91.00,9.12
2026-05-11T14:54:00Z,92.00,8.01
2026-05-11T14:55:00Z,92.00,8.50
2026-05-11T14:56:00Z,92.00,9.00
2026-05-11T14:57:00Z,91.00,9.25
2026-05-11T14:58:00Z,91.00,9.00
2026-05-11T14:59:00Z,92.00,9.00
2026-05-11T15:00:00Z,92.00,8.00
2026-05-11T15:01:00Z,92.00,9.00
2026-05-11T15:02:00Z,91.00,10.00
2026-05-11T15:03:00Z,92.00,9.00
2026-05-11T15:04:00Z,92.00,9.00
2026-05-11T15:05:00Z,92.74,8.02
2026-05-11T15:06:00Z,93.00,8.00
2026-05-11T15:07:00Z,93.00,7.00
2026-05-11T15:08:00Z,93.00,7.10
2026-05-11T15:09:00Z,90.06,9.94
2026-05-11T15:10:00Z,88.32,11.00
2026-05-11T15:11:00Z,86.00,14.85
2026-05-11T15:12:00Z,85.91,16.35
2026-05-11T15:13:00Z,80.95,18.08
2026-05-11T15:14:00Z,78.33,20.92
2026-05-11T15:15:00Z,82.31,19.56
2026-05-11T15:16:00Z,86.17,14.12
2026-05-11T15:17:00Z,81.84,17.11
2026-05-11T15:18:00Z,88.94,12.16
2026-05-11T15:19:00Z,89.00,12.00
2026-05-11T15:20:00Z,89.94,10.85
2026-05-11T15:21:00Z,91.00,10.00
2026-05-11T15:22:00Z,92.28,7.77
2026-05-11T15:23:00Z,93.92,6.22
2026-05-11T15:24:00Z,91.69,6.57
2026-05-11T15:25:00Z,89.54,10.09
2026-05-11T15:26:00Z,94.61,7.48
2026-05-11T15:27:00Z,96.00,3.94
2026-05-11T15:28:00Z,96.01,4.00
2026-05-11T15:29:00Z,96.20,3.61
2026-05-11T15:30:00Z,97.00,3.43
2026-05-11T15:31:00Z,96.00,4.64
2026-05-11T15:32:00Z,95.05,5.56
2026-05-11T15:33:00Z,95.82,3.66
2026-05-11T15:34:00Z,97.00,2.36
2026-05-11T15:35:00Z,97.00,3.87
2026-05-11T15:36:00Z,97.00,3.32
2026-05-11T15:37:00Z,97.00,3.81
2026-05-11T15:38:00Z,98.29,2.03
2026-05-11T15:39:00Z,99.00,1.01
2026-05-11T15:40:00Z,99.00,1.00
2026-05-11T15:41:00Z,99.00,1.00
2026-05-11T15:42:00Z,99.00,1.00
2026-05-11T15:43:00Z,99.00,1.00
2026-05-11T15:44:00Z,99.00,1.00
2026-05-11T15:45:00Z,99.00,1.00
2026-05-11T15:46:00Z,99.00,1.00
