# event_ticker=KXATPMATCH-25AUG18DOSVUK
# final_score=6-4 6-2
# score_resolution=4-6 2-6
# match_winner=Stefan Dostanic
# fav_player=Aleksandar Vukic
# dog_player=Stefan Dostanic
# kalshi_date=2025-08-18
timestamp,Aleksandar Vukic,Stefan Dostanic
2025-08-18T16:57:00Z,,31.00
2025-08-18T16:59:00Z,70.00,31.00
2025-08-18T17:17:00Z,70.00,31.00
2025-08-18T17:27:00Z,70.00,31.00
2025-08-18T17:52:00Z,70.00,31.00
2025-08-18T18:00:00Z,70.00,31.00
2025-08-18T18:21:00Z,70.00,31.00
2025-08-18T19:05:00Z,70.00,31.00
2025-08-18T20:24:00Z,70.00,30.00
2025-08-18T20:32:00Z,70.00,30.00
2025-08-18T20:37:00Z,70.00,30.00
2025-08-18T20:40:00Z,70.00,30.00
2025-08-18T20:51:00Z,70.00,30.00
2025-08-18T20:55:00Z,70.00,30.00
2025-08-18T20:56:00Z,70.00,30.00
2025-08-18T21:10:00Z,70.00,30.00
2025-08-18T21:14:00Z,70.00,30.00
2025-08-18T21:18:00Z,70.00,31.00
2025-08-18T21:23:00Z,70.00,31.00
2025-08-18T21:25:00Z,70.90,31.00
2025-08-18T21:28:00Z,70.90,28.00
2025-08-18T21:42:00Z,75.00,28.00
2025-08-18T21:46:00Z,75.00,28.00
2025-08-18T21:47:00Z,75.00,23.00
2025-08-18T21:53:00Z,75.00,25.00
2025-08-18T22:07:00Z,76.00,25.00
2025-08-18T22:10:00Z,76.18,25.00
2025-08-18T22:19:00Z,76.18,25.00
2025-08-18T22:22:00Z,76.18,25.00
2025-08-18T22:24:00Z,77.00,25.00
2025-08-18T22:25:00Z,77.00,25.00
2025-08-18T22:26:00Z,77.00,23.00
2025-08-18T22:29:00Z,77.00,25.00
2025-08-18T22:39:00Z,77.00,25.00
2025-08-18T22:41:00Z,77.00,25.00
2025-08-18T22:51:00Z,77.00,25.07
2025-08-18T22:54:00Z,77.00,25.00
2025-08-18T23:06:00Z,77.00,25.00
2025-08-18T23:12:00Z,74.86,25.00
2025-08-18T23:15:00Z,74.86,29.00
2025-08-18T23:16:00Z,69.00,32.54
2025-08-18T23:17:00Z,55.00,44.00
2025-08-18T23:20:00Z,56.00,43.80
2025-08-18T23:21:00Z,56.00,41.00
2025-08-18T23:22:00Z,56.00,48.00
2025-08-18T23:25:00Z,56.00,45.00
2025-08-18T23:26:00Z,56.00,49.00
2025-08-18T23:27:00Z,50.00,49.00
2025-08-18T23:28:00Z,48.00,53.00
2025-08-18T23:29:00Z,49.00,52.44
2025-08-18T23:30:00Z,53.00,52.44
2025-08-18T23:32:00Z,53.00,56.00
2025-08-18T23:33:00Z,53.00,58.00
2025-08-18T23:35:00Z,36.00,66.46
2025-08-18T23:36:00Z,36.00,64.00
2025-08-18T23:37:00Z,42.68,64.00
2025-08-18T23:38:00Z,41.00,60.00
2025-08-18T23:40:00Z,41.00,60.00
2025-08-18T23:41:00Z,43.00,60.00
2025-08-18T23:42:00Z,33.07,65.03
2025-08-18T23:44:00Z,33.07,65.57
2025-08-18T23:45:00Z,29.87,77.80
2025-08-18T23:46:00Z,29.87,90.76
2025-08-18T23:47:00Z,16.00,90.76
2025-08-18T23:48:00Z,31.00,90.76
2025-08-18T23:49:00Z,29.83,90.76
2025-08-18T23:50:00Z,36.60,90.76
2025-08-18T23:51:00Z,38.93,90.76
2025-08-18T23:52:00Z,35.46,63.46
2025-08-18T23:53:00Z,20.44,78.51
2025-08-18T23:54:00Z,20.92,85.19
2025-08-18T23:56:00Z,20.92,81.66
2025-08-18T23:57:00Z,29.14,68.90
2025-08-18T23:58:00Z,30.00,68.90
2025-08-19T00:00:00Z,17.00,83.33
2025-08-19T00:01:00Z,16.00,88.93
2025-08-19T00:02:00Z,16.26,84.13
2025-08-19T00:03:00Z,18.23,85.00
2025-08-19T00:04:00Z,18.15,84.00
2025-08-19T00:05:00Z,14.00,91.99
2025-08-19T00:06:00Z,9.62,91.79
2025-08-19T00:07:00Z,9.62,94.00
2025-08-19T00:08:00Z,10.00,96.24
2025-08-19T00:09:00Z,4.04,97.24
2025-08-19T00:10:00Z,1.00,98.19
2025-08-19T00:11:00Z,2.24,98.19
2025-08-19T00:13:00Z,2.24,99.00
