# event_ticker=KXATPCHALLENGERMATCH-26APR10SCHSAM
# final_score=7-6(7) 7-6(2)
# score_resolution=6-7 6-7
# match_winner=Toby Samuel
# fav_player=Joel Schwaerzler
# dog_player=Toby Samuel
# kalshi_date=2026-04-10
timestamp,Joel Schwaerzler,Toby Samuel
2026-04-09T22:54:00Z,,50.00
2026-04-09T23:01:00Z,,50.00
2026-04-09T23:36:00Z,,49.35
2026-04-10T00:10:00Z,51.00,49.35
2026-04-10T00:15:00Z,51.00,49.35
2026-04-10T00:31:00Z,51.00,50.00
2026-04-10T00:34:00Z,51.00,50.00
2026-04-10T00:36:00Z,51.00,50.00
2026-04-10T00:43:00Z,51.00,50.00
2026-04-10T01:00:00Z,51.00,50.00
2026-04-10T01:43:00Z,51.00,50.00
2026-04-10T02:08:00Z,51.00,50.00
2026-04-10T02:09:00Z,51.00,50.00
2026-04-10T02:25:00Z,51.00,50.00
2026-04-10T02:39:00Z,51.00,50.00
2026-04-10T02:58:00Z,51.00,50.00
2026-04-10T02:59:00Z,51.00,50.00
2026-04-10T03:02:00Z,51.00,50.00
2026-04-10T03:05:00Z,51.00,50.00
2026-04-10T03:11:00Z,51.00,50.00
2026-04-10T03:22:00Z,51.00,50.00
2026-04-10T03:24:00Z,51.00,50.00
2026-04-10T03:25:00Z,51.00,50.00
2026-04-10T03:30:00Z,51.00,49.00
2026-04-10T03:32:00Z,51.00,49.00
2026-04-10T03:37:00Z,51.89,49.00
2026-04-10T03:41:00Z,53.00,49.00
2026-04-10T03:43:00Z,53.00,48.00
2026-04-10T03:46:00Z,53.00,48.00
2026-04-10T03:51:00Z,53.00,48.00
2026-04-10T03:54:00Z,53.00,48.00
2026-04-10T03:57:00Z,53.00,48.00
2026-04-10T04:05:00Z,53.00,48.00
2026-04-10T04:07:00Z,53.00,48.00
2026-04-10T04:08:00Z,53.00,48.00
2026-04-10T04:20:00Z,53.00,48.00
2026-04-10T04:22:00Z,53.00,48.00
2026-04-10T04:40:00Z,53.00,48.00
2026-04-10T04:47:00Z,53.00,48.00
2026-04-10T04:49:00Z,53.00,48.00
2026-04-10T04:53:00Z,53.00,48.00
2026-04-10T05:00:00Z,53.17,48.00
2026-04-10T05:01:00Z,53.17,48.00
2026-04-10T05:02:00Z,53.17,48.00
2026-04-10T05:13:00Z,54.00,48.00
2026-04-10T05:15:00Z,54.00,47.00
2026-04-10T05:16:00Z,55.00,47.00
2026-04-10T05:19:00Z,55.00,47.00
2026-04-10T05:21:00Z,55.00,47.00
2026-04-10T05:24:00Z,55.00,47.00
2026-04-10T05:26:00Z,55.00,47.00
2026-04-10T05:33:00Z,55.00,47.00
2026-04-10T05:35:00Z,55.00,47.00
2026-04-10T05:38:00Z,55.00,47.00
2026-04-10T05:41:00Z,55.00,47.00
