# event_ticker=KXATPMATCH-26JUN08BONROT
# final_score=6-4 6-4
# score_resolution=4-6 4-6
# match_winner=Benjamin Bonzi
# fav_player=Mees Rottgering
# dog_player=Benjamin Bonzi
# kalshi_date=2026-06-08
timestamp,Benjamin Bonzi,Mees Rottgering
2026-06-07T22:47:00Z,74.00,
2026-06-07T22:59:00Z,74.00,
2026-06-07T23:34:00Z,74.00,26.00
2026-06-07T23:48:00Z,74.00,26.00
2026-06-08T00:02:00Z,74.00,26.00
2026-06-08T01:38:00Z,74.00,26.00
2026-06-08T01:56:00Z,74.00,26.00
2026-06-08T02:06:00Z,74.00,28.00
2026-06-08T02:07:00Z,74.00,27.00
2026-06-08T02:45:00Z,75.53,27.00
2026-06-08T02:56:00Z,76.00,27.00
2026-06-08T03:10:00Z,76.00,26.00
2026-06-08T03:22:00Z,77.00,26.00
2026-06-08T03:31:00Z,77.00,26.00
2026-06-08T03:37:00Z,77.00,26.00
2026-06-08T03:39:00Z,77.00,26.00
2026-06-08T03:42:00Z,77.00,26.00
2026-06-08T03:43:00Z,77.00,26.00
2026-06-08T03:47:00Z,77.00,26.00
2026-06-08T03:59:00Z,77.00,24.00
2026-06-08T04:14:00Z,77.00,24.02
2026-06-08T04:39:00Z,77.00,24.02
2026-06-08T04:40:00Z,77.00,24.02
2026-06-08T04:45:00Z,77.00,24.00
2026-06-08T05:02:00Z,77.00,24.00
2026-06-08T05:03:00Z,76.00,24.00
2026-06-08T05:05:00Z,76.00,24.00
2026-06-08T05:09:00Z,76.00,24.00
2026-06-08T05:11:00Z,76.00,25.00
2026-06-08T05:25:00Z,76.00,25.00
2026-06-08T05:29:00Z,76.00,25.00
2026-06-08T05:40:00Z,76.00,25.00
2026-06-08T05:44:00Z,76.00,25.00
2026-06-08T05:45:00Z,76.00,25.00
2026-06-08T06:07:00Z,76.00,25.00
2026-06-08T06:10:00Z,76.00,25.00
2026-06-08T06:19:00Z,76.00,25.00
2026-06-08T06:28:00Z,76.00,25.00
2026-06-08T06:43:00Z,76.00,25.00
2026-06-08T06:47:00Z,76.00,25.00
2026-06-08T06:50:00Z,76.00,25.00
2026-06-08T06:51:00Z,76.00,25.00
2026-06-08T06:52:00Z,76.00,25.00
2026-06-08T06:56:00Z,76.00,25.00
2026-06-08T07:08:00Z,76.00,25.00
2026-06-08T07:11:00Z,76.00,25.00
2026-06-08T07:24:00Z,76.00,25.00
2026-06-08T07:29:00Z,75.00,25.00
2026-06-08T07:32:00Z,75.00,25.78
2026-06-08T07:39:00Z,75.00,25.78
2026-06-08T08:38:00Z,75.00,25.78
2026-06-08T08:44:00Z,75.00,26.00
2026-06-08T08:58:00Z,75.00,26.00
2026-06-08T09:23:00Z,75.00,26.00
2026-06-08T09:35:00Z,75.00,26.00
2026-06-08T09:37:00Z,75.00,26.00
2026-06-08T09:49:00Z,75.00,26.00
2026-06-08T09:54:00Z,75.00,26.00
2026-06-08T10:26:00Z,76.00,26.00
2026-06-08T10:27:00Z,76.00,26.00
2026-06-08T10:29:00Z,76.00,26.00
2026-06-08T10:31:00Z,75.00,26.00
2026-06-08T10:33:00Z,76.00,26.00
2026-06-08T10:34:00Z,74.00,26.00
2026-06-08T10:35:00Z,75.00,26.00
2026-06-08T10:36:00Z,78.00,26.00
2026-06-08T10:37:00Z,78.00,24.00
